index,D_0__Archaea;D_1__Euryarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deferribacteres,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__Zixibacteria,Group1,Group2
D01E01C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36891.0,0.0,0.0,0.0,0.0,Cecum,D01C
D01E01D,0.0,0.0,49.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28224.0,0.0,0.0,0.0,0.0,Duodenum,D01D
D01E01I,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16968.0,0.0,0.0,0.0,0.0,Ileum,D01I
D01E01J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31864.0,0.0,0.0,0.0,0.0,Jejunum,D01J
D01E02C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63951.0,0.0,0.0,0.0,0.0,Cecum,D01C
D01E02D,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20291.0,0.0,0.0,0.0,0.0,Duodenum,D01D
D01E02I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28493.0,0.0,0.0,0.0,0.0,Ileum,D01I
D01E02J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13363.0,0.0,0.0,0.0,0.0,Jejunum,D01J
D01E03C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47228.0,0.0,0.0,0.0,0.0,Cecum,D01C
D01E03D,0.0,0.0,95.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33939.0,0.0,0.0,12.0,0.0,Duodenum,D01D
D01E03I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2428.0,0.0,0.0,0.0,0.0,Ileum,D01I
D01E03J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5876.0,0.0,0.0,0.0,0.0,Jejunum,D01J
D01E04C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50911.0,0.0,0.0,0.0,0.0,Cecum,D01C
D01E04D,0.0,0.0,37.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26666.0,0.0,0.0,0.0,0.0,Duodenum,D01D
D01E04I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7766.0,0.0,0.0,0.0,0.0,Ileum,D01I
D01E04J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4268.0,0.0,0.0,0.0,0.0,Jejunum,D01J
D01E05C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75063.0,0.0,0.0,0.0,0.0,Cecum,D01C
D01E05D,0.0,0.0,132.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63323.0,0.0,0.0,37.0,0.0,Duodenum,D01D
D01E05I,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25054.0,0.0,0.0,0.0,0.0,Ileum,D01I
D01E05J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55027.0,0.0,0.0,0.0,0.0,Jejunum,D01J
D01E06C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26121.0,0.0,0.0,0.0,0.0,Cecum,D01C
D01E06D,0.0,0.0,22.0,0.0,2193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445.0,0.0,0.0,0.0,0.0,Duodenum,D01D
D01E06I,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60272.0,0.0,0.0,0.0,0.0,Ileum,D01I
D01E06J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15833.0,0.0,0.0,0.0,0.0,Jejunum,D01J
D01E07C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42617.0,0.0,0.0,0.0,0.0,Cecum,D01C
D01E07D,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24767.0,0.0,0.0,0.0,0.0,Duodenum,D01D
