index,k__Fungi;p__Ascomycota,k__Fungi;p__Basidiobolomycota,k__Fungi;p__Basidiomycota,k__Fungi;p__Chytridiomycota,k__Fungi;p__Glomeromycota,k__Fungi;p__Mortierellomycota,k__Fungi;p__Mucoromycota,k__Fungi;p__Olpidiomycota,k__Fungi;p__Rozellomycota,k__Fungi;p__unidentified,Group1,Group2
D01E01C,83830.0,0.0,27347.0,0.0,0.0,0.0,2261.0,0.0,0.0,0.0,Cecum,D01C
D01E01D,106894.0,0.0,39145.0,0.0,0.0,0.0,1735.0,0.0,0.0,0.0,Duodenum,D01D
D01E01I,170941.0,0.0,10055.0,34.0,0.0,0.0,292.0,0.0,0.0,0.0,Ileum,D01I
D01E01J,246143.0,0.0,18925.0,593.0,0.0,0.0,435.0,0.0,0.0,0.0,Jejunum,D01J
D01E02C,123735.0,0.0,58187.0,0.0,0.0,0.0,638.0,0.0,0.0,0.0,Cecum,D01C
D01E02D,20917.0,0.0,29854.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,Duodenum,D01D
D01E02I,227026.0,0.0,7618.0,24.0,0.0,0.0,325.0,0.0,0.0,0.0,Ileum,D01I
D01E02J,221640.0,0.0,23566.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,Jejunum,D01J
D01E03C,148029.0,0.0,23066.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,Cecum,D01C
D01E03D,95669.0,0.0,52406.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,Duodenum,D01D
D01E03I,198711.0,0.0,10603.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,Ileum,D01I
D01E03J,239003.0,0.0,12683.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,Jejunum,D01J
D01E04C,195732.0,0.0,21167.0,22.0,0.0,58.0,110.0,0.0,0.0,0.0,Cecum,D01C
D01E04D,152374.0,0.0,43910.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,Duodenum,D01D
D01E04I,240051.0,0.0,3312.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,Ileum,D01I
D01E04J,270148.0,0.0,4696.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,Jejunum,D01J
D01E05C,134886.0,0.0,17494.0,0.0,0.0,65.0,228.0,0.0,0.0,0.0,Cecum,D01C
D01E05D,34577.0,0.0,15877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Duodenum,D01D
D01E05I,221858.0,0.0,6175.0,63.0,0.0,0.0,630.0,0.0,0.0,0.0,Ileum,D01I
D01E05J,217322.0,0.0,27261.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0,Jejunum,D01J
D01E06C,205621.0,0.0,13954.0,0.0,0.0,0.0,1590.0,0.0,0.0,0.0,Cecum,D01C
D01E06D,48269.0,0.0,37473.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,Duodenum,D01D
D01E06I,25617.0,0.0,1361.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,Ileum,D01I
D01E06J,159581.0,0.0,20324.0,492.0,0.0,0.0,988.0,0.0,0.0,0.0,Jejunum,D01J
D01E07C,197674.0,0.0,8377.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,Cecum,D01C
D01E07D,71675.0,0.0,71270.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,Duodenum,D01D
D01E07I,191033.0,0.0,8021.0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,Ileum,D01I
D01E07J,182991.0,0.0,16098.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,Jejunum,D01J
