"","Genus","Cluster","Importance"
"1","Granulicella",1,0.000108664443032519
"2","Bryobacter",1,0.000108664443020092
"3","X__",1,0.000108664443078878
"4","Blastocatella",1,0.000108664442919635
"5","uncultured",1,0.000108664443012102
"6","RB41",1,0.000108664442875778
"7","X__.1",1,0.000108664443053294
"8","uncultured.bacterium",1,0.000108664442882861
"9","X__.2",1,0.000108664442543252
"10","uncultured.bacterium.1",1,0.000108664443071775
"11","X__.3",1,0.00010866444287865
"12","bacterium.YC.LK.LKJ36",1,0.000108664442883039
"13","X__.4",1,0.000108664442879506
"14","uncultured.Acidimicrobidae.bacterium",1,0.000108664443046162
"15","uncultured.Actinomycetales.bacterium",1,0.000108664442921012
"16","X__.5",1,0.000108664442713545
"17","CL500.29.marine.group",1,0.000108664443360002
"18","uncultured.bacterium.2",1,0.000108664443138388
"19","uncultured.Acidimicrobiales.bacterium",1,0.000108664442912455
"20","Actinomyces",1,0.000108664442876707
"21","Aeriscardovia",1,0.00010866444304355
"22","Bifidobacterium",1,0.018390795966447
"23","Gardnerella",1,0.000108664443050741
"24","Corynebacterium.1",1,0.00553371831568717
"25","Lawsonella",1,0.000108664443195216
"26","Mycobacterium",1,0.00117193025980374
"27","Nocardia",1,0.000108664442879375
"28","Rhodococcus",1,0.000108664443078662
"29","Jatrophihabitans",1,0.000108664442995923
"30","Blastococcus",1,0.00117501012618496
"31","Geodermatophilus",1,0.000108664442875787
"32","Modestobacter",1,0.000108664442788123
"33","hgcI.clade",1,0.000108664689964412
"34","Brevibacterium",1,0.000108664443431521
"35","Brachybacterium",1,0.00117382936031845
"36","Yimella",1,0.00225583937222104
"37","Arthrobacter",1,0.000108664443004361
"38","Kocuria",1,0.00223897341580062
"39","Paenarthrobacter",1,0.000108664443159686
"40","Pseudarthrobacter",1,0.000109803388330532
"41","Rothia",1,0.00891023342075459
"42","X__.6",1,0.00117393329893892
"43","X__.7",1,0.000108664443064682
"44","Dactylosporangium",1,0.000108664442923969
"45","uncultured.1",1,0.000108664443370013
"46","X__.8",1,0.000108664443077564
"47","Kribbella",1,0.00117235187497988
"48","Nocardioides",1,0.000108664443051405
"49","X__.9",1,0.000108664443202736
"50","Cutibacterium",1,0.00117359036495148
"51","Microlunatus",1,0.000108664443016532
"52","Amycolatopsis",1,0.000108664443067385
"53","Lechevalieria",1,0.000108664443459845
"54","Pseudonocardia",1,0.000108664443080868
"55","Streptomyces",1,0.000108664442911432
"56","Nonomuraea",1,0.00010866444309621
"57","Actinomadura",1,0.000108664442883921
"58","X__.10",1,0.000108664443044193
"59","Atopobium",1,0.000108664443190764
"60","Coriobacteriaceae.UCG.002",1,0.000108664442876748
"61","Olsenella",1,0.000108664442909445
"62","Collinsella",1,0.00333537718690247
"63","CHKCI002",1,0.000108666155532659
"64","Eggerthella",1,0.000108664442913913
"65","Enterorhabdus",1,0.000108664443200793
"66","Gordonibacter",1,0.000108664443079242
"67","X__.11",1,0.000108664443140539
"68","uncultured.bacterium.3",1,0.000108664443044063
"69","uncultured.bacterium.4",1,0.000108664442921007
"70","uncultured.Actinomycetales.bacterium.1",1,0.000108664443090617
"71","X__.12",1,0.000108664443380524
"72","X__.13",1,0.000108664442875852
"73","Rubrobacter",1,0.000108664443203595
"74","uncultured.bacterium.5",1,0.000108664443047916
"75","X__.14",1,0.000108664442875727
"76","metagenome",1,0.000108664443072892
"77","uncultured.Rubrobacteraceae.bacterium",1,0.00010866444320817
"78","uncultured.Solirubrobacter.sp.",1,0.000108664442705528
"79","X__.15",1,0.000108664443039233
"80","Conexibacter",1,0.000108664442694537
"81","Parviterribacter",1,0.000108664443208148
"82","X__.16",1,0.000108664443208121
"83","X__.17",1,0.000108664443267379
