"","Genus","Cluster","Importance"
"1","X__",1,0.240585841968132
"2","X__.1",1,0.0652027604424044
"3","Diplodia",1,0.000820174539942573
"4","Lasiodiplodia",1,7.68247523721397e-05
"5","Macrophomina",1,7.68247523721662e-05
"6","unidentified",1,0.000823739700851468
"7","X__.2",1,0.0506224154105985
"8","Arthrocatena",1,0.00157588243513101
"9","Cladosporium",1,0.845653415810808
"10","Rachicladosporium",1,7.68247523721362e-05
"11","Dissoconium",1,7.68247523721594e-05
"12","Acrodontium",1,0.00157520410059794
"13","Cercospora",1,0.00789188698763106
"14","Septoria",1,0.000823744586088756
"15","Sphaerulina",1,7.68247523721602e-05
"16","Zasmidium",1,0.0015772238097236
"17","Recurvomyces",1,0.0170835873258261
"18","unidentified.1",1,0.000819748754039348
"19","Aureobasidium",1,0.0531368390799351
"20","Coniozyma",1,0.0030933464311285
"21","X__.3",1,7.68247523721362e-05
"22","Arthrographis",1,0.00233540757143767
"23","Eremomyces",1,0.00386308519985891
"24","X__.4",1,0.105786463194553
"25","Camarosporidiella",1,7.68247523721602e-05
"26","X__.5",1,7.68247523721516e-05
"27","Coniothyrium",1,0.0094614173265741
"28","Corynespora",1,0.00463225303099363
"29","Pyrenochaeta",1,0.0086157971075326
"30","Pyrenochaetopsis",1,0.00944139155037582
"31","X__.6",1,7.68247523721362e-05
"32","Dictyosporium",1,0.000823903128823049
"33","unidentified.2",1,0.00158058466325273
"34","X__.7",1,0.211846194273614
"35","Didymella",1,0.0192408123507966
"36","Neoascochyta",1,0.000822383813849883
"37","Phoma",1,0.00234086762505068
"38","Stagonosporopsis",1,0.00873313938788363
"39","X__.8",1,0.00539551255056402
"40","Aporospora",1,0.00117291251113502
"41","Kalmusia",1,7.68247523721464e-05
"42","Paraphaeosphaeria",1,0.00622336680051703
"43","Pseudopithomyces",1,0.00234477096936381
"44","Darksidea",1,0.00620366704965137
"45","Lentithecium",1,0.000819749374740689
"46","Poaceascoma",1,0.000821395551658719
"47","X__.9",1,7.68247523721397e-05
"48","Heterospora",1,0.00158014690909986
"49","Leptosphaeria",1,0.0185833177883296
"50","Plenodomus",1,0.0314523877938817
"51","X__.10",1,7.68247523721565e-05
"52","Biappendiculispora",1,0.00158059847085783
"53","Lophiotrema",1,0.000823206858516124
"54","Byssothecium",1,0.00158407563118754
"55","X__.11",1,7.68247523721509e-05
"56","Acrocalymma",1,0.00545013477718639
"57","Multiseptospora",1,7.68247523721397e-05
"58","Periconia",1,0.131173522488316
"59","X__.12",1,0.00542581021747418
"60","Chaetosphaeronema",1,0.00465624349691753
"61","Leptospora",1,7.7008421616396e-05
"62","Ophiobolopsis",1,0.000822853812357721
"63","Ophiosphaerella",1,0.00233709219108535
"64","Paraphoma",1,0.164082813924133
"65","Phaeosphaeria",1,0.00773098997407441
"66","Septoriella",1,7.68247523721169e-05
"67","Setophoma",1,0.0161044073801062
"68","unidentified.3",1,7.68247523721464e-05
"69","X__.13",1,0.00308160895338909
"70","Alternaria",1,0.491902208931411
"71","Bipolaris",1,0.00465682475354373
"72","Cochliobolus",1,0.000823413787788535
"73","Curvularia",1,0.0102849300951398
"74","Dichotomophthora",1,0.000820928964877999
"75","Exserohilum",1,0.0038829050032596
"76","Pleospora",1,0.00310165587010703
"77","Stemphylium",1,0.000821423234472228
"78","X__.14",1,0.000823761426528851
"79","Monodictys",1,7.68247523721662e-05
"80","Nigrograna",1,7.68247523721633e-05
"81","X__.15",1,0.0272446883576596
"82","Preussia",1,0.11590543645725
"83","Sporormia",1,7.68247523721565e-05
"84","Sporormiella",1,0.00778147855020947
"85","Westerdykella",1,0.00232538171359282
"86","unidentified.4",1,0.0937561655846194
"87","Roussoella",1,0.000823343675280653
"88","Torula",1,7.68247523721594e-05
"89","unidentified.5",1,0.0135270994490841
