,Segment,DPH
D01E01C,Cecum,1
D01E01D,Duodenum,1
D01E01I,Ileum,1
D01E01J,Jejunum,1
D01E02C,Cecum,1
D01E02D,Duodenum,1
D01E02I,Ileum,1
D01E02J,Jejunum,1
D01E03C,Cecum,1
D01E03D,Duodenum,1
D01E03I,Ileum,1
D01E03J,Jejunum,1
D01E04C,Cecum,1
D01E04D,Duodenum,1
D01E04I,Ileum,1
D01E04J,Jejunum,1
D01E05C,Cecum,1
D01E05D,Duodenum,1
D01E05I,Ileum,1
D01E05J,Jejunum,1
D01E06C,Cecum,1
D01E06D,Duodenum,1
D01E06I,Ileum,1
D01E06J,Jejunum,1
D01E07C,Cecum,1
D01E07D,Duodenum,1
D01E07I,Ileum,1
D01E07J,Jejunum,1
D01E08C,Cecum,1
D01E08D,Duodenum,1
D01E08I,Ileum,1
D01E08J,Jejunum,1
D01E09C,Cecum,1
D01E09D,Duodenum,1
D01E09I,Ileum,1
D01E09J,Jejunum,1
D01E10C,Cecum,1
D01E10D,Duodenum,1
D01E10I,Ileum,1
D01E10J,Jejunum,1
D04E01C,Cecum,4
D04E01D,Duodenum,4
D04E01I,Ileum,4
D04E01J,Jejunum,4
D04E02C,Cecum,4
D04E02D,Duodenum,4
D04E02I,Ileum,4
D04E02J,Jejunum,4
D04E03C,Cecum,4
D04E03D,Duodenum,4
D04E03I,Ileum,4
D04E03J,Jejunum,4
D04E04C,Cecum,4
D04E04D,Duodenum,4
D04E04I,Ileum,4
D04E04J,Jejunum,4
D04E05C,Cecum,4
D04E05D,Duodenum,4
D04E05I,Ileum,4
D04E05J,Jejunum,4
D04E06C,Cecum,4
D04E06D,Duodenum,4
D04E06I,Ileum,4
D04E06J,Jejunum,4
D04E07C,Cecum,4
D04E07D,Duodenum,4
D04E07I,Ileum,4
D04E07J,Jejunum,4
D04E08C,Cecum,4
D04E08D,Duodenum,4
D04E08I,Ileum,4
D04E08J,Jejunum,4
D04E09C,Cecum,4
D04E09D,Duodenum,4
D04E09I,Ileum,4
D04E09J,Jejunum,4
D04E10C,Cecum,4
D04E10D,Duodenum,4
D04E10I,Ileum,4
D04E10J,Jejunum,4
D07E01C,Cecum,7
D07E01D,Duodenum,7
D07E01I,Ileum,7
D07E01J,Jejunum,7
D07E02C,Cecum,7
D07E02D,Duodenum,7
D07E02I,Ileum,7
D07E02J,Jejunum,7
D07E03C,Cecum,7
D07E03D,Duodenum,7
D07E03I,Ileum,7
D07E03J,Jejunum,7
D07E04C,Cecum,7
D07E04D,Duodenum,7
D07E04I,Ileum,7
D07E04J,Jejunum,7
D07E05C,Cecum,7
D07E05D,Duodenum,7
D07E05I,Ileum,7
D07E05J,Jejunum,7
D07E06C,Cecum,7
D07E06D,Duodenum,7
D07E06I,Ileum,7
D07E06J,Jejunum,7
D07E07C,Cecum,7
D07E07D,Duodenum,7
D07E07I,Ileum,7
D07E07J,Jejunum,7
D07E08C,Cecum,7
D07E08D,Duodenum,7
D07E08I,Ileum,7
D07E08J,Jejunum,7
D07E09C,Cecum,7
D07E09D,Duodenum,7
D07E09I,Ileum,7
D07E09J,Jejunum,7
D07E10C,Cecum,7
D07E10D,Duodenum,7
D07E10I,Ileum,7
D07E10J,Jejunum,7
D14E01C,Cecum,14
D14E01D,Duodenum,14
D14E01I,Ileum,14
D14E01J,Jejunum,14
D14E02C,Cecum,14
D14E02D,Duodenum,14
D14E02I,Ileum,14
D14E02J,Jejunum,14
D14E03C,Cecum,14
D14E03D,Duodenum,14
D14E03I,Ileum,14
D14E03J,Jejunum,14
D14E04C,Cecum,14
D14E04D,Duodenum,14
D14E04I,Ileum,14
