	D01E01C	D01E01D	D01E01I	D01E01J	D01E02C	D01E02D	D01E02I	D01E02J	D01E03C	D01E03D	D01E03I	D01E03J	D01E04C	D01E04D	D01E04I	D01E04J	D01E05C	D01E05D	D01E05I	D01E05J	D01E06C	D01E06D	D01E06I	D01E06J	D01E07C	D01E07D	D01E07I	D01E07J	D01E08C	D01E08D	D01E08I	D01E08J	D01E09C	D01E09D	D01E09I	D01E09J	D01E10C	D01E10D	D01E10I	D01E10J	D04E01C	D04E01D	D04E01I	D04E01J	D04E02C	D04E02D	D04E02I	D04E02J	D04E03C	D04E03D	D04E03I	D04E03J	D04E04C	D04E04D	D04E04I	D04E04J	D04E05C	D04E05D	D04E05I	D04E05J	D04E06C	D04E06D	D04E06I	D04E06J	D04E07C	D04E07D	D04E07I	D04E07J	D04E08C	D04E08D	D04E08I	D04E08J	D04E09C	D04E09D	D04E09I	D04E09J	D04E10C	D04E10D	D04E10I	D04E10J	D07E01C	D07E01D	D07E01I	D07E01J	D07E02C	D07E02D	D07E02I	D07E02J	D07E03C	D07E03D	D07E03I	D07E03J	D07E04C	D07E04D	D07E04I	D07E04J	D07E05C	D07E05D	D07E05I	D07E05J	D07E06C	D07E06D	D07E06I	D07E06J	D07E07C	D07E07D	D07E07I	D07E07J	D07E08C	D07E08D	D07E08I	D07E08J	D07E09C	D07E09D	D07E09I	D07E09J	D07E10C	D07E10D	D07E10I	D07E10J	D14E01C	D14E01D	D14E01I	D14E01J	D14E02C	D14E02D	D14E02I	D14E02J	D14E03C	D14E03D	D14E03I	D14E03J	D14E04C	D14E04D	D14E04I	D14E04J	D14E05C	D14E05D	D14E05I	D14E05J	D14E06C	D14E06D	D14E06I	D14E06J	D14E07C	D14E07D	D14E07I	D14E07J	D14E08C	D14E08D	D14E08I	D14E08J	D14E09C	D14E09D	D14E09I	D14E09J	D14E10C	D14E10D	D14E10I	D14E10J	D21E01C	D21E01D	D21E01I	D21E01J	D21E02C	D21E02D	D21E02I	D21E02J	D21E03C	D21E03D	D21E03I	D21E03J	D21E04C	D21E04D	D21E04I	D21E04J	D21E05C	D21E05D	D21E05I	D21E05J	D21E06C	D21E06D	D21E06I	D21E06J	D21E07C	D21E07D	D21E07I	D21E07J	D21E08C	D21E08D	D21E08I	D21E08J	D21E09C	D21E09D	D21E09I	D21E09J	D21E10C	D21E10D	D21E10I	D21E10J	D28E01C	D28E01D	D28E01I	D28E01J	D28E02C	D28E02D	D28E02I	D28E02J	D28E03C	D28E03D	D28E03I	D28E03J	D28E04C	D28E04D	D28E04I	D28E04J	D28E05C	D28E05D	D28E05I	D28E05J	D28E06C	D28E06D	D28E06I	D28E06J	D28E07C	D28E07D	D28E07I	D28E07J	D28E08C	D28E08D	D28E08I	D28E08J	D28E09C	D28E09D	D28E09I	D28E09J	D28E10C	D28E10D	D28E10I	D28E10J	D35E01C	D35E01D	D35E01I	D35E01J	D35E02C	D35E02D	D35E02I	D35E02J	D35E03C	D35E03D	D35E03I	D35E03J	D35E04C	D35E04D	D35E04I	D35E04J	D35E05C	D35E05D	D35E05I	D35E05J	D35E06C	D35E06D	D35E06I	D35E06J	D35E07C	D35E07D	D35E07I	D35E07J	D35E08C	D35E08D	D35E08I	D35E08J	D35E09C	D35E09D	D35E09I	D35E09J	D35E10C	D35E10D	D35E10I	D35E10J	D42E01C	D42E01D	D42E01I	D42E01J	D42E02C	D42E02D	D42E02I	D42E02J	D42E03C	D42E03D	D42E03I	D42E03J	D42E04C	D42E04D	D42E04I	D42E04J	D42E05C	D42E05D	D42E05I	D42E05J	D42E06C	D42E06D	D42E06I	D42E06J	D42E07C	D42E07D	D42E07I	D42E07J	D42E08C	D42E08D	D42E08I	D42E08J	D42E09C	D42E09D	D42E09I	D42E09J	D42E10C	D42E10D	D42E10I	D42E10J
genus1	0	0	387	0	0	285	0	103	0	0	62	0	0	0	0	0	0	188	3	0	0	0	12	170	0	0	0	0	213	0	0	0	0	0	0	32	0	0	0	153	1602	405	968	268	1170	3908	834	1733	1695	2696	10	1522	1333	957	446	862	3980	1535	261	974	1149	1196	276	1190	2355	303	0	636	4569	14	1971	1469	1091	7	2351	1084	2144	281	4903	676	973	17	1672	485	1101	26	2	1605	1662	3457	3	1534	1753	32	4	387	1290	1543	800	2275	688	4	602	1225	3015	87	204	210	1829	7	5	108	2400	8	220	52	2121	1884	590	233	106	26	238	90	310	381	386	655	171	957	245	443	1383	69	289	1226	0	1648	1527	992	2	1210	1405	674	4	2048	143	1366	286	487	0	1352	787	761	0	525	1002	5	5	725	8	1329	150	774	7523	17	929	998	4684	433	1458	994	778	1073	4456	867	868	545	846	1232	1498	2	2446	1601	139	688	1841	1280	619	506	1388	170	436	833	2103	1067	6800	0	3868	1272	1948	0	2	817	3645	5	2	925	4338	410	130	1103	1767	8	427	281	2015	1342	3796	207	808	3	250	802	46	0	2048	1797	5437	4	288	1072	2674	0	1995	823	5115	0	663	321	2285	0	1826	952	2152	1028	662	833	2033	430	168	1139	1323	3	3491	616	1893	3	135	1808	1963	1246	173	385	1063	11534	2689	1458	1081	0	2473	1292	1044	0	2179	1702	2489	0	1260	2381	2942	1398	1473	731	1841	0	3137	654	1050	21	455	1147	271	2669	16	598	165	0	1807	1306	297	0	309	967	195	438	459	753	692	0	1199	1209	465	921	1019	0	1429	0	7	405
genus2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	3	213	0	1076	0	101	9	0	0	1109	153	0	0	382	73	64	5	323	48	0	798	904	112	0	17	393	23	0	0	1148	0	0	985	780	0	5	129	464	0	0	1064	631	58	319	5	386	0	18	0	547	42	4	3	220	51	0	6	646	199	0	0	787	31	6	194	566	0	0	0	23	110	2	116	87	285	2	296	382	0	2	69	145	0	0	56	343	0	0	0	227	0	0	3	662	0	0	678	768	0	8	404	544	0	0	0	1018	0	0	0	864	0	0	11	591	672	2	1440	1151	0	0	4	813	139	0	15	538	0	0	2502	986	837	0	2343	1092	0	486	635	319	555	0	1039	1383	0	174	870	328	10	193	648	398	0	3	608	477	0	0	0	958	4	8	0	739	457	748	0	1355	1389	0	12	917	374	0	0	291	0	0	0	440	0	0	0	661	0	0	0	215	0	3819	156	686	57	1329	625	952	593	0	5	222	178	0	430	144	2	158	881	495	69	0	0	817	0	0	0	73	0	4	2	978	64	1260	86	28	0	0	1311	909	0	0	0	1130	53	0	692	250	0	0	348	1195	0	0	238	668	841	0	0	515	0	0	0	517	183	469	0	443	30	0	555	1071	91	0	5	864	0	231	1144	660	0	0	3	592	3	801	0	0	961	0	0	151
genus3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus4	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus5	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	170	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus7	1150	2584	0	1819	1266	367	0	505	4015	651	401	302	618	0	128	691	1173	347	0	2030	473	0	75	2276	1660	0	0	214	1403	14	113	1590	435	1399	1195	653	718	0	1311	2763	375	240	0	0	76	0	1366	605	530	0	0	0	132	287	225	0	162	0	0	0	120	658	0	0	393	0	0	0	177	62	0	0	87	0	0	0	163	0	1745	0	367	837	886	0	158	0	0	0	222	186	0	226	158	0	75	0	264	366	0	0	239	0	0	0	147	0	0	0	195	0	0	0	211	0	0	0	175	1035	0	92	0	0	0	0	376	1138	416	97	0	0	141	100	0	0	209	0	0	337	97	0	302	0	0	0	0	0	313	0	0	0	0	0	0	0	1925	68	0	920	0	0	0	1701	219	190	1413	0	221	0	0	0	0	0	0	0	513	111	0	0	0	0	0	0	119	0	251	292	0	0	0	358	0	0	0	0	684	0	1016	548	1285	94	531	0	610	0	423	365	0	0	271	0	203	0	172	0	126	251	0	5301	1367	210	0	0	877	0	0	0	0	575	683	0	2117	0	0	0	0	0	712	0	671	37	116	0	289	0	522	205	0	0	163	1899	1658	0	193	0	0	0	355	1766	910	457	299	354	290	0	77	0	71	0	35	0	0	241	473	0	165	0	289	0	259	0	432	0	1850	125	0	0	0	0	0	0	1248	120	0	0	1047	0	0	0	0	0	0	0	670	0	0	0	0	0	0	15	0	0	2867	0	679	0	0	0	0	0
genus8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus9	12462	16053	7969	6646	7393	922	5912	4831	7173	7364	5240	7876	3714	6901	2217	2939	13596	5778	2719	3488	3724	2427	424	3519	3118	9429	2574	1623	23338	4415	1237	7675	996	5392	7150	4336	8615	7372	4788	30166	3428	5008	7776	715	3379	10973	10015	2175	4050	3487	1231	770	4430	3718	2341	288	5078	5775	4731	599	3030	6135	1200	599	5434	3921	0	314	3365	1793	1391	693	4091	96	2096	647	5171	2413	15227	821	7109	8379	14848	1473	2751	1071	5698	478	3910	5128	106	1643	3787	3378	16728	4850	3742	4696	6238	5193	3133	610	3490	715	5463	892	339	148	3296	0	92	74	6573	366	351	0	6841	5331	5362	728	6247	2665	2452	219	2881	1335	4973	695	3823	60	1313	343	6850	3987	2332	738	833	7369	3972	512	2393	6360	1317	282	2922	1658	1467	696	1309	41310	5129	691	2542	2560	22	487	619	3217	5826	980	1033	2387	2140	1603	13829	899	4183	479	5500	2914	6735	570	492	5319	8732	827	2527	58742	2791	487	1639	11180	3982	774	1811	1408	69147	526	5049	5640	55403	256	5319	810	7891	562	15695	2666	13036	1131	6772	2184	3199	513	11368	2269	10638	667	8510	608	4117	472	1323	3763	5357	426	1743	9714	7205	665	4057	13424	3442	392	1478	8392	7924	1590	10015	11987	4740	716	4216	29	7220	258	6348	15	3282	0	5030	10080	5992	1265	7532	7254	8264	925	3932	507	5024	822	3515	1449	7002	141	4070	6519	3522	3156	4197	6920	0	1338	4190	28561	3936	590	2488	51	25784	2286	4256	3830	4246	675	4868	3588	3586	829	9032	7663	22945	2862	9430	3602	15585	479	3030	58	4842	730	12532	755	4057	756	31990	6163	4905	785	21310	6447	2662	730	44469	490	4633	256	4913	0	1385	541	11636	740	14325	212	2651	6477	3935	348
genus10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	0	0	0	0	0	0	0	0	0	0	0	0	0	303
