D01E01C D01E02C D01E03C D01E04C D01E05C D01E06C D01E07C D01E08C D01E09C D01E10C D04E01C D04E02C D04E03C D04E04C D04E05C D04E06C D04E07C D04E08C D04E09C D04E10C D07E01C D07E02C D07E03C D07E04C D07E05C D07E06C D07E07C D07E08C D07E09C D07E10C D14E01C D14E02C D14E03C D14E04C D14E05C D14E06C D14E07C D14E08C D14E09C D14E10C D21E01C D21E02C D21E03C D21E04C D21E05C D21E06C D21E07C D21E08C D21E09C D21E10C D28E01C D28E02C D28E03C D28E04C D28E05C D28E06C D28E07C D28E08C D28E09C D28E10C D35E01C D35E02C D35E03C D35E04C D35E05C D35E06C D35E07C D35E08C D35E09C D35E10C D42E01C D42E02C D42E03C D42E04C D42E05C D42E06C D42E07C D42E08C D42E09C D42E10C
D01E01C NA -2.49364717198126 -1.09229667855808 -1.78107572869282 -2.55012265813843 -0.354941800965391 -2.52239599016387 -1.67809989038638 -2.43925931526082 -1.95190480623241 -1.5088276120979 -1.41754849149233 -1.53442576972721 -1.68241477335935 -1.67900963945293 -1.28588972194869 -1.09611233403419 -1.83874222731668 -1.54263775738651 -1.34119991246236 -0.62327198923153 -0.66470251387964 -0.769439147101256 -0.872618504811293 -0.572447335088777 -0.399439444254374 0.164517370877339 -0.661765242252101 -0.652466633490094 -0.448067874592086 0.139290232678697 -0.221040640670471 0.214004054550322 0.225473263121134 0.16427652993042 0.137507766003162 0.0841933847011781 0.119444960296902 -0.0507671568582371 0.436639944193626 0.628608479682251 0.52641668305822 1.04735742413707 1.21518739938735 0.346331365375064 1.49038544843962 0.385094067728961 1.03937218064811 0.955627719326917 0.785497133398682 1.15774054950591 1.83312284787256 1.3910216004342 1.62724062361194 1.04324994279484 2.87721029954158 1.21887521445168 1.62042719734911 2.43309420101144 1.20971694393516 0.910935114438436 1.0028285187159 0.949232327432625 0.613573114272476 1.33595864175485 0.368158238395238 0.678104125124247 -0.597483375658446 1.34848055205634 0.998683036702788 0.38254510010865 0.741587635616797 0.853569768532576 0.349584148894259 0.472804975136127 0.717655576605737 0.420316752934854 0.856603052902096 0.345225043259815 0.655795233642147
D01E02C -2.49364717198126 NA -1.987981812124 -3.16893042141637 -3.00282872669124 -0.459376541293738 -2.12870310759424 -2.0856219593764 -2.50750937879486 -2.39935898742912 -1.51603204409761 -1.44266455426563 -1.6049928497148 -1.73489265627292 -1.72982867479481 -1.32349666282226 -1.1673543821507 -1.85685807189099 -1.57489910283518 -1.41379296803389 -0.713071492633226 -0.750589686566067 -0.866435290567639 -0.947551857721514 -0.668802062360425 -0.48804143674286 0.0111478576396107 -0.757945119835847 -0.740373997845328 -0.559073557529304 0.0158070545240678 -0.329344726836834 0.0880210707651671 0.0405865576275973 0.0539259003416699 -0.00164187733154566 -0.02891358668989 0.00339938731299306 -0.164798361708209 0.312413057311806 0.526027323888241 0.399767305105295 0.919123091287138 1.09789609699624 0.235299439091022 1.35828831907758 0.25634880380732 0.909006638019648 0.820708042020519 0.651064419912333 0.982285742415801 1.45750119273946 1.06117803964194 1.30565631882001 0.921850606324337 2.64100845582718 0.957299814895559 1.35325011232844 2.2371712486238 1.06948318911357 0.764485787335728 0.902588532462808 0.840931014251814 0.500549462743065 1.27850669582379 0.247077341914677 0.512385321401214 -0.662488032404298 1.23871952376912 0.868830159181468 0.288060793632858 0.612734647539132 0.70656653579259 0.234603638714107 0.337080731531802 0.605470415246582 0.300910171045801 0.724458239562989 0.23630890656418 0.540500213394306
D01E03C -1.09229667855808 -1.987981812124 NA -1.90645097066369 -2.87886450493665 -1.05868100081473 -2.04010008558295 -0.89997070403397 -2.38697999965077 -1.64543754801707 -1.85621894759079 -1.82736188739856 -1.91237641389556 -2.07736315692339 -2.1319766083196 -1.67866799949513 -1.55595578856897 -2.21546820439108 -1.97878016966416 -1.70596051384013 -1.09432073112252 -1.16429829444482 -1.2183177308238 -1.38520712248657 -1.1056817502166 -0.937775384435144 -0.177830577839353 -1.21181814139525 -1.15885305503268 -0.96094794675565 -0.198331087839706 -0.486326434416826 -0.151166193513046 0.0972527226905587 -0.168584695386231 -0.215875631115415 -0.341088292245523 -0.0697707223878655 -0.479512889783901 0.148267975211974 0.497978999995349 0.553595997474788 0.901935575907027 1.1444576425435 0.183380962511953 1.5318592829933 0.178312212202462 0.985470885012708 0.745067985352992 0.769271063065617 1.18262975326678 2.18539112794862 1.62639657960931 1.89987530082928 1.0560358243239 2.24067177637227 1.25891500831641 1.79777009208085 1.71234963402396 1.22485395304469 0.626221062071277 0.793449307831221 0.698180113948022 0.389485388892004 1.34683842618658 0.0456386258192183 0.277486744553368 -0.748520239468866 1.1608801679041 0.874305017921577 0.0649077365197229 0.508871901590958 0.488497199439976 0.179435917656975 0.126069262541086 0.317755093057128 0.134457501268838 0.574577273380536 0.0999105878711958 0.47944175248866
D01E04C -1.78107572869282 -3.16893042141637 -1.90645097066369 NA -2.22376660368678 -1.13232038184903 -2.46049952519298 -1.45976789837741 -2.47656275783272 -1.83456700078008 -2.07286327276693 -1.97207472439352 -2.15310370843229 -2.3477550569024 -2.33775116593325 -1.93473724665868 -1.74420048370002 -2.28755201995116 -2.21801764415572 -1.79279462217733 -1.07047737998087 -1.14801662761786 -1.24244355356121 -1.280479819896 -1.14008712139278 -0.806062023328386 0.143529314688643 -1.10994775321016 -1.11066774854284 -1.00836568160002 0.0429994762290488 -0.288674956722397 0.105183670582432 0.176802635183487 -0.0362506933967656 0.0562550715892979 -0.0604839334508376 0.135413921650315 -0.632853858303725 0.352621751058504 0.765663697952729 0.879642493843176 1.26983519521811 1.51623496817892 0.440147820369649 1.8816283407602 0.476275419814127 1.29854842981346 1.10207181403476 0.956881559177681 1.50949770881187 2.07210736427784 1.4024691949026 1.74231424865946 1.25937155532827 2.54229526598491 1.43891769694616 2.23343290311098 2.20281406476203 1.42141709337145 1.01573474600666 1.16554314025864 1.03692988377052 0.706630241320067 1.73113467649041 0.337345088778035 0.667781780818505 -0.537704761757923 1.43627590630018 1.2125833901475 0.307069841148773 0.858252955911492 0.86029623591604 0.516461710259661 0.481377765342663 0.646692062164686 0.503605569766666 0.914049527344086 0.407665341528901 0.804565325063275
D01E05C -2.55012265813843 -3.00282872669124 -2.87886450493665 -2.22376660368678 NA -2.62630697763486 -2.95662193766337 -2.58397035937038 -1.84287436024948 -3.00302834858998 -1.47548833435108 -1.46897955811008 -1.60548379564748 -1.71537467804199 -1.71482206018403 -1.30219630788595 -1.18290027835606 -1.83956378825708 -1.60102029739156 -1.38153399317988 -0.713779350227052 -0.757503729767435 -0.817580341762074 -0.98239842854073 -0.721091675872063 -0.559951280575784 0.235415231339011 -0.806642047123735 -0.728103127926226 -0.582161404660653 0.17326416639728 -0.0857469650884605 0.218446165411597 0.284823807822252 0.239003972022453 0.24267328814984 0.0730563674865865 0.325303933956198 -0.0788851508254831 0.536215821425913 0.79425702597709 0.900670773981488 1.28087296992527 1.43106650350087 0.569685121260718 1.91739683680835 0.564909826363701 1.31165988627062 1.08579596581186 1.09260851887475 1.4720887857273 1.87086229241521 1.32296599979265 1.64843342517995 1.34601554320398 3.12271747248552 1.36499743747439 1.92028547658872 2.70493078088209 1.50091527519619 1.00006687002275 1.14239433990464 1.07169462797567 0.771364732157078 1.71838157088878 0.430961181923073 0.700051158979722 -0.397647332799114 1.46236609271104 1.19386720676247 0.418864774354497 0.908037843674225 0.909770317086139 0.566834888198743 0.528348543155992 0.688145797213838 0.564262615590525 0.954540663601681 0.443466359038628 0.805847527603268
D01E06C -0.354941800965391 -0.459376541293738 -1.05868100081473 -1.13232038184903 -2.62630697763486 NA -1.71448411395782 -1.01578616946095 -1.55350312872909 0.368441095820975 -1.02097769566442 -0.990148348879231 -1.19121102634974 -1.23281305185659 -0.568296068066415 -0.905060485039115 -0.880681714283312 -1.27659960616839 -1.07686280700424 -0.953108521003359 -0.0140467332407692 -0.463282179572824 -0.0910174436264174 -0.0702749163632656 -0.55852812790065 -0.469379166336436 0.0736592216790486 -0.520715133001971 0.0753682778309734 -0.526010662942411 0.0985595112207607 -0.199568467858716 0.122488004412751 0.561136827097216 0.470892451625406 0.591619743810487 0.40583534422012 0.652057434622518 0.199982019099419 0.0764884344868606 0.381053277566254 0.820826058187123 0.52975783375002 0.646897042438841 0.683662289894052 1.39627085581363 0.658864509264699 0.595773804831814 0.420073992847619 0.898610161286097 1.22506440592417 1.44548223389578 1.09537378514219 1.28089985845846 1.16668861355691 1.29414082430487 1.10410300824586 1.32932048797749 1.10197975142532 1.13346220222828 0.845941957065286 1.01212028882163 0.930668656219841 0.725630100138286 1.35013209376144 0.564523050524662 0.705155408459801 0.210513677709123 0.613655793813717 0.522145055293984 0.606119309825734 0.790167127739353 0.813082566060877 0.644440690722655 0.634202031834402 0.214872343303017 0.678625254238524 0.821949386083732 0.127553639553957 0.848564889798805
D01E07C -2.52239599016387 -2.12870310759424 -2.04010008558295 -2.46049952519298 -2.95662193766337 -1.71448411395782 NA -2.14396679405206 -2.13464275816253 -1.90692041763827 -2.30194475474199 -2.29058138728038 -2.37923128261158 -2.48337262236918 -2.6084954973095 -2.14829768703029 -2.02491402281665 -2.60844909954087 -2.47661572718645 -2.18967094134683 -1.65221741090095 -1.74255721540432 -1.77042440200092 -1.89973597184115 -1.71591006338997 -1.46971410517384 -0.967901470062752 -1.83600891991177 -1.78900388857443 -1.59580930830901 -0.930935802729959 -1.20686589726203 -0.868614821765422 -0.642573203801611 -0.84312221822673 -0.96084899911697 -1.00321603900721 -0.72743698221146 -1.15305693561767 -0.603122710753538 -0.129364178591826 -0.169603227678107 0.0902544123926824 0.376782182276359 -0.52456048795817 0.782132301186664 -0.568697796777228 0.234289677163341 -0.0344408636724541 0.027274371272099 0.46248619654383 1.15187554082582 0.601604571335911 0.914076428348242 0.420108582662938 1.23277201489608 0.365897435532223 0.80076710781111 0.695722279719778 0.481601964395026 -0.150737864393157 0.0710448195025704 0.01293117820812 -0.29939208895438 0.610976563691646 -0.655540440836752 -0.495199709732598 -1.2900710655925 0.411843125355833 0.103846140742018 -0.569123046031728 -0.307192833148954 -0.290289787625979 -0.525781443674099 -0.593628704843593 -0.389956714893034 -0.619444425039973 -0.217784554020389 -0.572975670309872 -0.197763374044009
D01E08C -1.67809989038638 -2.0856219593764 -0.89997070403397 -1.45976789837741 -2.58397035937038 -1.01578616946095 -2.14396679405206 NA -2.57178063795035 -2.14108225571837 -2.57757693921453 -2.49354855141853 -2.55352321240923 -2.6917204801593 -2.79411498343299 -2.34501306568397 -2.20549421256045 -2.74402853371603 -2.5147471260705 -2.38964129418688 -1.63750721950309 -1.6442690494524 -1.65897645665483 -2.25702780426292 -1.85151950301959 -1.10239506349819 -1.20491982842376 -1.86374332385259 -1.86217809321701 -1.31678550313098 -1.02458788959584 -1.30198592036202 -0.938485326059346 -1.62350257337309 -0.914550513409101 -1.49841298164481 -0.923318999830604 -0.732919015845627 -0.719675812248624 -0.95399678089143 0.100874162472616 -0.350346418126411 -0.76954047549738 -0.165959142170485 -1.15509473291591 -0.642390256470552 -1.32183182242663 -0.856836833453785 -0.914954879078615 -0.324595430639255 0.385146098991552 1.46738906881157 1.45083477479431 1.58424533762486 -0.53977070216412 0.329041077567738 0.698375246521432 1.21478891388919 0.720252352642126 -0.15615378403984 -0.0372829777077263 -0.0247458900925161 -0.036421703267204 0.0273150507124232 0.154889061291364 -0.300869644623336 -0.636849572255564 -2.02624665114667 0.430662176989972 -0.0977892760568209 -0.32135481478658 -0.490699105713907 -0.495155473150049 -0.72248313583976 -0.651973096018428 -0.371805667773257 -1.27891279618799 0.0417335164499315 -0.362396389846604 -1.03676411048912
D01E09C -2.43925931526082 -2.50750937879486 -2.38697999965077 -2.47656275783272 -1.84287436024948 -1.55350312872909 -2.13464275816253 -2.57178063795035 NA -1.60568962412356 -1.90909644299125 -1.86097565400869 -1.95741591208762 -2.15233039348281 -2.12992042826067 -1.67040722969924 -1.6063642602985 -2.24894253533293 -2.02211045445815 -1.78562881657762 -1.03555859967986 -1.12351521954661 -1.18096578990601 -1.34514477731505 -1.05258530215532 -0.868229667666639 -0.0394220313162648 -1.21633944725681 -1.059459504023 -0.911381689246142 -0.0860444913067134 -0.342161592149251 -0.023763531348794 0.349776793105601 -1.62407343410129e-05 0.00068412612633554 -0.162041105251733 0.15165732719048 -0.343147282114582 0.313512546981503 0.612005044578526 0.76648965798314 1.09164887427287 1.32124304687442 0.424495967739371 1.82896003605595 0.39531008945528 1.22378152388418 0.935496536705046 1.00210679075048 1.46702153560866 2.57449776432765 1.99729690435575 2.23424316311425 1.31380037674433 2.09721574209181 1.72398383271921 2.25695291229898 1.65280389170233 1.48311190930117 0.892342475387755 1.08622010341951 0.916124368640778 0.566025186811396 1.60546904185923 0.210619054312117 0.525110415215152 -0.663305483865078 1.34365349991631 1.07564482300708 0.241474232988117 0.728908734675864 0.742397164512409 0.381751725963033 0.338127087666385 0.453897480224971 0.361749621509159 0.753868064968825 0.240903731608602 0.661771404046412
D01E10C -1.95190480623241 -2.39935898742912 -1.64543754801707 -1.83456700078008 -3.00302834858998 0.368441095820975 -1.90692041763827 -2.14108225571837 -1.60568962412356 NA -2.49778400792106 -2.60382632891249 -2.69608465249554 -2.74662407181359 -2.9056258558886 -2.4708318774738 -2.30325593109254 -2.74670241995263 -2.56754615851799 -2.33339978654342 -1.81355061803981 -1.76308797398363 -1.84137914387653 -2.25054856849626 -1.98685990230718 -1.31204396018124 -0.703395368873405 -1.96929787558031 -1.91020637540012 -1.48054154786662 -0.733584588812446 -1.00356249973034 -0.610198457428412 -0.638408083214754 -0.600345045271245 -0.584768629208797 -0.811346649673686 -0.311509650486846 -0.82968749967644 0.0449897681089346 0.437456959042367 0.531135527812312 0.570071614469977 0.946182177715651 -0.0402119529489144 1.44091350791336 -0.271729814608397 0.67158001558084 0.516424103033951 0.719322619673246 1.24503946967183 2.03507600883271 1.38984312583402 1.78006007115292 0.965254629604276 2.17110810959626 1.15607923480716 1.71598213354858 1.81084840095103 1.05702844834698 0.324237210300258 0.620163788407748 0.487541199249641 0.360817664203338 1.23575888587262 -0.053930639591325 -0.111541573940113 -1.11288658830709 1.09602794240185 0.772845630277265 -0.133598837571838 0.247522056285189 0.125691050709127 -0.0551372648293796 -0.262276714854594 -0.0633725066218069 -0.315823708830391 0.426969357579001 -0.00580149967763841 -0.0917932782721652
D04E01C -1.5088276120979 -1.51603204409761 -1.85621894759079 -2.07286327276693 -1.47548833435108 -1.02097769566442 -2.30194475474199 -2.57757693921453 -1.90909644299125 -2.49778400792106 NA -2.20501308698765 -3.1565077943932 -2.59406299510489 -3.02258744075188 -2.39774493690977 -2.90551041010901 -2.46280355006641 -3.33480071205342 -3.05872123662069 -1.57863756232213 -1.69063856626024 -1.57075937359247 -3.09423347989604 -1.88209997865894 -1.46504636222575 -1.62267045177244 -2.42262859334659 -2.22775894638563 -2.46899782463858 -0.336142951260345 -0.0515203481004391 -0.687593273849072 -0.657476251228399 -0.595985452361649 -1.55005644488961 -0.585881620560553 -0.255033808596379 -1.5639575407474 -1.33133649140285 0.887666735686253 0.769618430543623 0.745951990873209 1.3419079548499 -0.456442998116549 0.15930590613294 -1.00767490418329 0.353545373671316 -0.506606410138244 0.674789878325964 1.89230195844293 1.25429847467446 1.47774246337004 0.973698210648126 -0.428273750779577 -0.342731896457825 0.68853145268294 1.38230480574279 1.67635862056084 0.402470120754173 0.17458133851082 0.145270271323444 -0.410382042097384 -0.171326640307649 1.93960009740997 -0.297659947878714 -0.894951783671716 -1.5189158134529 0.614097126611304 0.171489791279168 -0.494418149316297 0.433611868970903 -0.713199911442108 0.272518805459502 -0.127109301044587 -0.936605601210145 -1.03515701253784 0.394952442567644 -0.442598158969496 0.649648665501198
D04E02C -1.41754849149233 -1.44266455426563 -1.82736188739856 -1.97207472439352 -1.46897955811008 -0.990148348879231 -2.29058138728038 -2.49354855141853 -1.86097565400869 -2.60382632891249 -2.20501308698765 NA -2.60815361130892 -2.69278793366204 -2.20543525220209 -2.37606711267549 -2.48798148243959 -2.37622466396416 -1.83032775124523 -1.93750869767884 -1.95453949473046 -1.81171730882291 -1.63053261068629 -2.306992227452 -1.74105501721271 -1.2853145546687 -1.43934341976714 -2.12666444097567 -2.05013178086019 -1.2967035280501 -0.184488869790857 -0.57849277265812 -0.848979167560081 -0.602768247807149 -0.130415451338722 -1.19134071509311 -0.975171909616402 -0.120742373730903 -1.39796797972542 -0.922240616753627 0.678025688936403 1.2887516013744 0.654690734521687 1.54605384696332 0.34991790632559 0.900318759605462 -0.345035956548495 0.521342675949166 -0.0789992168370284 0.771447151175519 0.20908238326193 1.6157097315062 1.56069989641936 1.26113098633219 -0.352565648726495 -0.445108660005617 0.676880471916653 1.10454016251166 -0.489265599923363 -0.135078294163774 0.66340572334513 0.26160431853968 -0.0297331260163612 0.339469812617425 1.42942250545891 -0.679180319609009 -0.263303543717419 -1.17063904526139 1.01421600984889 0.657278102771686 -0.325363410955126 0.315522099834706 -0.397133991604686 0.99550848001663 0.0559313641982789 -0.499172664233512 -0.0854933359510811 0.528131000638109 -0.276255001210715 0.72821318209461
