D01E01D D01E02D D01E03D D01E04D D01E05D D01E06D D01E07D D01E08D D01E09D D01E10D D04E01D D04E02D D04E03D D04E04D D04E05D D04E06D D04E07D D04E08D D04E09D D04E10D D07E01D D07E02D D07E03D D07E04D D07E05D D07E06D D07E07D D07E08D D07E09D D07E10D D14E01D D14E02D D14E03D D14E04D D14E05D D14E06D D14E07D D14E08D D14E09D D14E10D D21E01D D21E02D D21E03D D21E04D D21E05D D21E06D D21E07D D21E08D D21E09D D21E10D D28E01D D28E02D D28E03D D28E04D D28E05D D28E06D D28E07D D28E08D D28E09D D28E10D D35E01D D35E02D D35E03D D35E04D D35E05D D35E06D D35E07D D35E08D D35E09D D35E10D D42E01D D42E02D D42E03D D42E04D D42E05D D42E06D D42E07D D42E08D D42E09D D42E10D
D01E01D NA -1.84394683838451 -2.58629593427557 -2.33282608360551 -1.60569737323943 -1.12721505250892 -3.18380325946446 -2.70007397416629 -1.20918761398516 -2.63622915912512 -2.80514099822697 -2.68039335353119 -2.44654827834539 -2.75267982361046 -2.11589101277852 -2.2801903561201 -1.43333381590972 -2.72578688481835 -2.54954395196641 -2.32594704314344 -2.54468767816589 -2.88568188431816 -2.93147555661791 -2.14087310310751 -1.66347867653325 -2.60641213614165 -2.8397300453152 -2.30432878998183 -2.45857767077425 -1.76399630483227 -2.77182010714899 -2.71482477064873 -2.40800674970968 -1.66665075311585 -1.61934341934986 -2.6621071030262 -1.27684098315019 -1.61221963902094 -1.88217542340824 -2.3976061260132 -0.951795671981757 -2.84515086182773 -2.81776752506289 -2.74369638228626 -2.30530870019168 -2.71060272051913 -2.22514335070853 -0.0551213106405991 -0.173043670569424 -0.604548467631259 -0.341612511670196 -1.04565188457694 -0.504769962515946 -1.89663140449034 -1.89772636265511 -2.02138968288508 -1.12606931087146 -1.10662898124423 -1.46115303608064 -1.18391449402229 -0.0309787348905981 -0.41615810356525 -2.00993953948552 -0.184863218768356 -0.711711987404024 -1.41307439861767 -0.0923644495174965 -1.27027927162317 -0.933787466107026 -2.19623525981856 -2.49543745838399 -1.9428636382743 -0.14139601991791 -1.36139970381958 -2.12290402840691 -2.22296059004638 -1.97773259620894 -1.45159863478444 -0.0737837462675244 -0.601169434662445
D01E02D -1.84394683838451 NA -2.04894266672617 -2.87808420598469 -2.26254427602308 0.0879949471817162 -2.01802200292526 -1.88243023063068 -1.21885953304369 -1.68756366387199 -2.13628472870003 -2.05058598771734 -2.29768235328228 -2.2305275108803 -1.94798113020886 -1.40381032920856 -0.853053399787064 -1.76064054863032 -2.20411470155343 -2.08002491376209 -1.84910555204233 -2.10730417208067 -2.12252976063389 -1.5293437927871 -1.05948843741005 -1.75062074164972 -2.03945113864741 -1.61356514197704 -1.73766977070344 -1.08140525094702 -1.90405255164166 -1.95395131460301 -1.75815679683204 -0.839892044189779 -1.04168214269486 -1.62946057050699 -0.79764988597665 -0.961524259322096 -1.13109995591326 -1.6802409300903 -0.508292655747887 -1.89077573030585 -1.54419818714664 -1.61126927308978 -1.65096513334605 -1.82390101900918 -0.488350174213152 -0.0540150483698627 -0.136596409242063 -0.400697113516907 -0.293348414915962 -0.665652945105277 -0.408224112004515 -1.34913274455252 -1.26894451597396 -1.76004130479691 -0.839228956549961 -0.799834889345896 -0.938104242492669 -1.07389560177509 -0.0314756845632534 -0.326127949880482 -1.33235298943196 -0.160777950990026 -0.547669821281558 -0.962249074842853 -0.0697797299614899 -1.02119124744319 -0.622345291503951 -1.51571756966111 -1.71677555805151 -1.39140035818463 -0.105152309221704 -0.883278699733442 -1.32013632173698 -1.64091448012424 -1.33907117250944 -1.10353254677426 -0.0941260622171952 -0.515745800849093
D01E03D -2.58629593427557 -2.04894266672617 NA -2.0813356461321 -1.40277645127874 -0.613904265451687 -1.70324773917618 -2.58323572993103 -1.22916029077636 -2.23950487264818 -2.7700973907964 -2.80911949274165 -2.73209914464781 -2.67002376611514 -2.0431373609536 -2.2754378509724 -1.36905047728143 -2.66576511554366 -2.49841338475672 -2.27998122423965 -2.89887498367387 -2.7943944363085 -2.86336312209681 -2.04788441963158 -1.59085106437072 -2.62859693739154 -2.93920766759989 -2.29964632854785 -2.64547170120988 -1.68591901004563 -2.71040516231047 -2.62594184938886 -2.41043385004921 -1.57365952368889 -1.46839910337271 -2.59345685341965 -1.1201391205221 -1.4653108662962 -1.80108847081689 -2.36005281863995 -0.764291967930931 -2.88531163197496 -2.71293425283165 -2.59024759565974 -2.0777813004849 -2.69504588171163 -1.73224845627354 0.0306108580890564 -0.0915053321263178 -0.492378267058694 -0.260822079632243 -0.888201150676875 -0.422539338323124 -1.78726378898738 -1.78069802360162 -2.12948396324955 -1.01713700181743 -0.882275550577941 -1.34407399428119 -1.14968896869332 0.0505517511394447 -0.341171828456088 -1.87348923454814 -0.0896500481620336 -0.546935541956987 -1.3008203575245 -0.00567611465412364 -1.25453780472252 -0.848832317607457 -2.14381528913708 -2.3382813344151 -1.8062769707125 -0.0181065275798019 -1.14097412625867 -1.9623185178305 -2.1594871773547 -2.00400583658126 -1.3444359071666 0.0014373268541947 -0.416568066518933
D01E04D -2.33282608360551 -2.87808420598469 -2.0813356461321 NA -1.37096819680052 -0.715514219178438 -2.3269585310302 -2.78179528797871 -1.31680154798023 -2.71532726737545 -1.91370651086067 -1.7757794850338 -1.71449245810042 -2.04293810065573 -1.88113215244926 -1.21268515999131 -0.695029909236215 -1.46430820762056 -2.05431655477012 -1.96932454324146 -1.46045360193657 -2.00191333879297 -1.72669159006659 -1.08489831491793 -0.876793370801633 -1.55829433058436 -1.67736570647869 -1.1128133344449 -1.31423810183618 -0.901823488268817 -1.47784447435101 -1.56777087286452 -1.63711527484389 -0.729555320586143 -0.815842880934705 -1.48850774983468 -0.462171561948721 -0.739125485937894 -0.944995718796576 -1.49383351075948 -0.416651402249256 -1.66975933238015 -1.82570788121017 -1.44708071099966 -1.47517641302597 -1.58480195195564 -1.46328484948697 0.00855193066292786 -0.0640101197741564 -0.293808730709975 -0.190354605133951 -0.522306252829569 -0.294944859013679 -1.13155751488048 -1.05667462346203 -1.54461862922742 -0.679389649404396 -0.813125919441403 -0.75607589507043 -0.994906334714704 0.0169787603397264 -0.235036436552392 -1.0922230142208 -0.0870113913438147 -0.379321223906184 -0.799299958715946 -0.00829543046644322 -0.944139249596131 -0.476407946195322 -1.29301725976222 -1.35995862009087 -0.99645159069123 0.0103297567856243 -0.616133719910716 -1.11860291588789 -1.34293512727552 -1.14863849970046 -0.941662084071821 -0.0256897585850995 -0.157733715726101
D01E05D -1.60569737323943 -2.26254427602308 -1.40277645127874 -1.37096819680052 NA -2.25865858288054 -1.36610921742396 -1.57738738908397 -0.703111050773101 -1.4295799098467 -1.97574778668649 -1.71051497977999 -1.88203083954191 -1.8950174864485 -1.72442839043337 -1.73307914858357 -1.08671573042351 -2.0043795291552 -2.01443521916231 -1.75609817391454 -1.89828097426632 -1.96282220466987 -2.2153521578228 -1.63866854109763 -1.27734869542757 -1.96729710727214 -1.8428169942023 -1.89914899454202 -1.99907112868865 -1.29492936245032 -1.93563376317393 -1.97239135466627 -1.64041365726707 -1.11714989391034 -1.25346107304986 -2.02152556643752 -1.06303726835027 -1.24671859340508 -1.44947777012244 -1.61209195498295 -1.2810399661269 -1.99281836660332 -2.16053494789834 -2.01931259929909 -1.82914218843438 -1.93121102022005 -1.58730065808744 -0.671930497034641 -0.7606909447031 -1.06899071063736 -0.922205518313108 -1.33965828923045 -1.02001900175441 -1.8737297432721 -1.49020083145115 -2.05475843790319 -1.4527546844935 -1.35393145063477 -1.63104634156819 -1.61234793422201 -0.66511962783751 -0.925736555975869 -1.90904991901165 -0.81745220412277 -1.18599969144449 -1.50817451323589 -0.710645807143702 -1.59549556864691 -1.23640498020038 -1.97969380536479 -2.15728667981273 -1.88539837129534 -0.777933120806668 -1.61972073718505 -1.70244181602382 -2.05042733459363 -1.76877865143832 -1.38002336128071 -0.717941517036217 -1.24611079996308
D01E06D -1.12721505250892 0.0879949471817162 -0.613904265451687 -0.715514219178438 -2.25865858288054 NA 0.381862634082089 0.947002466797456 -1.06732502629765 -3.11030983773473 -1.63614608827723 -1.46327712276371 -1.62034872503229 -1.76946350330147 -1.6368649625214 -0.834836334197971 -0.370833206913429 -1.03214791293659 -1.74786159432219 -1.70816911262749 -0.699322885948963 -1.5570274072759 -1.26500623778902 -0.467485966473782 -0.469416791062349 -0.955734998147874 -1.1786114252438 -0.505952609282591 -0.716632015033975 -0.468314204764079 -0.899783058142709 -1.14433306322398 -1.2851101228369 -0.371818488374895 -0.439554572693917 -0.973389444270431 -0.144960962305329 -0.356355707384013 -0.478877267355372 -0.920626527756085 0.0253633116438087 -1.13759818276313 -1.83990596517441 -1.04585632090554 -1.03937420579749 -1.10585414384858 -1.1192986966067 0.232740925193932 0.18392660180655 0.0632736011940997 0.0934158556640934 -0.0173028939559125 0.0492961156842735 -0.469085250549444 -0.570493999338634 -0.871414272526431 -0.193885043159948 -0.443677108679228 -0.192212823667809 -0.54518537169571 0.227744495650293 0.0652514011142318 -0.366403840941549 0.151046813313358 0.0101227359701208 -0.23237381408602 0.250165858514957 -0.518506636262943 -0.0261322238029799 -0.664117907116268 -0.856940421958232 -0.40733616060303 0.243567358619859 -0.180193355872003 -0.657436353127928 -1.03465656514575 -0.618345886095335 -0.549158965032709 0.184407901704275 0.156302964970006
D01E07D -3.18380325946446 -2.01802200292526 -1.70324773917618 -2.3269585310302 -1.36610921742396 0.381862634082089 NA -2.63166863661351 -1.31526317803208 -3.2921311705237 -2.01766472119357 -1.90188447227579 -1.70952234068321 -2.12875744364095 -1.94023139383987 -1.32715384989369 -0.830962905623445 -1.59995984993824 -2.09673436676693 -2.01853273702129 -1.61428015721325 -2.03070713819148 -1.93359376671159 -1.31549057372649 -1.0310952739995 -1.71084403011033 -1.86362495339007 -1.35370236769972 -1.54311068898233 -1.06469789890532 -1.68903730403229 -1.74926207649345 -1.765581147327 -0.865051570944321 -0.97728041433768 -1.61773738346278 -0.622822221204846 -0.893680839014688 -1.13948911871415 -1.67457054798723 -0.528579611589699 -1.83826702529452 -1.64278308608001 -1.54887100138767 -1.57955613579538 -1.75605748007591 -1.19846192495706 -0.0565851892134852 -0.141119123058633 -0.405135917591381 -0.284835392185941 -0.666010798270519 -0.398363739959026 -1.32274688275243 -1.24683690847258 -1.7599059495568 -0.837480708129886 -0.888555692354061 -0.935597255685144 -1.12455241897643 -0.0412393883673932 -0.332981921876026 -1.28397453117508 -0.162385174526048 -0.507744944455568 -0.951568824007547 -0.078737114136092 -1.08686921693161 -0.616364316245095 -1.48680858843196 -1.54435192367103 -1.22845279284666 -0.0734651744675296 -0.777165928523081 -1.29032987199879 -1.51333341550893 -1.26410758550342 -1.04795284431901 -0.0897009188220416 -0.329225310704561
D01E08D -2.70007397416629 -1.88243023063068 -2.58323572993103 -2.78179528797871 -1.57738738908397 0.947002466797456 -2.63166863661351 NA -1.32324811528211 -2.72319381953819 -2.88188235466357 -2.65650651242524 -2.82810546478531 -2.81463547315313 -2.26638838217517 -2.33757682687573 -1.56104022753754 -2.85310932753489 -2.66626227901101 -2.48105028920821 -2.82519656876893 -2.79793964639979 -3.15204973014615 -2.29168330333099 -1.87541067696998 -2.72522616986153 -2.92466334932737 -2.44600099668502 -2.61869723832672 -1.93105293852717 -2.79310367004944 -2.73583425563974 -2.24938801011978 -1.74107090537609 -1.72264115621933 -2.71454488667306 -1.37420211616595 -1.71734333149149 -2.01671378691856 -2.47961917815479 -1.06055326708536 -2.89267695733474 -2.12057477129352 -2.72683437551312 -2.2528897040001 -2.76425976545668 -1.06712741127758 -0.141616446538268 -0.283329044123488 -0.748606949296254 -0.523316137745652 -1.23027107818845 -0.685791065758703 -2.2301567009416 -2.09901137183435 -2.58171908651453 -1.39155147385424 -1.10083989692033 -1.7182899005108 -1.63320986535644 -0.131487732657265 -0.572838701440937 -2.26712392636878 -0.327456471612467 -0.902866909567955 -1.57122067433981 -0.194293392055253 -1.63741856917578 -1.09409281136662 -2.43726249456564 -2.70176035623001 -2.19136915908306 -0.251188952224137 -1.56558621629845 -2.29845454077008 -2.50659620818709 -2.17382912531464 -1.58646342608812 -0.198104321564435 -0.784356005341417
D01E09D -1.20918761398516 -1.21885953304369 -1.22916029077636 -1.31680154798023 -0.703111050773101 -1.06732502629765 -1.31526317803208 -1.32324811528211 NA -1.25507843027148 -1.26382600135601 -1.16785213424894 -1.17266462285873 -1.07320184706145 -1.11263610291364 -1.25530516667118 -0.786457775076028 -1.18636223777748 -1.32630347008747 -1.12390773294198 -1.13134938978853 -1.1487361839897 -1.30957466684468 -1.1636636553779 -0.876210469556288 -1.29799153947903 -1.25509531749917 -1.28344824744417 -1.29886997373172 -0.945773656105003 -1.19116071846137 -1.23795396008101 -0.94920453260874 -0.805418808854308 -0.674166200250675 -1.21555676228618 -0.814617162671411 -0.765345000414536 -2.21757641991412 -0.994773252359502 -0.910295201204854 -1.30782144475452 -1.09215688070887 -1.16945280891517 -0.978165894927669 -1.24156837345392 -0.80870331623498 -0.484266608241632 -0.649562716055272 -0.883853947522304 -0.738508747579515 -0.995195172435972 -0.846404688301159 -1.08910997584071 -0.899495464739041 -1.10769018889043 -0.98802945470774 -0.810024767100818 -1.08713452621515 -0.867119893573373 -0.565635352541771 -0.783377654492949 -1.19876593877475 -0.638120932083861 -0.750079036170024 -1.05470002519858 -0.50051963217118 -0.824218249046726 -0.988509285099554 -1.33764144790802 -1.08695740044601 -1.13118029487752 -0.610004796596257 -0.918489746819654 -1.09163738294865 -1.19361145049743 -1.21458918562772 -0.928985494866285 -0.601461841480151 -0.990629374159708
D01E10D -2.63622915912512 -1.68756366387199 -2.23950487264818 -2.71532726737545 -1.4295799098467 -3.11030983773473 -3.2921311705237 -2.72319381953819 -1.25507843027148 NA -2.59368864093522 -2.91240599416096 -2.59409923549251 -2.68111245806286 -2.03728473163389 -1.92654772913736 -1.18543999305361 -2.37681270929895 -2.42414732364792 -2.30485426729209 -2.66308537874426 -2.69775572429637 -2.61896786365135 -1.84417759764726 -1.39871026227248 -2.47271597958277 -2.84418878245725 -2.03892306237067 -2.43726752128985 -1.49535321606844 -2.60077715206688 -2.527317715797 -2.56020612487762 -1.36186288909598 -1.34932415231133 -2.40581364213317 -0.907306020086203 -1.25848477769011 -1.57789925505689 -2.30376400580376 -0.700147322905273 -2.70758999791867 -3.31161815587596 -2.36059321432581 -2.10979627610633 -2.54414313910081 -1.87416875338082 -0.0165644859370101 -0.135142492095897 -0.505325536787637 -0.263899091056827 -0.784268192957882 -0.420639755380353 -1.60558076599135 -1.63034218453979 -1.97669387614045 -0.984947522267809 -0.975145459546424 -1.15411382773956 -1.12539613345781 0.0113618794875323 -0.363490384747384 -1.65033787622229 -0.119509941954493 -0.568147457370457 -1.26555188449612 -0.0387303205452198 -1.22583472581808 -0.801131925744748 -1.99666941543756 -2.18036974368316 -1.70018913530568 -0.0430540156290945 -1.04754444548124 -1.72925265523865 -1.93348374709296 -1.77273716304578 -1.32060875569697 -0.0335678175508966 -0.388182376333988
