D01E01I D01E02I D01E03I D01E04I D01E05I D01E06I D01E07I D01E08I D01E09I D01E10I D04E01I D04E02I D04E03I D04E04I D04E05I D04E06I D04E07I D04E08I D04E09I D04E10I D07E01I D07E02I D07E03I D07E04I D07E05I D07E06I D07E07I D07E08I D07E09I D07E10I D14E01I D14E02I D14E03I D14E04I D14E05I D14E06I D14E07I D14E08I D14E09I D14E10I D21E01I D21E02I D21E03I D21E04I D21E05I D21E06I D21E07I D21E08I D21E09I D21E10I D28E01I D28E02I D28E03I D28E04I D28E05I D28E06I D28E07I D28E08I D28E09I D28E10I D35E01I D35E02I D35E03I D35E04I D35E05I D35E06I D35E07I D35E08I D35E09I D35E10I D42E01I D42E02I D42E03I D42E04I D42E05I D42E06I D42E07I D42E08I D42E09I D42E10I
D01E01I NA -1.11926962559665 -1.25320018653355 -0.979709584806666 -2.38437312066485 -1.06931945621265 -1.82936521633701 -0.895381977710911 -1.45060378762664 -1.28167023944415 -1.82019142439537 -2.02417448680988 -2.24627408349323 -1.55841736206747 -1.5281256200273 -1.69839231926834 -0.851049707903859 -1.68783317999346 -1.59014830832894 -1.42471507636137 -1.7861314191821 -1.52925559436553 -2.08640866953413 -1.31683079930021 -0.912892166948521 -1.68850094342433 -1.13932344325733 -1.31745150288363 -1.82159760451505 -0.975097222897961 -1.59201101979778 -1.73263851808341 -1.97754532686651 -1.27431059943642 -0.87729786727495 -1.75778378871989 -0.995564914132506 -0.861072307923057 -0.765466660389567 -0.551879503087536 -1.63282359098552 -1.06430314090657 -1.88697094599157 -1.53411510500281 -1.47733133328089 -1.78358538918884 -0.592945259588945 -1.80590887401428 -1.39140653078008 -0.84466471196947 -1.71430284615903 -2.23332282641273 -1.48292185805475 -1.45977759165003 -1.54333608032588 -2.12554079367643 -1.66948781225395 -1.85049690577787 -1.86263020224147 -1.14197206341768 -1.86053638697844 -1.02914720341477 -1.79903407639004 -1.86885299772176 -1.11893194784796 -1.61223811550488 -1.35616319134391 -1.17734353400721 -1.45375262789493 -1.80501392425431 -1.91408816415904 -1.43842874769098 -1.74854639522199 -1.79773846907722 -1.03473871551638 -1.54756673683778 -0.970604837997487 -1.77703660883383 -1.81552008098844 -1.62627590764906
D01E02I -1.11926962559665 NA -1.62538721212247 -1.77621588576229 -3.30476707275763 -2.37447963230558 -2.18144500664705 -1.31128633760162 -1.66083848671752 -1.74263594191607 -1.88125205174958 -2.60636250230722 -2.73457093636706 -2.12771420652515 -1.76043810689303 -2.057102670413 -0.650902274863499 -2.39704777242203 -1.85797631829584 -1.83640106154035 -2.53405938295765 -2.31293814657635 -2.87888146365574 -1.83163270038576 -1.3161886960896 -2.1339376551348 -1.53711599021126 -0.900035247188319 -2.38031554781626 -1.30448719769657 -2.21619126727289 -2.2027298519579 -2.84385993404832 -1.95366075912686 -1.53335328650307 -2.21415455795127 -1.33230416188349 -0.518444382094461 -1.50437335542883 -1.25093876079386 -2.33437920192198 -0.620100256970622 -2.47759045405081 -2.18365926417647 -1.9096129288298 -2.36630209485544 -0.474077484647961 -2.62045382219758 -2.172359901834 -1.53490301013087 -2.0372832839248 -2.89924585575123 -1.89764051517481 -1.8610946489793 -2.04802612941064 -2.64310525835993 -2.25886893293409 -2.31884383839869 -2.57486619745751 -1.58401794436824 -2.39992946296386 -1.79145985319478 -2.46191278350126 -2.58987557603369 -1.49153274863307 -2.26772563085041 -2.13851670109621 -1.25379335935986 -2.11063734402604 -2.38643339160481 -2.40595464925202 -0.780080633902308 -2.3411920008638 -2.32924280929495 -0.744312946713108 -1.85993467788443 -0.446974438216455 -2.22198898609991 -2.25925940198406 -2.04771061388787
D01E03I -1.25320018653355 -1.62538721212247 NA -2.62984316972421 -2.71461418746371 -2.51162370891258 -1.2560276592854 -1.83656268695055 -1.14666951909566 -2.47082202071407 -2.28135892241855 -2.29381189985028 -2.36314691363326 -1.79063611461642 -1.8249745237582 -1.8260831815441 -1.32256992328607 -1.93960426783952 -1.73626456606935 -1.6865923459862 -2.0529672505711 -1.93044337843082 -2.31152599913451 -1.59701696003335 -1.15896210851398 -1.8155664692357 -1.50334790631751 -2.00646304036664 -1.97446802560923 -1.20597938478229 -1.86545597100037 -1.86499382845905 -2.26658615428031 -1.67203912141073 -1.37659673430569 -1.89892471503728 -1.20505987214891 -1.51378686454796 -1.35099480850835 -1.2029026140555 -1.97168338142291 -1.97459750985552 -2.06077471122548 -1.83716223662232 -1.66266989201585 -2.00324993756279 -1.5718509248119 -2.13635917428748 -1.87033734652238 -1.42590917168849 -1.79748634129489 -2.34918369496037 -1.64202007220867 -1.58419629711072 -1.74408408195947 -2.19147521724456 -1.90685869585347 -1.99334699390713 -2.08798720008402 -1.39146985197445 -2.00216359004117 -1.65694088743815 -2.02862487572008 -2.18227591524178 -1.3005701558074 -1.86355860474645 -1.7736794044516 -1.14545896452924 -1.72219352797347 -2.01845009232885 -2.05919863122561 -2.12569868340823 -1.95601014061471 -1.99570966922723 -1.69040432664208 -1.81692063633406 -1.50134933955304 -1.91257462928917 -1.95799022594962 -1.79186665751389
D01E04I -0.979709584806666 -1.77621588576229 -2.62984316972421 NA -2.49319364161486 -2.49871179947346 -1.64411151138881 -1.50412311654951 -2.00097602450075 -1.92704232965489 -2.08307664840533 -2.17369596355474 -2.33560506968709 -1.74270563669147 -1.7095443796882 -1.77400873398016 -1.09530038133312 -1.88703669268316 -1.70145193142922 -1.57204227949049 -1.99036615329819 -1.75328918266706 -2.27932887138949 -1.49029782951481 -1.0524865030496 -1.81048244024429 -1.38199012173793 -1.67035694971342 -1.95387543754076 -1.12916423709533 -1.74526838418048 -1.84777124130786 -2.2015419815819 -1.46518328413903 -1.04397661474405 -1.88676384694084 -1.14022797783668 -1.19009678241089 -0.94873949049035 -0.71012811142216 -1.83532504532938 -1.47749858164757 -2.03223373582624 -1.72719802185948 -1.64226324016548 -1.93887822701963 -0.95385540499408 -1.97880152207295 -1.58304252595709 -1.05299517021003 -1.8127542403033 -2.40224235298194 -1.66144943640004 -1.61130170354394 -1.73572486589988 -2.29329571806671 -1.85489161043908 -1.99421296152354 -2.04610575132958 -1.35023990881358 -2.01590282962411 -1.24001325420606 -1.9993625079029 -2.05954723856597 -1.22497022301347 -1.81700099810665 -1.56906463484001 -1.13253113119412 -1.67097193818451 -1.98573298971046 -2.04561101222565 -1.78543496340116 -1.92905811157785 -1.9630982615853 -1.39282111709073 -1.7418237178931 -1.21354935693089 -1.89323259326716 -1.94374658159699 -1.75098252863362
D01E05I -2.38437312066485 -3.30476707275763 -2.71461418746371 -2.49319364161486 NA -2.44270255231388 -2.92324355518353 -2.15227082171078 -2.26432344779626 -2.37591881446801 -1.72046247367648 -2.52058966766875 -2.61740477040827 -1.83189780719355 -1.50968049365028 -1.79999460080169 -0.528863374083107 -2.21271577980302 -1.65350695165293 -1.55633897140143 -2.14420952585534 -1.97345452801747 -2.50577085750843 -1.42549407057615 -1.09543790613223 -2.02912107148991 -1.19439433903471 -0.747443886834472 -2.2502202902044 -1.06689051285875 -2.21719012656554 -2.0373635802084 -2.71418113151958 -1.67887440804283 -1.35591427041765 -2.1134580968536 -1.06040738091747 -0.372184570942963 -1.36891014640051 -1.18599853429634 -2.22518642946424 -0.55501085965425 -2.36215755984081 -2.04107118342241 -1.78850924223547 -2.31172756260273 -0.452111957228794 -2.47333974981208 -2.15454639183563 -1.42318090259065 -1.87859458828714 -2.81451967223295 -1.70188820479349 -1.66775421837714 -1.80454178431156 -2.45215563575163 -2.04355487394087 -2.1890840552088 -2.36851807700836 -1.35348604357717 -2.27470545654443 -1.78308430618387 -2.24208078274093 -2.50437921548614 -1.21323514436413 -2.01330784722543 -2.04936375334496 -1.22833543784643 -1.84706759607758 -1.97723015056764 -2.26755531856766 -0.364235230082656 -2.24252472434133 -2.23196410001201 -0.558152894408816 -1.58480699072942 -0.0936890405344189 -2.07691377331859 -2.14431922482888 -1.95710927142146
D01E06I -1.06931945621265 -2.37447963230558 -2.51162370891258 -2.49871179947346 -2.44270255231388 NA -1.5342081703407 -2.04754905107673 -1.5563010531111 -2.46570098893284 -2.27834495078636 -2.1503622940659 -2.28500763155719 -2.06175854983149 -1.67675534970218 -2.24898634279422 -1.29601548174426 -2.37655221859801 -1.57177569649826 -1.45515929276106 -1.92072705259457 -1.90931197865229 -2.37404250884629 -1.73895152112956 -1.45366840374638 -2.11662295841373 -1.81567912335202 -1.8422105409853 -2.35857380390723 -1.47362586862684 -2.1269698657222 -2.19446435091531 -2.27131842951129 -1.84755793684882 -1.35259809704449 -2.04600081298748 -1.45689315166561 -1.44829620625388 -1.33911759259833 -0.907065617370779 -1.74316801952766 -1.6713537937792 -2.55015276644958 -2.21216857512067 -2.03913160691795 -2.39196686169032 -0.990657852654049 -2.09565062785767 -1.60819815974235 -1.08089337275609 -1.65957328451172 -2.33333858765574 -1.31251877545021 -1.41874888121659 -1.61238823369388 -1.9697619047117 -2.18552569096197 -1.71364554568496 -2.0327558089951 -0.891464743952682 -2.05359043644011 -1.33354758302451 -2.07289723617811 -1.82213304904303 -1.42449394738226 -1.78747490323032 -1.68285201424025 -1.09625970721719 -1.92753103898747 -1.83440779831082 -1.9659796455238 -1.92871682685286 -2.27519337578594 -2.36297829023524 -1.60020769486928 -1.72756902299538 -1.4960830076582 -2.08910867094771 -2.20833125834004 -2.16252780884433
D01E07I -1.82936521633701 -2.18144500664705 -1.2560276592854 -1.64411151138881 -2.92324355518353 -1.5342081703407 NA -1.36903664960011 -2.19951262724166 -1.86539394698869 -2.29616753601186 -2.68680967204872 -2.85122725144034 -2.3262959370167 -2.05926152389766 -2.21516814191754 -1.20139269255572 -2.59823240385776 -2.06618345923833 -2.08011095765883 -2.68725166612377 -2.48422148212163 -3.04015957642432 -2.05368978345801 -1.59086635766703 -2.34899224836525 -1.88075826808671 -1.65811280508575 -2.52161751308428 -1.56372221051796 -2.30691701763837 -2.40022542122478 -2.96891666205108 -2.12696810366456 -1.62115189013488 -2.42080006189117 -1.58448091127633 -1.20688513011032 -1.55925568241095 -1.30874570680895 -2.4865448161684 -1.44837200909087 -2.61418874435198 -2.37611557006841 -2.14704497463718 -2.50493848475092 -1.08605794651424 -2.64398677506507 -2.22907479892471 -1.7077664175199 -2.1739486149683 -2.93353953092164 -2.12745966766295 -2.05355660911134 -2.33546293336085 -2.84107960543212 -2.50661916317245 -2.39683025877249 -2.68491032013589 -1.89763544480282 -2.51543280194964 -1.8762889338993 -2.62565834643567 -2.63483144157028 -1.85532796193785 -2.51902721212149 -2.27950902224629 -1.52632498752225 -2.35253664402306 -2.55244732308457 -2.58651723022962 -1.75358856121697 -2.63702690858781 -2.54080569949904 -1.52171891172385 -2.11079273887263 -1.2505561480685 -2.38860662109507 -2.4215126519302 -2.2708515555527
D01E08I -0.895381977710911 -1.31128633760162 -1.83656268695055 -1.50412311654951 -2.15227082171078 -2.04754905107673 -1.36903664960011 NA -1.13662160668656 -1.80090936296653 -1.77904846511363 -2.24065668451653 -2.22449680084724 -1.56457800622972 -1.41266578881101 -1.61873679498764 -0.891253374895077 -1.90220057659243 -1.43254867885198 -1.33018002600981 -1.76239160206712 -1.61965021843467 -2.0798475834894 -1.34940023207688 -1.04038729403614 -1.83410457960594 -1.19695942709116 -1.4040468495251 -1.86163825920904 -1.01692227445254 -1.79635796077266 -1.89395341109842 -2.07012775714446 -1.58288761879973 -1.0846288578577 -2.04860620663156 -1.04939326352972 -0.985388860844861 -1.09656777936894 -0.87745993782874 -2.13703876005477 -1.47730439684229 -1.89194691355328 -1.70119878200551 -1.57086138689356 -1.90578931067089 -1.39426044779472 -1.88988288395754 -2.23336583900781 -1.58906969432776 -2.03061621018629 -2.26858794383284 -1.69525619673047 -1.61771362487412 -1.67052430384301 -2.37166579116101 -1.74414791899388 -2.31158642658498 -1.88281212635401 -1.05295062091746 -2.11763766965766 -2.07336002842297 -2.10014776147822 -2.44849468002792 -1.49915028624202 -1.60596801504114 -1.61416326323862 -1.36699102320337 -1.41536646937631 -1.66394446867385 -2.1916004665552 -1.67128810837235 -1.93014075601438 -1.89246276895126 -1.22463820260241 -1.90575735408058 -1.13329439288974 -1.99520805941324 -1.98683277043013 -1.78680538656828
D01E09I -1.45060378762664 -1.66083848671752 -1.14666951909566 -2.00097602450075 -2.26432344779626 -1.5563010531111 -2.19951262724166 -1.13662160668656 NA -1.39372379026157 -2.06685088665469 -2.35870875490284 -2.39857794488353 -1.79406712545219 -1.76390961816251 -1.85750564832197 -1.12535932039192 -1.96627102480979 -1.74664513730459 -1.69369130762603 -2.03959000348936 -1.9479685409179 -2.34029269673954 -1.59742914259289 -1.15015791398283 -1.86775056128364 -1.42992091894813 -1.72450125933027 -2.01308445397102 -1.17027027611358 -1.91239059706247 -1.89778875661939 -2.32010794128982 -1.67394754221349 -1.3326424820296 -1.93750787147402 -1.18031602130136 -1.22485109850437 -1.34240070060094 -1.1977176473173 -1.9799362526716 -1.63904161035654 -2.08791681238543 -1.84994082914669 -1.69422092166586 -2.0083462355365 -1.31357379751854 -2.11314847163957 -1.88972860458159 -1.41492295932925 -1.79372202888084 -2.37339410061875 -1.64811504318553 -1.58787455057862 -1.75426750822141 -2.24002660819903 -1.89552337079882 -1.98128486173826 -2.10009566705182 -1.37407226845594 -2.00311685094659 -1.65248703605509 -2.03663038930717 -2.18037872469451 -1.32242738181673 -1.81634780259048 -1.80011417307016 -1.14344601186848 -1.72887334554324 -2.0340937701566 -2.03743543683924 -1.82588682090072 -2.02977086683494 -2.00764657579126 -1.43715670518967 -1.74157506802872 -1.27631853832845 -1.93790346859514 -1.95075895967186 -1.83431305691901
D01E10I -1.28167023944415 -1.74263594191607 -2.47082202071407 -1.92704232965489 -2.37591881446801 -2.46570098893284 -1.86539394698869 -1.80090936296653 -1.39372379026157 NA -2.29980754556653 -2.27113345165503 -2.39120409273479 -1.93636291285893 -1.90037303693255 -1.88979145047191 -1.43466857873736 -2.06467496296966 -1.80638620927006 -1.71651917201826 -2.15525986399976 -1.95573776553918 -2.41817770690294 -1.71227654732673 -1.22121414109055 -1.95280083079171 -1.63981225540355 -2.04574339107452 -2.08538591105179 -1.32980575962408 -1.88096023027366 -1.98118410113552 -2.31821464437069 -1.71104589716067 -1.3110287874603 -1.99802879778283 -1.33309545866199 -1.60226855784118 -1.23481973610113 -1.02221925773513 -1.96630445398028 -1.94313974043495 -2.16803201707907 -1.89690331311019 -1.81173069789875 -2.05714622653406 -1.42601917318469 -2.1024400256556 -1.74754506314495 -1.30297669983365 -1.89545706600676 -2.3895018572575 -1.76884731312387 -1.70698788773934 -1.89929370960145 -2.33461835025637 -2.03078540240699 -2.02179629474438 -2.17523465515708 -1.53462427554682 -2.0948381729077 -1.45907992579068 -2.11041325485034 -2.12182070754214 -1.42415595330714 -2.00378121241401 -1.76879642253245 -1.23460977527034 -1.87104845398008 -2.10490571463096 -2.11480920943698 -2.17537268745869 -2.12416717339537 -2.09884526586022 -1.79708590592958 -1.93268979585397 -1.58809203250342 -2.00834028660827 -2.03792515898204 -1.90923900097689
