D01E01J D01E02J D01E03J D01E04J D01E05J D01E06J D01E07J D01E08J D01E09J D01E10J D04E01J D04E02J D04E03J D04E04J D04E05J D04E06J D04E07J D04E08J D04E09J D04E10J D07E01J D07E02J D07E03J D07E04J D07E05J D07E06J D07E07J D07E08J D07E09J D07E10J D14E01J D14E02J D14E03J D14E04J D14E05J D14E06J D14E07J D14E08J D14E09J D14E10J D21E01J D21E02J D21E03J D21E04J D21E05J D21E06J D21E07J D21E08J D21E09J D21E10J D28E01J D28E02J D28E03J D28E04J D28E05J D28E06J D28E07J D28E08J D28E09J D28E10J D35E01J D35E02J D35E03J D35E04J D35E05J D35E06J D35E07J D35E08J D35E09J D35E10J D42E01J D42E02J D42E03J D42E04J D42E05J D42E06J D42E07J D42E08J D42E09J D42E10J
D01E01J NA -2.04008512571566 -1.23065160878221 -2.02469410960921 -2.07750590350871 -2.82300900016321 -1.22089384527766 -1.35252153189899 -1.8310447521213 -2.83079863782129 -2.09921596183941 -1.96380266058139 -2.06425234927513 -1.42205416796053 -2.14426867505015 -1.5550086666394 -1.72946289724673 -1.75802574842341 -1.57562146955943 -0.690782059519024 -2.05732090141884 -1.97525673859874 -0.826746439415617 -1.38485905090452 -1.080167476935 -1.41206400928734 -1.82318449665811 -1.86787247785196 -2.23391628875411 -1.93936943350752 -1.85995874340151 -1.88447008851245 -2.33239711172809 -2.16014698592153 -1.90948974218395 -1.77116374217436 -1.56566985385729 -1.74002959113316 -1.56949194320634 -0.984070698469662 -2.23873638164082 -2.10681055498771 -2.02824212926468 -1.78948255926504 -1.63038746605681 -0.693053242755179 -1.30569843892648 -1.53036459620004 -1.68270191645518 -1.81676630171213 -1.9108951554924 -1.93623110927113 -1.93656658039624 -1.84667104726502 -2.09095355417803 -1.99737087001043 -1.43406121571292 -1.78157195503923 -2.04118611197413 -1.77640127591563 -2.05113126455945 -1.98028667352069 -2.02687519739042 -1.32413009553201 -1.9623674403873 -2.21113120149107 -1.63519292124035 -1.05533253543446 -1.86016243491412 -1.99338242135822 -1.80281043358365 -1.74228220291372 -2.01723129705775 -1.67561823007342 -1.95054192774835 -1.8257276916212 -1.09564418893361 -1.50637159950897 -1.27629839454868 -1.69825247176363
D01E02J -2.04008512571566 NA -2.04088517559078 -1.00986983212025 -2.51067685101777 -2.85309278794845 -1.54056058887588 -1.71897113382061 -2.226611428742 -2.2297366396449 -2.09107600958355 -2.05473065754135 -2.17693430761901 -1.50425853139419 -2.16112582107091 -1.49183257516607 -1.67792417139627 -1.72817542306929 -1.53426809748739 -0.805202961416691 -2.03407795329793 -1.995037167848 -0.919560168780295 -1.43994898835382 -1.15793821243127 -1.38977775054471 -1.80112038093281 -1.8088691157228 -2.19696477516949 -1.90247004683878 -1.82830605183288 -1.84632425812927 -2.31548430849106 -2.12482806979307 -1.85330200732315 -1.71926157243211 -1.51394437924102 -1.69526237069011 -1.5219314308657 -1.181421687377 -2.2232334473062 -2.13937018972351 -1.9914389900867 -1.78159444190619 -1.59272118255553 -0.919101662822252 -1.45652691383523 -1.63027079061269 -1.70124714323325 -1.84492189242852 -1.8677788873548 -1.94412427418927 -1.9494242245627 -1.82309761707743 -2.07464743720373 -2.01505677850704 -1.58860726038433 -1.85373029637535 -1.9914583749725 -1.82740622698131 -2.05991936217678 -1.96982681620187 -1.98108023302402 -1.48259614006274 -1.95912955047123 -2.17791323201464 -1.64491270571164 -1.15454497144021 -1.82986949916456 -1.99796729882597 -1.86334401825629 -1.79845489310794 -1.98583834100624 -1.65013890975253 -1.90508546257966 -1.78108587942181 -1.15277578190156 -1.49920037633931 -1.39399417095971 -1.64592291795812
D01E03J -1.23065160878221 -2.04088517559078 NA -2.10543988143004 -2.11451112006895 -3.03658796695249 -0.971923557443852 -1.1800496593411 -1.37559171736002 -2.28492557243552 -2.16294534353721 -2.03898219833606 -2.18427818525754 -1.35458257312864 -2.22953594971465 -1.50396388239268 -1.64891350706281 -1.6970208991286 -1.48942449106958 -0.563525339639088 -2.02441564287231 -1.98367249731257 -0.698120388404305 -1.29496715955518 -0.974811583645251 -1.29020245761811 -1.803484314343 -1.80094990593382 -2.19244454056675 -1.88718388869967 -1.78937799793659 -1.82527491227593 -2.35728513586257 -2.12476416157746 -1.88396449568447 -1.70255324701043 -1.46294361236578 -1.71244282847642 -1.47916513850156 -0.959960597113324 -2.2606496370806 -2.06331996201641 -1.96469067953606 -1.79315965315019 -1.55687341217691 -0.601740281416857 -1.16082650210443 -1.5251477862705 -1.65977355233238 -1.82821614731132 -1.90433397880781 -1.99546863927974 -1.99327446045715 -1.84994061095005 -2.15112767292027 -2.06236571341166 -1.48707483831206 -1.87251124456316 -2.08097031330872 -1.84036689390504 -2.10921852403137 -2.02371977080676 -2.05448539717672 -1.39353075812936 -1.9635193525166 -2.23142346701272 -1.61553859509052 -1.11614009012901 -1.85210634106051 -2.03688670028832 -2.01944410715463 -1.76699131777565 -2.03718814988573 -1.65322816088 -1.93909143986093 -1.8024982535192 -1.28123371447051 -1.46556857355711 -1.34252744754816 -1.64456454420129
D01E04J -2.02469410960921 -1.00986983212025 -2.10543988143004 NA -2.16720893843003 -2.89578308481696 -1.43171745505011 -1.65759861484657 -1.74985065466259 -2.32088712179469 -2.21652241911185 -2.24770892966632 -2.43741212040912 -1.43128289470316 -2.28360550512848 -1.48908847275205 -1.73924736977089 -1.77942262759617 -1.53944273097397 -0.616085921840085 -2.20305067639561 -2.09473611866376 -0.744904143466169 -1.33696886364987 -1.05589355389977 -1.40790507813389 -1.94195296009914 -1.86660472628021 -2.21727711917251 -1.91684945773442 -1.84088307085101 -1.87773721604147 -2.44107630787717 -2.17072023941058 -1.95712636780834 -1.78909943188618 -1.50409947125645 -1.78474712542867 -1.56034334744899 -1.18008120202479 -2.31727640847632 -2.15447783320186 -2.06539705221066 -1.96742164531501 -1.64699367677534 -0.801839795803928 -1.34756404222391 -1.71455642687101 -1.80184247951864 -1.96825611658909 -1.98189787693033 -2.18800166227128 -2.11503854633962 -1.96337207878974 -2.26167646896436 -2.19571482227664 -1.61649442300625 -2.02614199204402 -2.18333202958101 -1.96237164093637 -2.22321314714693 -2.19161798379666 -2.12258147803513 -1.53738032733813 -2.00863324632066 -2.31068856504766 -1.75257501188765 -1.1637888017839 -1.96611362341391 -2.1284942841885 -2.37010159199 -1.95506407781823 -2.10316742433272 -1.8030028040123 -2.03239804405919 -1.87838031661644 -1.71245335366214 -1.59506555743436 -1.42435271637928 -1.73882806558229
D01E05J -2.07750590350871 -2.51067685101777 -2.11451112006895 -2.16720893843003 NA -2.11616336153538 -1.93461999081526 -1.89593117323528 -1.96371409660604 -2.03606355046641 -1.48777627192517 -1.21659428793229 -1.25876866894002 -1.01686569666598 -1.53820104469227 -1.5486802165923 -1.4723380108512 -1.4025432879459 -1.39148539128892 -0.512859806403588 -1.17607977394506 -1.24962324157852 -0.591297484169186 -1.06648438645463 -0.848758238469883 -1.5472649670032 -1.36298810387743 -1.45573114062415 -1.55447988066907 -1.55948675413091 -1.46022053476318 -1.45851494065825 -1.38449174261601 -1.5853401943032 -1.515190175868 -1.43043929978022 -1.66851367130615 -1.46991798003811 -1.39620181485882 -0.924495042244389 -1.53845448136771 -1.4558292784769 -1.45386085588544 -1.31481735229605 -1.33473271998312 -0.823640958445083 -0.8564104057844 -1.11154132641855 -1.24897774703649 -1.26569148991652 -1.22749217418139 -1.24298488695878 -1.20640017936677 -1.18724627954881 -1.37877855948917 -1.16603935777431 -1.08685204260954 -1.05414327939303 -1.42113243541991 -1.04811762668996 -1.38110299073037 -1.20663578091206 -1.48519569233083 -0.965494733177948 -1.48495708452507 -1.36591969537313 -1.31811321644922 -0.758354750496964 -1.38684936332913 -1.41772570951659 -0.746600518867891 -1.2684066976045 -1.53050900752329 -1.3754352796919 -1.51403442037261 -1.36422382015778 -0.215425086615935 -1.1985497518695 -0.908684767590342 -1.35806671321016
D01E06J -2.82300900016321 -2.85309278794845 -3.03658796695249 -2.89578308481696 -2.11616336153538 NA -1.11976941486392 -1.53078336139027 -1.3801469266458 -3.12324328604132 -1.86655096728357 -1.74638829006761 -1.93756835770071 -1.28288266064566 -1.97982650059896 -1.28087550048228 -1.42203027627897 -1.45562785548942 -1.27755886128143 -0.662678899593633 -1.77400771983205 -1.70372360678753 -0.775006409799165 -1.25640049073094 -0.954789313219246 -1.07681840606641 -1.51928572144277 -1.55998508560576 -1.92797611773149 -1.69080470108044 -1.59130261608115 -1.58372431289493 -2.09485227556194 -1.86561033836936 -1.64136830645149 -1.44286473426695 -1.18716088430003 -1.4271108148121 -1.24716437558935 -0.805031126589369 -1.99082392584302 -1.89191804322128 -1.70385275873951 -1.47846103102558 -1.32900330610162 -0.514872064549652 -1.23612288912393 -1.31057024578913 -1.4009509417186 -1.53304813977029 -1.73590054375198 -1.71564635527638 -1.77959361120059 -1.69641808025366 -1.84850473522761 -1.88436883214028 -1.26601090696335 -1.73017378811253 -1.79086350226036 -1.70537237712041 -1.8256637680034 -1.77550429780317 -1.74478200751258 -1.15707786139168 -1.71231114591228 -2.01858700983495 -1.34784370003079 -0.949836751689971 -1.53654783865413 -1.7503057733452 -1.7151250515018 -1.46900522764803 -1.72133979421828 -1.35679434520245 -1.63223844669798 -1.5640111641574 -1.02558961879743 -1.21672890854534 -1.15317307423228 -1.37946099114018
D01E07J -1.22089384527766 -1.54056058887588 -0.971923557443852 -1.43171745505011 -1.93461999081526 -1.11976941486392 NA -1.28687871314798 -3.17033760301815 -1.3882350487251 -1.77060555916948 -1.62393912575833 -1.77892737587441 -1.26699469688205 -1.86084106315732 -1.30715292144003 -1.35811292069129 -1.42350818055735 -1.27590330684372 -0.704552040963389 -1.66152511141429 -1.60957100389363 -0.814333266882692 -1.24441948050069 -0.969815087707715 -1.08254919308324 -1.42974972721615 -1.51635861055668 -1.81630393327708 -1.60875974701648 -1.54903414269601 -1.53713634864986 -1.91331455526984 -1.79616485517345 -1.54076066578812 -1.41704453211322 -1.12066477557068 -1.3587824640617 -1.23477271479351 -0.785581749792134 -1.85387309216856 -1.80650152723982 -1.62767702019785 -1.40445674168175 -1.30566168049161 -0.533825442201843 -1.18174195600017 -1.25751598293611 -1.33198367819171 -1.43656505165388 -1.58164431873657 -1.55835462194189 -1.63995042277115 -1.5290604185974 -1.69478107622952 -1.70339115254873 -1.21363179607264 -1.54662820780263 -1.64988929098339 -1.53877376811755 -1.68616980652175 -1.60071114095509 -1.63659996697315 -1.13750396163231 -1.65184263119781 -1.83569648974245 -1.30317718286199 -0.970500958123762 -1.47745823282789 -1.65271299188075 -1.48456796617895 -1.42080849464616 -1.66436007571481 -1.32609228375028 -1.56215552403928 -1.50116982165525 -0.869289723424968 -1.20498100545478 -1.15514602311719 -1.35280032351122
D01E08J -1.35252153189899 -1.71897113382061 -1.1800496593411 -1.65759861484657 -1.89593117323528 -1.53078336139027 -1.28687871314798 NA -1.96026393938813 -1.319768393395 -2.10279860940975 -2.10515301088323 -2.26823369205678 -1.44006883399361 -2.14460932381369 -1.44187658706359 -1.73697380736786 -1.67154464421511 -1.46463918825373 -0.687911086606728 -2.09590580741744 -1.98624172853889 -0.816366136231979 -1.38214296544301 -1.0895099810774 -1.29382397961261 -1.81925371985957 -1.77366384664049 -2.14565518264036 -1.91912438013001 -1.81922772221078 -1.84361342184622 -2.46853934336481 -2.2092504373578 -1.97179587457805 -1.68446822995765 -1.47087593683192 -1.69171765912806 -1.46807093200344 -1.01221756976939 -2.35935672538096 -2.30727292254255 -1.95139855296447 -1.86516786132924 -1.57065280967102 -0.62362320244564 -1.99083843832778 -1.59373589800775 -1.69007058352719 -1.84875535455793 -2.18394498669005 -2.16718599299423 -2.34223403126353 -2.14530611560954 -2.28531097291166 -2.442625212511 -1.66203218141966 -2.24556920764814 -2.22012891787283 -2.26121774950163 -2.22780818218445 -2.2436430696182 -2.15989140561047 -1.61344279513565 -2.04064671898744 -2.46535258934901 -1.6383745687578 -1.27736173512811 -1.83327446963953 -2.01804594566324 -2.29091746198767 -1.86255370276385 -2.07170558720655 -1.69012610631063 -1.99159261940626 -1.91156952690215 -1.4444088597148 -1.52224964632295 -1.47940810326015 -1.68180283230858
D01E09J -1.8310447521213 -2.226611428742 -1.37559171736002 -1.74985065466259 -1.96371409660604 -1.3801469266458 -3.17033760301815 -1.96026393938813 NA -1.77911377239906 -1.4626039056868 -1.32258134659833 -1.51096600072873 -0.998047449360231 -1.63424793904408 -1.09816848808509 -1.14123378796067 -1.17933170473889 -1.06422608936218 -0.48210955130163 -1.4043308599766 -1.30174507998112 -0.598645649006698 -1.01921902340339 -0.708370143259079 -0.897802951555841 -1.15187250495353 -1.30502924737877 -1.57967325724603 -1.38448188408176 -1.34781236355823 -1.32627342288203 -1.66830440993804 -1.53165586534893 -1.30839661450247 -1.20007407918719 -0.84817725213051 -1.11148566483269 -1.01325831827303 -0.403754726766233 -1.59718710112297 -1.54011672296513 -1.37975800597117 -1.07863551561555 -1.11030136208431 -0.12100800365844 -0.857682758604505 -0.955813318294823 -1.06823823783853 -1.17490864608565 -1.43986648120323 -1.31902461763436 -1.470728983894 -1.39072644849457 -1.47180373159455 -1.58792424810294 -0.93978685393085 -1.3792104979738 -1.41654854287032 -1.41683710988516 -1.44992255975522 -1.37295804705683 -1.40395684336667 -0.878470422416197 -1.42449124762904 -1.63878267674137 -1.03211482522661 -0.816441270077901 -1.17412561386072 -1.40760341852721 -1.34066553373259 -1.12472896053418 -1.43899720201734 -1.07154924109787 -1.31086691031766 -1.28719428594032 -0.775442920351861 -0.990037617943496 -0.970656852499639 -1.14128301049649
D01E10J -2.83079863782129 -2.2297366396449 -2.28492557243552 -2.32088712179469 -2.03606355046641 -3.12324328604132 -1.3882350487251 -1.319768393395 -1.77911377239906 NA -2.04810469885084 -2.02816480655802 -2.20833588799835 -1.4565764829433 -2.12781752258168 -1.40562618227579 -1.54430976306212 -1.61148259797715 -1.4004367608968 -0.795565908373648 -1.97801439316711 -1.95614132824551 -0.901701591977939 -1.41605256362211 -1.13309855342024 -1.20309929089522 -1.72094017398117 -1.69480222675367 -2.03803730508771 -1.79794690265857 -1.71496411085142 -1.73677542709703 -2.28892364074432 -2.01648238347693 -1.75408526886057 -1.59765603041682 -1.28204900911434 -1.57862964826112 -1.37767740928478 -1.1317261752679 -2.09732834942825 -2.03516514954948 -1.8671062536446 -1.73729553799424 -1.45572246678728 -0.826138983957805 -1.48667450379222 -1.54270283381256 -1.59563547851883 -1.73610449027692 -1.80369931909734 -1.91817964763897 -1.89768541486134 -1.76903980007489 -1.97486668087517 -1.96310518376242 -1.50069032643408 -1.82888741467862 -1.97555824965329 -1.78907761215219 -1.98644284455804 -1.92706902011355 -1.91439725039589 -1.35391873384203 -1.81695108960663 -2.11413178793961 -1.53993792547448 -1.04268856555478 -1.75243493634174 -1.91197431190675 -1.91510001035296 -1.71271022615755 -1.85830362577182 -1.5578519188743 -1.78693763873316 -1.68534760106512 -1.20038376074124 -1.37635731804078 -1.26272961636166 -1.52905110822151
