D01E01C D01E02C D01E03C D01E04C D01E05C D01E06C D01E07C D01E08C D01E09C D01E10C D04E01C D04E02C D04E03C D04E04C D04E05C D04E06C D04E07C D04E08C D04E09C D04E10C D07E01C D07E02C D07E03C D07E04C D07E05C D07E06C D07E07C D07E08C D07E09C D07E10C D14E01C D14E02C D14E03C D14E04C D14E05C D14E06C D14E07C D14E08C D14E09C D14E10C D21E01C D21E02C D21E03C D21E04C D21E05C D21E06C D21E07C D21E08C D21E09C D21E10C D28E01C D28E02C D28E03C D28E04C D28E05C D28E06C D28E07C D28E08C D28E09C D28E10C D35E01C D35E02C D35E03C D35E04C D35E05C D35E06C D35E07C D35E08C D35E09C D35E10C D42E01C D42E02C D42E03C D42E04C D42E05C D42E06C D42E07C D42E08C D42E09C D42E10C
D01E01C NA -1.89707970180523 -1.95475879506427 -1.26985140443232 -1.88099833038687 -0.726319982193492 2.63289338635762 -2.20289625851492 -1.03376417666436 -1.86312458021451 2.27338615426878 1.89072185511409 2.15454070182308 2.11978958506892 3.45129572122297 1.91672456669854 1.99302948064246 3.15714516486751 2.96720763999465 2.25507528311628 1.67322022795717 2.87342737512126 2.91103206344423 3.27174188270161 3.06630497848793 1.96311673935649 3.28662240452588 3.04275133903112 2.3143034502294 3.19521639512688 -0.0376527921189503 1.25790254268935 1.03976888682031 2.02150548475307 0.826055985664195 0.645336207992725 2.0418563389127 0.688258121967983 1.11288176454317 0.887475533274344 1.10709009612301 3.85921764999929 2.70101201440209 0.388384850465083 2.2235317887603 2.17904276492711 1.78048074597256 1.7806658947235 -0.0952498896465784 2.44522601579785 1.70705692844391 2.00232564902478 4.00570075273127 3.57711188287295 1.83111669901152 1.72702354218046 0.329048165955472 2.26160604476126 2.2486879438034 2.22304999609858 2.42456659448586 2.7252253561203 2.65656058919372 2.22944960098893 2.88961949860543 2.53747194194972 2.3463099172774 2.37552527277213 2.25790033184366 2.47606906341418 2.35516247963131 1.7199809290941 1.15174479106096 0.563692552158607 -0.140059472838303 0.224292797374062 -0.042039346399458 1.25536972604609 -0.0728065909296846 0.407380876004847
D01E02C -1.89707970180523 NA -1.18287036102367 -0.583089397979204 -0.531246947270077 -0.937017665166159 0.268645691439166 -1.26185523125555 -1.10305834569134 -1.80411800327712 0.915579580646354 0.918594803672602 1.12437199882173 0.908168243309244 1.46944644080999 2.34869522717116 0.992639290647054 2.20352955422878 1.91977632120165 1.95570643401435 2.05091873928108 1.83023240008515 2.92438927963461 2.5910367425078 2.19358006931497 1.41206548517856 3.03016064590908 1.94266547069579 1.95164946739609 2.30911620382161 -1.1300977939665 2.31332703039159 0.58363887584849 1.23873535891027 0.142414932070006 0.281825521953377 1.59350518074357 0.769963902662995 0.708034224879941 0.347017871609903 0.672836804931348 2.67729184572724 2.14207344097256 0.351305692250507 1.25102960811569 1.3953981675857 1.53069326184894 1.5162263191471 0.0443341500277794 2.85214258637833 2.28588585511769 2.28099981701352 4.57624749254581 3.84445281978445 2.65088352367258 1.6263097599585 1.4570064875793 1.88054132109792 2.62752331991255 3.13236765368027 2.11379138965172 1.66236307903774 2.28394830005075 1.67682037504614 2.15920000375191 1.90588562651526 1.46175156936125 2.22315912318605 2.13513025153434 1.72545938731314 1.97192518807039 0.659445663604411 0.303084454904932 0.334014308795873 -0.48140629481086 0.154884114238522 -0.352270008295024 -0.0338628194105182 -0.756067655125006 0.168721286560631
D01E03C -1.95475879506427 -1.18287036102367 NA -1.3518672839211 -1.43754822984433 -1.04791513713943 -1.03753892757873 -2.38706609852472 -1.20936746122106 -1.57396423464586 0.676592598430891 0.585366327188563 1.26338116685718 0.893520461515633 6.85566008803995 5.6784598061204 1.76897254880248 1.91393288514414 6.24404400879857 5.69812652387462 6.16924562223085 5.28436994847788 6.65927542855561 4.82083604513502 6.06651449654254 4.45889233909714 6.53436217124299 4.54774626647429 4.33994361000529 6.33882468050855 -0.900905297710913 3.12662106049282 2.57862049533311 3.92723539384027 3.36185365991907 2.43081669500838 3.07701741542104 3.36981575121675 2.90746368696144 3.80015651440751 3.52234703014075 6.22731459652169 4.81627081995796 4.04669301057814 3.75102732999385 3.16262737264211 5.774141805937 4.79866149949378 1.99189362550542 5.34575791043653 6.14252075024766 4.22629091038974 5.65736022879778 6.57815744942215 4.42443733959496 3.37266659940732 3.44159810356032 4.52627484733295 4.50516802537176 5.30407566273074 5.8255152461006 5.71390472928195 5.9578421506821 3.86556239940796 4.77770531121487 5.2910168463453 5.54704075330314 5.94534824964895 5.5878258912494 4.93994723032161 5.37205788688095 3.12110100343462 3.92172532204095 3.82638012979497 2.71983946028301 4.21402070792804 2.44636969692092 2.64200376128208 -0.127059056657626 4.15149217556148
D01E04C -1.26985140443232 -0.583089397979204 -1.3518672839211 NA -1.99885565446019 -0.895319959354328 0.915885385436976 -1.58138060310122 -1.47641215696387 -2.26960603004041 -0.669156555215571 -1.16138100048332 -0.0805656459662597 -0.628295613189106 0.857821286793175 0.837830769594363 -0.876773299663182 0.241910889607509 0.910587525379095 0.773052479813017 0.813614861496303 1.03157846123183 0.943884964093578 -0.185748647309626 0.760639677515123 0.143188329705175 0.868173636068452 0.187099212230893 -0.395955710570707 1.22683969908137 -0.105734193598299 -0.591230291955181 -0.752596795732527 1.15328369369073 0.355709270890805 -0.44219066166269 0.0681756386216811 0.758389535487485 0.467607000429128 0.50840261447328 1.2675054709835 2.36002046210931 1.81865528967427 0.433814034524824 1.32693073602129 0.511752270720601 1.60286981632399 1.45579104962998 -0.525034970515777 1.66934795454839 0.682464393679899 1.36343512483966 1.90111256956479 3.01247422008584 1.68912216368678 0.600647889562526 0.909137280230684 1.11813414737228 0.765995185762766 2.68728790644962 0.617558185072254 0.484954703595326 0.785933805643649 -0.562499656822742 -0.108125394270299 0.57805869906449 0.552617797644941 0.720029349870876 0.6558430864073 0.587608994023601 0.538100770076069 0.30794108912191 0.398974401645577 -0.360349279658233 -0.620117797034783 -0.40381401614679 -0.510764492070261 0.239066044971559 -1.25921287438438 0.360710068423184
D01E05C -1.88099833038687 -0.531246947270077 -1.43754822984433 -1.99885565446019 NA -0.955839509838652 1.43879428765147 -1.74660038020052 -2.25449531365697 -2.8419454584161 0.0500047360275977 -0.162780243768652 0.164910068298252 0.59742787776196 2.13148941628857 1.38250630878005 0.381400463583263 1.17953853424995 1.54381363488733 1.66761849502253 1.49929429192414 2.21814782654487 2.06438080822343 1.44847777307316 1.71152650909928 1.52407832151319 2.10565138224332 1.51748051349091 1.44960584446285 2.17321668888384 -0.710597026007284 1.20346733429215 0.708356500392424 1.76178867928779 1.06866974062072 1.54900117692367 1.51035742395676 1.60120157760591 1.59334787026008 3.16732356176333 1.71433570415523 3.34826427278694 2.32241564304497 2.84094275253908 2.15739700199373 2.32738278881641 2.35789288599647 2.57274716991193 0.339351750026428 2.85675307670324 3.43768379493674 2.67895617121693 3.6638071906976 4.00874232696412 2.01681727431274 1.40729288525494 2.33185246965689 2.29111834432302 1.94892170810494 2.89269152612215 1.60337381886546 1.34881878279774 1.72233454334301 0.959711595483736 1.36762462385815 1.49690238347013 1.25839717971588 1.81278620999532 1.58995954450679 1.34728670204222 1.96903038079161 2.26284936138329 2.17479209313528 1.60859740220974 0.467343087578908 1.5100360362028 0.590920524451019 0.792924959049353 -0.682577238882937 2.70111598874565
D01E06C -0.726319982193492 -0.937017665166159 -1.04791513713943 -0.895319959354328 -0.955839509838652 NA 1.59201973583421 -0.739588480089173 -1.08942853598853 -1.55396970972089 1.56730576860284 1.16454979460114 1.59467124635686 1.01175678012774 2.84989852398911 1.01670908958283 0.242145246471172 1.61422040029612 2.14860237526185 2.00121488944785 1.97685325563874 1.42342894720631 2.81047750324202 2.25497192228313 2.30235930057405 1.09764820192488 2.983671666048 2.55681143208436 0.405072481587923 2.18503852700293 -0.0789599874948418 -0.177678420657091 0.963594655103419 0.974562683880614 0.700888943672119 0.22308559903531 -0.0582447615142611 0.603329931686787 2.50929089816954 0.717874146096812 0.679214264335816 2.34383507379538 1.78575648491436 0.688185431630774 0.771721168755504 0.549286180217414 1.50188587551696 4.15855458546946 0.396800963115548 2.34143241075 3.12477422089988 1.84448685338661 1.95477489823705 3.01963984577699 1.2025216665629 0.858492756932671 0.428673861750365 1.43450897924863 1.66362492636725 2.00469280662042 2.25270126817569 2.27369473958237 2.63390666523966 1.51735039381085 2.30749949467352 1.98247544286595 2.06345799821018 2.52324786308108 2.51600113221675 1.74651486340025 1.59502371527708 1.00265174742034 0.946693868271397 0.686408041904768 -0.108271347575576 0.46895173807574 0.0891615416797431 0.49715079957481 0.126422377803587 0.698451935168227
D01E07C 2.63289338635762 0.268645691439166 -1.03753892757873 0.915885385436976 1.43879428765147 1.59201973583421 NA -0.345495528367318 2.38634149665134 -0.268097103677595 1.76634521886018 1.62093132485885 1.26164835595288 1.47224735819518 1.06769272735027 1.94920416732821 1.64886002549494 3.17990149774078 2.73947043869342 1.75260319682399 1.98948535741311 2.78533945494139 2.88484619493509 3.133545304639 2.42576461791222 2.1621865414221 3.31261548321955 1.56461820410275 2.02414061636198 2.53485597392076 0.106001823231063 0.974759578454716 1.50480947143715 -0.21479603513453 0.282348993536835 0.185806931266965 2.29354895998868 0.145518313555075 1.40851897948682 -0.0577039686619552 2.23186297810664 1.46234881988904 2.15985803175349 -0.129383263086233 0.00519870506742754 2.28216588736825 2.47357615156365 1.77308251583602 1.16765427720909 2.35573571659238 2.96744046169233 2.41362041579821 0.841402902774054 3.38905161257577 0.704154122936243 0.0533587169616837 1.36989072279282 2.69834034301254 3.48142906066707 2.56885626161481 2.10379742451346 2.42234322284657 2.99898674737558 1.9612237138644 2.86922881274365 0.397883678572348 1.4655164618287 2.75509700615451 2.7330004099906 0.481087709314629 3.32333083894005 1.29785179078115 0.616667648334232 1.7650398697814 1.44346781160459 0.604959132450799 1.53680497546215 -0.32905783309416 0.187172776040677 -0.313212297470407
D01E08C -2.20289625851492 -1.26185523125555 -2.38706609852472 -1.58138060310122 -1.74660038020052 -0.739588480089173 -0.345495528367318 NA -0.686100368764856 -2.47585692119206 1.44077179528028 1.0053148751435 1.42694386429043 1.51084892612961 2.38725124793082 1.25498655361432 1.87000639676454 2.90991324021896 2.00385949954205 1.33669769823256 1.10221902543896 2.05963135699648 1.84431923364011 2.15353253469323 2.21697643986837 1.03560531007759 2.32191008412345 2.01778488606877 1.37146143098477 1.18616290689094 -0.133230849912334 0.697901496355285 0.572118820292614 1.56103105929265 0.20853506801935 -0.423695361241933 0.601272889738916 0.15936823567305 0.0947491604906082 0.519014996736481 0.0517941058842747 3.36743300809508 2.19047117651618 0.0550685773731674 1.09858512716973 1.17401300728798 1.53065470294569 1.77105409992658 0.357284146168886 2.64329150365481 1.08481849914999 0.945024867568462 2.47444791227611 2.43352141631885 0.846866603329203 1.05977553946376 0.292202466849455 2.23985040991163 1.90684979628035 1.92572256549983 1.29450579642237 1.42499745809937 2.15078114039641 1.03663983881957 1.34940557800302 1.64539858142837 1.49647857240227 1.29109439017429 1.32275378285663 1.19846044121291 1.79772003719009 1.45475754208348 0.642032458225725 -0.0579892726984122 -0.49173912255312 -0.267863896073915 -0.592428186733237 -0.127764295455173 0.122532374787849 0.762164843309532
D01E09C -1.03376417666436 -1.10305834569134 -1.20936746122106 -1.47641215696387 -2.25449531365697 -1.08942853598853 2.38634149665134 -0.686100368764856 NA -2.46604421566672 1.78178859027947 1.26940669857346 1.49976512923639 1.45762532634535 0.988852891582278 1.64501370654071 2.03389000658839 2.54870060521469 1.9139790069049 1.69790289238813 1.81053998620627 2.20851649582708 2.14285560232859 2.23137300097051 2.11598542217505 1.8890077677467 2.14335798817851 1.88428136287914 1.03961609629781 2.09150324285595 -0.447497403068605 1.68620661121578 0.760362730831547 1.41020464758097 0.729297140514737 -0.131481238294574 1.04815924725098 0.229670186452073 1.59337896441579 0.217824230147222 -0.00367095031730092 2.81641154712782 2.31463737618962 0.26734086788503 1.20016884842544 1.39520845160609 2.58874731582696 1.988492054796 0.0307469121163977 2.53661290851153 0.301669366465552 2.69662106845514 4.13498789787084 3.63356865767396 2.47065186168107 0.924216959591711 2.20879791919754 2.42353813399014 3.22082644601871 2.60260950236871 2.0314489942067 1.85048388054422 2.14306011840627 1.85135375066991 2.15439827175208 2.03510726750949 1.27855572724351 2.10374550226393 1.77517883121585 1.65232089870314 1.45722402061686 0.603220892367762 0.147855567498913 -0.559931994590682 -0.723729998242648 -0.595021534535722 -0.70249606368258 -0.10462812572815 -0.0850147950047535 0.188199741095395
D01E10C -1.86312458021451 -1.80411800327712 -1.57396423464586 -2.26960603004041 -2.8419454584161 -1.55396970972089 -0.268097103677595 -2.47585692119206 -2.46604421566672 NA 5.05940006149636 1.44966801167018 4.56306494149483 2.17850968738304 3.69798566937536 3.32005484259239 2.50022386236798 6.42316145801239 3.10790059932065 6.26886691353103 5.17520861070101 6.16190754634797 6.47916563424552 6.05397831232181 4.07374180983693 5.80675827968542 6.60049360536906 5.53095905668169 3.85873768507599 6.9021644923054 2.69952748120413 4.8151643079498 4.45450342857969 5.46438481625939 2.70349586427735 2.49964166241079 2.04479263620405 4.24938578432426 3.79639476443293 -0.191119838015038 4.28785083091666 7.4974354289307 5.4116893436029 -0.348985642208611 5.30855573112979 4.47237456018022 2.34743433059567 4.54103906957696 0.678434877691385 3.147831553035 3.92301573261906 5.43806283191732 8.63603856831135 6.89558100251488 5.68286184413714 5.18840362728995 5.38742468178367 3.17397181939198 3.56451689987623 7.52132206184712 3.74807905612464 3.64272912852681 7.1111478574344 3.01787156632786 6.06710825230416 3.75543001385511 3.04219268864278 5.99088142580524 6.70726877632493 6.14093966850257 2.84261450130664 1.98370012211828 0.855508859344893 1.53198094061496 -0.867162127982844 -0.605802152948049 0.806948178261196 3.68238767408037 -0.957981298050278 -0.312166042931534
