D01E01C D01E02C D01E03C D01E04C D01E05C D01E06C D01E07C D01E08C D01E09C D01E10C D04E01C D04E02C D04E03C D04E04C D04E05C D04E06C D04E07C D04E08C D04E09C D04E10C D07E01C D07E02C D07E03C D07E04C D07E05C D07E06C D07E07C D07E08C D07E09C D07E10C D14E01C D14E02C D14E03C D14E04C D14E05C D14E06C D14E07C D14E08C D14E09C D14E10C D21E01C D21E02C D21E03C D21E04C D21E05C D21E06C D21E07C D21E08C D21E09C D21E10C D28E01C D28E02C D28E03C D28E04C D28E05C D28E06C D28E07C D28E08C D28E09C D28E10C D35E01C D35E02C D35E03C D35E04C D35E05C D35E06C D35E07C D35E08C D35E09C D35E10C D42E01C D42E02C D42E03C D42E04C D42E05C D42E06C D42E07C D42E08C D42E09C D42E10C
D01E01C 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.37 0.44 0.4 0.37 0.43 0.41 0.38 0.39 0.45 0.47 0.48 0.65 0.59 0.45 0.59 0.55 0.33 0.6 0.67 0.67 0.79 0.76 0.81 0.09 0.69 0.74 0.75 0.68 0.74 0.76 0.74 0.75 0.79 0.76 0.73 0.77 0.75 0.75 0.74 0.74 0.68 0.7 0.75 0.69 0.55 -0.01 -0.02 0.06 -0.02 0.6 0.83 0.75 0.76 0.78 0.75 0.84 0.82 0.55 0.79 0.78 0.76 0.82 0.83 0.79 0.78 0.8 0.78 0.86 0.81 0.67
D01E02C -1 0 -1 -1 -1 -1 -1 -1 -1 -1 0.34 0.38 0.37 0.33 0.39 0.37 0.37 0.35 0.41 0.42 0.45 0.61 0.54 0.41 0.55 0.52 0.79 0.56 0.62 0.63 0.74 0.71 0.75 0.69 0.64 0.68 0.69 0.65 0.69 0.71 0.7 0.7 0.74 0.72 0.68 0.72 0.7 0.71 0.68 0.69 0.64 0.65 0.7 0.65 0.49 -0.1 0.65 0.68 -0.11 0.54 0.78 0.7 0.72 0.74 0.72 0.79 0.77 0.52 0.74 0.73 0.7 0.78 0.79 0.75 0.74 0.76 0.74 0.8 0.77 0.64
D01E03C -1 -1 0 -1 -1 -1 -1 -1 -1 -1 0.48 0.54 0.51 0.47 0.54 0.51 0.5 0.5 0.57 0.58 0.6 0.76 0.69 0.56 0.71 0.67 0.59 0.73 0.78 0.79 0.88 0.87 0.89 0.36 0.8 0.84 0.85 0.81 0.84 0.87 0.85 0.86 0.88 0.86 0.83 0.87 0.86 0.85 0.84 0.84 0.8 0.81 0.85 0.81 0.67 0.26 0.26 0.35 0.27 0.7 0.91 0.85 0.86 0.87 0.85 0.92 0.91 0.67 0.88 0.88 0.85 0.91 0.92 0.89 0.88 0.9 0.87 0.93 0.9 0.78
D01E04C -1 -1 -1 0 -1 -1 -1 -1 -1 -1 0.56 0.63 0.59 0.55 0.63 0.6 0.58 0.58 0.66 0.67 0.68 0.84 0.79 0.65 0.23 0.77 0.37 0.8 0.85 0.86 0.93 0.92 0.94 0.56 0.87 0.9 0.91 0.87 0.9 0.92 0.91 0.91 0.93 0.92 0.9 0.92 0.91 0.92 0.9 0.9 0.87 0.88 0.91 0.88 0.75 0.47 0.46 0.53 0.47 0.78 0.95 0.91 0.92 0.93 0.92 0.96 0.95 0.77 0.93 0.93 0.91 0.95 0.95 0.94 0.93 0.94 0.93 0.96 0.95 0.87
D01E05C -1 -1 -1 -1 0 -1 -1 -1 -1 -1 0.58 0.66 0.62 0.58 0.65 0.63 0.61 0.61 0.67 0.69 0.71 0.86 0.81 0.68 0.82 0.79 0.97 0.83 0.88 0.88 0.95 0.93 0.95 0.61 0.89 0.92 0.93 0.89 0.92 0.93 0.93 0.93 0.95 0.94 0.91 0.93 0.93 0.93 0.92 0.92 0.89 0.9 0.93 0.9 0.77 0.52 0.51 0.58 0.52 0.29 0.96 0.93 0.94 0.94 0.93 0.96 0.96 0.79 0.94 0.95 0.93 0.96 0.96 0.95 0.95 0.95 0.94 0.97 0.95 0.88
D01E06C -1 -1 -1 -1 -1 0 -1 -1 -1 -1 0.54 0.61 0.58 0.53 0.6 0.57 0.55 0.54 0.63 0.64 0.66 0.82 0.77 0.62 0.76 0.73 0.71 0.79 0.84 0.84 0.93 0.9 0.93 0.5 0.85 0.89 0.89 0.85 0.89 0.9 0.89 0.9 0.92 0.9 0.88 0.91 0.9 0.9 0.89 0.88 0.86 0.86 0.89 0.85 0.72 0.41 0.38 0.47 0.4 0.76 0.94 0.89 0.9 0.91 0.9 0.95 0.94 0.73 0.92 0.92 0.89 0.94 0.95 0.92 0.92 0.92 0.91 0.95 0.93 0.84
D01E07C -1 -1 -1 -1 -1 -1 0 -1 -1 -1 0.29 0.34 0.31 0.3 0.34 0.32 0.32 0.31 0.38 0.37 0.4 0.56 0.48 0.36 0.49 0.45 0.74 0.51 0.55 0.56 0.7 0.66 0.71 -0.14 0.59 0.63 0.63 0.58 0.62 0.66 0.65 0.65 0.68 0.66 0.62 0.66 0.65 0.65 0.63 0.64 0.57 0.59 0.64 0.59 0.43 -0.23 -0.22 -0.16 -0.23 0.48 0.73 0.64 0.66 0.67 0.66 0.74 0.73 0.45 0.69 0.68 0.65 0.73 0.74 0.7 0.7 0.69 0.67 0.77 0.71 0.58
D01E08C -1 -1 -1 -1 -1 -1 -1 0 -1 -1 0.63 0.7 0.66 0.63 0.02 0.66 0.66 0.65 0.73 0.74 0.76 0.89 0.84 0.72 0.85 0.82 0.86 0.87 0.91 0.91 0.96 0.95 0.97 0.69 0.92 0.94 0.95 0.91 0.94 0.95 0.95 0.95 0.96 0.95 0.94 0.96 0.95 0.95 0.94 0.94 0.91 0.93 0.95 0.92 0.81 0.62 0.6 0.68 0.61 0.85 0.98 0.95 0.95 0.96 0.95 0.98 0.97 0.82 0.96 0.96 0.95 0.97 0.98 0.96 0.96 0.96 0.96 0.98 0.97 0.91
D01E09C -1 -1 -1 -1 -1 -1 -1 -1 0 -1 0.5 0.56 0.54 0.5 0.58 0.54 0.53 0.52 0.6 0.61 0.62 0.8 0.73 0.59 0.73 0.71 0.93 0.75 0.81 0.81 0.9 0.88 0.91 0.44 0.83 0.87 0.87 0.82 0.86 0.88 0.88 0.88 0.9 0.89 0.86 0.89 0.88 0.87 0.87 0.86 0.83 0.84 0.86 0.83 0.69 0.33 0.33 0.41 0.33 0.73 0.93 0.86 0.89 0.9 0.88 0.93 0.93 0.71 0.9 0.9 0.88 0.93 0.93 0.9 0.9 0.91 0.9 0.95 0.92 0.82
D01E10C -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0.54 0.61 0.58 0.53 0.6 0.57 0.55 0.54 0.63 0.64 0.66 0.82 0.77 0.62 0.76 0.73 0.94 0.79 0.84 0.84 0.93 0.9 0.93 0.5 0.85 0.89 0.89 0.85 0.89 0.9 0.89 0.9 0.92 0.9 0.88 0.91 0.9 0.9 0.89 0.88 0.86 0.86 0.89 0.85 0.72 0.41 0.38 0.47 0.4 0.76 0.94 0.89 0.9 0.91 0.9 0.95 0.94 0.73 0.92 0.92 0.89 0.94 0.95 0.92 0.92 0.92 0.91 0.95 0.93 0.84
D04E01C 0.37 0.34 0.48 0.56 0.58 0.54 0.29 0.63 0.5 0.54 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -0.92 -0.78 -0.94 -0.99 -0.89 -0.81 -0.86 -0.97 -0.99 -1 1 1 1 1 1 1 1 1 1 1 -0.69 -0.96 0.04 -0.96 -0.97 -0.54 -0.87 -0.86 -0.78 -0.71 -0.99 -0.31 -0.93 -0.98 -0.84 0.03 -0.98 0.08 0.9 -1
D04E02C 0.44 0.38 0.54 0.63 0.66 0.61 0.34 0.7 0.56 0.61 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.5 -1 -0.99 -1 -1 -0.98 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 -0.95 -1 -0.82 -0.84 -0.96 0.47 -0.75 -0.97 -0.76 -0.86 -0.99 -0.95 -0.48 -1 -0.97 -0.85 -1 -0.99 -0.57 -1
D04E03C 0.4 0.37 0.51 0.59 0.62 0.58 0.31 0.66 0.54 0.58 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -0.9 -1 -0.9 -1 -1 -0.94 -1 -1 -1 -0.87 -0.99 -0.04 -1 -0.09 -0.82 -1 -1 -0.96 -0.56 -0.99 1 1 1 1 1 1 1 1 1 1 0.48 0.24 -0.09 -0.49 0.02 0.89 -0.53 -0.89 0 0.27 -0.58 0.7 -0.67 -0.14 -0.62 -0.07 -0.87 0.73 0.42 -0.97
D04E04C 0.37 0.33 0.47 0.55 0.58 0.53 0.3 0.63 0.5 0.53 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -1 -0.72 -0.95 -0.95 -0.16 -0.9 -0.95 -0.99 -1 -0.7 -1 1 1 1 1 1 1 1 1 1 1 -0.91 -0.96 -0.92 -0.27 0.85 0.56 -0.52 -0.99 -0.98 0.01 0.04 -0.34 -0.29 0.61 -0.27 0.18 -0.79 -0.13 0.5 -0.6
D04E05C 0.43 0.39 0.54 0.63 0.65 0.6 0.34 0.02 0.58 0.6 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -0.99 -0.98 0.08 -0.99 -1 -1 -0.97 -0.58 -1 -0.99 -0.83 -0.51 -0.69 -0.41 -0.81 -0.92 -0.95 -0.54 -0.55 -0.85 1 1 1 1 1 1 1 1 1 1 0.65 -0.7 0.69 -0.31 0.37 0.85 0.02 -0.66 0.62 0.3 -0.57 0.19 0.67 -0.41 0.99 -0.48 -1 0.57 -0.16 -0.72
D04E06C 0.41 0.37 0.51 0.6 0.63 0.57 0.32 0.66 0.54 0.57 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -0.93 -0.97 -0.93 -0.98 -1 -0.98 -0.86 -0.99 -0.99 -0.97 -0.04 -0.73 -0.91 -0.96 0.26 -0.95 -0.34 -0.05 -0.64 -0.99 1 1 1 1 1 1 1 1 1 1 -0.57 -0.11 -0.25 0.76 0.78 0.08 -0.19 -0.55 0.93 0.14 -0.25 0.81 0.39 0.07 0.2 0.15 -0.31 0.89 -0.04 0.32
D04E07C 0.38 0.37 0.5 0.58 0.61 0.55 0.32 0.66 0.53 0.55 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -0.96 -0.98 -0.95 -1 -1 -1 -1 -0.98 -0.99 -0.81 -0.97 -0.65 0.11 -1 -0.99 -0.89 -0.62 -1 1 1 1 1 1 1 1 1 1 1 -0.12 -0.97 0.63 -0.68 -0.58 0.1 -0.35 -0.27 -0.8 0.34 -0.05 -0.96 -0.88 0.26 -0.45 -0.73 -0.85 0.93 0.17 -0.19
D04E08C 0.39 0.35 0.5 0.58 0.61 0.54 0.31 0.65 0.52 0.54 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -0.99 -1 -0.8 -1 -1 -1 -0.88 -0.99 -1 -1 -0.99 0.14 -0.99 -0.71 0.03 -0.8 -0.77 -0.91 -0.39 -1 1 1 1 1 1 1 1 1 1 1 0.13 -0.48 0.25 0.65 0.52 0.62 -0.28 -0.66 -0.65 0.25 -0.47 0.07 0.8 -0.87 0.15 -0.67 -0.83 0.95 -0.43 -0.81
D04E09C 0.45 0.41 0.57 0.66 0.67 0.63 0.38 0.73 0.6 0.63 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.79 -1 -0.99 -0.97 -0.78 -0.93 -0.95 -0.91 -0.98 -1 1 1 1 1 1 1 1 1 1 1 -0.74 -1 -0.78 -0.4 -0.25 0.92 -0.69 -0.99 -0.9 -0.27 -0.52 -0.32 -0.79 -0.77 0.89 -0.73 -0.98 0.15 -0.71 -0.97
D04E10C 0.47 0.42 0.58 0.67 0.69 0.64 0.37 0.74 0.61 0.64 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -0.95 -1 -1 -1 -0.84 -1 -1 -1 -0.73 -0.81 -0.92 -0.87 -0.91 -0.81 -0.72 -1 -0.09 -1 1 1 1 1 1 1 1 1 1 1 0.01 -0.69 0.4 0.02 0 0.8 -0.37 -0.95 -0.82 -0.7 -0.77 0.41 -0.96 -0.61 0.04 -0.74 -0.83 0.73 0.5 -0.99
D07E01C 0.48 0.45 0.6 0.68 0.71 0.66 0.4 0.76 0.62 0.66 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.84 -1 -1 -1 -0.96 -0.46 -0.85 -0.58 -0.94 -0.97 -0.89 -1 -0.39 -0.83 1 1 1 1 1 1 1 1 1 1 0.51 -0.43 0.58 -0.25 -0.74 0.27 0.15 -0.97 -0.07 0.98 -0.86 0.93 -0.34 -0.45 0.28 -0.07 -0.25 -0.24 0.65 -1
D07E02C 0.65 0.61 0.76 0.84 0.86 0.82 0.56 0.89 0.8 0.82 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.81 -0.89 -0.95 -0.98 -0.75 -0.76 -1 -0.87 -0.56 -0.96 1 1 1 1 1 1 1 1 1 1 0.1 -0.89 0.09 -0.51 -0.26 0.16 -0.84 0.05 0.45 0.67 -0.94 -0.09 0.85 -0.22 0.1 0.25 -0.99 0.14 0.56 -0.99
D07E03C 0.59 0.54 0.69 0.79 0.81 0.77 0.48 0.84 0.73 0.77 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.95 -0.98 -1 -1 -0.99 -0.75 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 -0.51 -1 -1 -0.99 0.26 0.55 -0.99 -1 -1 -0.99 -1 -0.83 -1 -0.99 -0.94 -0.94 -1 -0.99 -0.96 -1
D07E04C 0.45 0.41 0.56 0.65 0.68 0.62 0.36 0.72 0.59 0.62 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -0.99 -0.99 -1 -1 -0.15 -0.57 -0.91 -1 -0.93 -0.12 -0.95 -1 -0.7 -1 1 1 1 1 1 1 1 1 1 1 -0.74 -0.51 -0.77 -0.05 -0.05 -0.21 0.15 -1 -0.21 -0.88 -0.99 0.58 -0.79 -0.68 0.13 -0.94 -0.86 -0.88 -0.99 -1
D07E05C 0.59 0.55 0.71 0.23 0.82 0.76 0.49 0.85 0.73 0.76 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 1 -1 -1 -1 -1 -1 -0.93 -1 -1 -1 -1 -1 -1 -1 0.12 -0.98 -0.89 -0.91 -0.99 -0.76 -0.71 -0.81 -0.99 -0.94 1 1 1 1 1 1 1 1 1 1 0.37 0.03 0.45 -0.13 0.08 1 0.04 -0.92 -0.33 0.72 -0.82 0.8 -0.25 0.73 0.84 0.37 -0.27 0.72 0.93 -0.98
D07E06C 0.55 0.52 0.67 0.77 0.79 0.73 0.45 0.82 0.71 0.73 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -0.97 0.5 -0.96 -1 -1 -0.51 -1 -1 -0.24 -0.62 -1 1 1 1 1 1 1 1 1 1 1 0.71 -0.42 0.43 0.4 0.06 0.82 0.35 -0.92 -0.51 -0.81 -0.78 0.1 -0.09 -0.33 0.33 -0.1 -0.89 0.74 -0.41 -0.87
D07E07C 0.33 0.79 0.59 0.37 0.97 0.71 0.74 0.86 0.93 0.94 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -0.8 -0.09 1 0.93 -0.74 -0.99 0.92 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
D07E08C 0.6 0.56 0.73 0.8 0.83 0.79 0.51 0.87 0.75 0.79 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.71 -0.99 -0.99 -0.98 -0.98 -0.79 -0.68 -0.93 -1 -0.99 1 1 1 1 1 1 1 1 1 1 -0.52 -0.96 -0.66 -0.67 -0.43 0.75 -0.04 -0.6 -0.41 -0.81 -0.74 0.91 -0.69 -0.89 -0.87 -0.48 -0.58 -0.32 -0.02 -1
D07E09C 0.67 0.62 0.78 0.85 0.88 0.84 0.55 0.91 0.81 0.84 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -0.99 -1 -0.97 -0.98 -0.98 -0.98 -0.74 -1 -1 -0.98 1 1 1 1 1 1 1 1 1 1 -0.73 -1 -0.99 0.05 -0.63 0.58 0.46 -1 -0.55 -0.81 -0.92 0.95 -1 -0.88 0.42 -0.51 -0.63 -0.72 0.54 -0.88
D07E10C 0.67 0.63 0.79 0.86 0.88 0.84 0.56 0.91 0.81 0.84 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.46 -0.82 -0.79 -0.85 -0.8 -0.97 -0.98 -0.86 -0.87 -0.99 1 1 1 1 1 1 1 1 1 1 0.96 -0.2 -0.38 -0.37 0.69 0 -0.4 -0.94 -0.02 0.96 -0.76 0.87 0.82 -0.41 -0.56 0.3 -0.98 0.14 -0.2 -1
D14E01C 0.79 0.74 0.88 0.93 0.95 0.93 0.7 0.96 0.9 0.93 -1 -1 -0.9 -1 -0.99 -0.93 -1 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -0.96 -1 -1 -0.98 -1 -1 -1 -0.94 -0.91 -1 -0.99 -0.9 -1 1 1 1 1 1 1 1 1 1 1 -0.66 -1 -0.76 0.01 -0.95 0.45 -0.17 -0.79 -1 -0.98 -1 -0.98 -1 -0.99 -0.87 -0.75 -1 -0.09 -1 -1
D14E02C 0.76 0.71 0.87 0.92 0.93 0.9 0.66 0.95 0.88 0.9 -1 -1 -1 -1 -0.98 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -0.18 -0.99 -1 -1 -1 -0.96 -0.99 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 -0.99 -0.91 -1 -0.88 -0.84 0.08 -0.04 -1 -1 0.42 -0.98 -0.92 -0.81 -0.74 -0.27 -0.77 -1 -0.73 0.91 -1
D14E03C 0.81 0.75 0.89 0.94 0.95 0.93 0.71 0.97 0.91 0.93 -1 -1 -0.9 -1 0.08 -0.93 -0.96 -0.8 -1 -0.95 -1 -1 -1 -0.97 -0.93 -1 1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 -0.67 -1 -1 -0.97 -1 -0.9 -0.87 -0.99 -1 -1 -0.92 -0.94 -1 -0.99 -0.98 -0.64 -1 -0.99 -0.3 -1
D14E04C 0.09 0.69 0.36 0.56 0.61 0.5 -0.14 0.69 0.44 0.5 -1 -1 -1 -1 -0.99 -0.98 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -0.97 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 -0.62 -0.85 -0.85 -0.78 -0.94 -0.38 -0.36 -1 -0.98 -0.89 -0.65 0 -0.59 -0.25 -0.32 -0.03 -0.99 -0.55 -0.52 -1
