D01E01D D01E02D D01E03D D01E04D D01E05D D01E06D D01E07D D01E08D D01E09D D01E10D D04E01D D04E02D D04E03D D04E04D D04E05D D04E06D D04E07D D04E08D D04E09D D04E10D D07E01D D07E02D D07E03D D07E04D D07E05D D07E06D D07E07D D07E08D D07E09D D07E10D D14E01D D14E02D D14E03D D14E04D D14E05D D14E06D D14E07D D14E08D D14E09D D14E10D D21E01D D21E02D D21E03D D21E04D D21E05D D21E06D D21E07D D21E08D D21E09D D21E10D D28E01D D28E02D D28E03D D28E04D D28E05D D28E06D D28E07D D28E08D D28E09D D28E10D D35E01D D35E02D D35E03D D35E04D D35E05D D35E06D D35E07D D35E08D D35E09D D35E10D D42E01D D42E02D D42E03D D42E04D D42E05D D42E06D D42E07D D42E08D D42E09D D42E10D
D01E01D 0 -1 -1 -1 -0.94 -0.78 -1 -1 -1 -1 0.7 0.98 0.84 0.98 0.77 0.61 0.96 0.96 0.89 0.97 0.48 0.96 0.85 0.46 0.93 0.93 0.94 0.31 -0.17 0.92 0.93 0.92 0.99 0.76 0.84 0.95 -0.48 0.95 0.95 0.96 0.97 0.93 0.8 0.97 0.83 0.95 0.96 0.69 0.93 0.63 0.34 0.67 0.8 0.71 0.72 0.42 0.74 0.79 0.89 0.95 0.89 0.42 0.92 0.93 0.97 0.95 0.91 0.84 0.9 0.84 0.95 0.93 0.92 0.94 0.87 0.82 0.77 0.83 0.85 0.78
D01E02D -1 0 -1 -1 -1 -0.98 -1 -1 -1 -1 0.89 0.72 0.94 0.95 0.91 0.86 0.92 0.91 0.82 0.93 0.66 0.91 0.77 0.26 0.88 0.87 0.89 0.07 0.21 0.86 0.88 0.86 0.97 0.59 0.94 0.55 0.32 0.91 0.91 0.92 0.93 0.49 0.65 0.93 0.94 0.9 0.92 0.89 0.88 0.86 0.75 0.87 0.7 0.89 0.9 0.78 0.91 0.92 0.81 0.91 0.83 0.79 0.86 0.88 0.93 0.91 0.84 0.94 0.83 0.76 0.9 0.87 0.86 0.89 0.8 0.73 0.68 0.75 0.77 0.69
D01E03D -1 -1 0 -1 -0.99 -0.96 -1 -1 -1 -1 0.93 0.92 1 0.98 0.99 0.88 0.95 0.99 0.97 1 0.97 0.99 0.75 0.44 0.72 0.99 0.99 0.66 0.39 0.99 0.92 0.89 1 0.81 0.98 0.99 0.85 0.95 0.99 0.96 0.87 0.71 0.64 0.97 0.71 0.78 0.83 0.73 0.91 0.67 0.71 0.7 0.17 0.43 0.93 0.77 0.94 0.86 0.97 0.99 0.97 0.4 0.98 0.91 0.97 0.81 0.87 1 0.86 0.73 0.94 0.69 0.89 0.93 0.96 0.94 0.57 0.71 0.95 0.91
D01E04D -1 -1 -1 0 -0.92 -1 -1 -1 -0.93 -0.99 0.96 0.99 0.98 0.91 0.83 0.68 0.83 0.49 0.91 0.98 0.86 0.97 0.88 0.54 0.95 0.95 0.96 -0.19 0.52 0.94 0.75 0.69 0.99 0.47 0.98 0.41 -0.72 0.97 0.97 0.97 0.98 0.95 0.84 0.98 0.98 0.97 0.97 0.76 0.95 0.94 0.86 0.95 0.83 0.78 0.77 0.89 0.96 0.97 0.91 0.97 0.92 0.89 0.69 0.95 0.98 0.97 0.65 0.98 0.93 0.87 0.97 0.94 0.7 0.96 0.9 0.85 0.82 0.86 0.48 0.82
D01E05D -0.94 -1 -0.99 -0.92 0 -0.97 -1 -0.98 -0.96 -1 0.94 1 1 1 0.99 0.88 1 1 0.79 1 1 1 1 0.97 1 1 1 0.94 0.89 1 1 0.96 1 0.96 1 1 0.99 1 1 1 1 1 0.99 1 1 0.95 1 1 0.99 1 0.96 0.98 0.99 0.98 1 1 0.95 1 0.98 1 0.94 0.89 0.99 0.99 1 1 0.95 1 0.99 0.95 1 1 1 1 0.98 0.94 0.9 1 0.97 0.91
D01E06D -0.78 -0.98 -0.96 -1 -0.97 0 -1 -1 0.04 -0.66 1 1 1 1 0.95 0.95 0.99 1 0.91 0.99 0.98 0.95 0.99 0.88 0.99 0.99 1 0.93 0.85 1 0.99 1 0.97 1 1 0.61 -0.17 1 1 1 1 0.99 1 0.99 1 1 0.99 1 1 1 0.99 1 0.99 1 1 1 1 1 0.98 1 1 0.96 0.95 0.96 1 0.98 0.93 1 1 0.99 1 0.99 1 1 0.88 0.99 0.98 0.94 0.95 0.67
D01E07D -1 -1 -1 -1 -1 -1 0 -1 -1 -1 0.91 0.77 0.96 0.96 0.64 0.88 0.93 0.64 0.84 0.94 0.72 0.93 0.22 0.33 0.89 0.89 0.91 0.12 0.27 0.88 0.9 0.88 0.87 0.63 0.96 0.6 -0.66 0.93 0.92 0.93 0.94 0.9 0.69 0.95 0.95 0.62 0.93 0.9 0.89 0.88 0.19 0.89 0.75 0.58 0.92 0.81 0.92 0.94 0.83 0.93 0.85 0.8 0.49 0.89 0.94 0.93 0.86 0.95 0.85 0.78 0.92 0.89 0.88 0.91 0.82 0.75 0.71 0.78 0.79 0.71
D01E08D -1 -1 -1 -1 -0.98 -1 -1 0 -1 -1 0.85 0.92 0.91 0.93 0.47 0.81 0.88 0.47 0.78 0.9 0.55 0.88 0.72 0.12 0.84 0.84 0.85 -0.62 0.09 0.82 0.84 0.29 0.96 0.46 0.92 0.41 -0.42 0.87 0.87 0.88 0.9 0.84 0.53 0.54 0.92 0.86 0.89 0.85 0.83 0.82 0.7 0.83 0.65 0.39 0.86 0.73 0.86 0.88 0.77 0.88 0.79 0.73 0.8 0.83 0.89 0.88 0.79 0.56 0.79 0.7 0.86 0.82 0.29 0.85 0.74 0.67 0.63 0.7 0.71 -0.11
D01E09D -1 -1 -1 -0.93 -0.96 0.04 -1 -1 0 -1 1 0.99 0.96 0.99 0.99 0.99 1 0.99 0.94 1 0.95 0.99 0.36 0.9 0.98 0.98 0.95 0.18 0.41 0.97 1 0.97 1 0.99 0.99 0.99 0.99 0.99 0.99 1 1 0.98 1 0.99 1 1 1 0.94 0.98 0.99 0.83 0.98 0.94 0.95 1 0.98 0.99 1 0.98 0.97 0.99 0.89 0.96 0.99 1 1 0.95 0.99 0.99 0.29 1 1 0.9 1 0.98 0.99 0.99 0.83 0.86 0.41
D01E10D -1 -1 -1 -0.99 -1 -0.66 -1 -1 -1 0 0.84 0.94 0.76 0.95 0.63 0.78 0.98 0.98 0.7 0.7 0.72 0.89 0.59 0.65 0.97 0.97 0.84 0.5 -0.38 0.79 0.97 0.79 0.97 0.88 0.77 0.59 0.29 0.98 0.98 0.98 0.91 0.97 0.91 0.99 0.93 0.98 0.99 0.84 0.96 0.96 0.55 0.97 0.47 0.98 0.98 0.92 0.98 0.99 0.94 0.98 0.95 0.92 0.4 0.8 0.99 0.88 0.96 0.99 0.73 0.56 0.86 0.81 0.96 0.97 0.92 0.88 0.85 0.03 0.57 -0.17
