D01E01I D01E02I D01E03I D01E04I D01E05I D01E06I D01E07I D01E08I D01E09I D01E10I D04E01I D04E02I D04E03I D04E04I D04E05I D04E06I D04E07I D04E08I D04E09I D04E10I D07E01I D07E02I D07E03I D07E04I D07E05I D07E06I D07E07I D07E08I D07E09I D07E10I D14E01I D14E02I D14E03I D14E04I D14E05I D14E06I D14E07I D14E08I D14E09I D14E10I D21E01I D21E02I D21E03I D21E04I D21E05I D21E06I D21E07I D21E08I D21E09I D21E10I D28E01I D28E02I D28E03I D28E04I D28E05I D28E06I D28E07I D28E08I D28E09I D28E10I D35E01I D35E02I D35E03I D35E04I D35E05I D35E06I D35E07I D35E08I D35E09I D35E10I D42E01I D42E02I D42E03I D42E04I D42E05I D42E06I D42E07I D42E08I D42E09I D42E10I
D01E01I 0 -1 -1 -1 -0.98 -1 -1 -0.96 -1 -1 0.8 0.98 0.97 0.96 0.79 0.88 0.94 1 0.89 1 1 0.98 0.99 0.98 1 0.97 0.94 0.89 0.91 0.95 0.91 0.93 1 0.96 0.99 0.96 0.94 0.86 0.99 1 0.93 0.89 0.91 0.98 0.98 0.88 0.96 0.89 0.89 0.94 0.88 0.94 0.91 0.88 0.94 0.99 0.99 0.86 0.96 0.97 0.87 0.93 0.96 0.91 1 0.99 0.96 0.99 0.96 0.89 0.91 0.8 0.99 0.89 0.96 0.55 0.86 0.91 0.81 0.91
D01E02I -1 0 -1 -1 -0.97 -1 -1 -1 -1 -1 0.54 0.86 0.8 0.79 0.22 0.63 0.73 0.96 0.64 0.94 0.93 0.86 0.9 0.84 0.99 0.8 0.52 0.66 0.69 0.76 0.67 0.71 0.93 0.79 0.88 0.79 0.1 0.61 0.87 0.95 0.71 0.64 0.69 0.83 0.84 0.63 0.79 0.66 0.64 0.74 0.63 0.72 0.67 0.62 0.75 0.9 0.88 0.61 0.79 0.81 0.62 0.71 0.79 0.68 0.99 0.88 0.77 0.9 0.77 0.66 0.68 0.54 0.91 0.64 0.79 -0.08 0.61 0.69 0.54 0.68
D01E03I -1 -1 0 -1 -0.67 -1 -1 -0.97 -0.99 -1 0.59 0.89 0.84 0.84 0.33 0.68 0.77 0.97 0.69 0.96 0.95 0.89 0.93 0.88 0.99 0.84 0.64 0.7 0.74 0.81 0.72 0.76 0.95 0.84 0.91 0.84 0.23 0.66 0.9 0.97 0.76 0.69 0.74 0.87 0.88 0.68 0.83 0.7 0.69 0.78 0.68 0.78 0.72 0.68 0.8 0.93 0.91 0.66 0.84 0.85 0.67 0.76 0.83 0.73 0.99 0.91 0.82 0.93 0.82 0.7 0.73 0.59 0.93 0.69 0.83 0.05 0.66 0.74 0.58 0.73
D01E04I -1 -1 -1 0 -1 -1 -1 -0.99 -1 -1 0.68 0.93 0.9 0.89 0.52 0.77 0.84 0.99 0.77 0.98 0.98 0.93 0.96 0.93 1 0.9 0.77 0.78 0.8 0.87 0.79 0.84 0.98 0.89 0.95 0.89 0.85 0.73 0.95 0.98 0.84 0.78 0.8 0.93 0.93 0.77 0.9 0.78 0.78 0.85 0.77 0.85 0.79 0.76 0.85 0.96 0.95 0.73 0.89 0.91 0.75 0.84 0.88 0.8 1 0.95 0.88 0.96 0.88 0.78 0.8 0.68 0.96 0.77 0.88 0.2 0.73 0.8 0.67 0.8
D01E05I -0.98 -0.97 -0.67 -1 0 -0.73 -0.88 -0.88 -1 -0.99 0.16 0.97 0.95 0.94 0.72 0.84 0.91 1 0.85 1 0.99 0.97 0.99 0.8 1 0.95 0.9 0.85 0.89 0.93 0.88 0.9 0.99 0.95 0.98 0.94 0.6 0.82 0.86 1 0.9 0.85 0.89 0.96 0.97 0.84 0.95 0.85 0.85 0.91 0.84 0.91 0.88 0.84 0.92 0.99 0.98 0.82 0.94 0.96 0.83 0.9 0.94 0.87 0.99 0.98 0.94 0.99 0.94 0.4 0.87 0.16 0.99 0.85 0.94 -0.15 0.82 0.89 0.76 0.87
D01E06I -1 -1 -1 -1 -0.73 0 -1 -0.82 -0.99 -1 0.92 1 0.99 0.99 0.95 0.96 0.99 1 0.8 1 1 1 1 1 1 0.99 0.99 0.97 0.97 0.99 0.97 0.98 1 0.99 1 0.99 0.91 0.95 1 1 0.98 0.97 0.97 1 1 0.96 0.99 0.97 0.97 0.99 0.96 0.99 0.97 0.96 0.99 1 1 0.74 0.99 1 0.95 0.98 0.99 0.97 1 1 0.99 1 0.99 0.97 0.84 0.92 1 0.97 0.99 0.83 0.95 0.97 0.91 0.97
D01E07I -1 -1 -1 -1 -0.88 -1 0 -0.98 -1 -1 0.29 0.56 0.52 0.48 -0.39 0.35 0.43 0.74 0.37 0.71 0.68 0.56 0.63 0.55 0.84 0.5 -0.17 0.37 0.39 0.48 0.37 0.41 0.69 0.49 0.6 0.48 0.44 0.33 0.59 0.73 0.41 0.36 0.39 0.54 0.55 0.35 0.49 0.37 0.36 0.44 0.35 0.42 0.37 0.36 0.44 0.63 0.59 0.33 0.48 0.51 0.33 0.41 0.48 0.39 0.84 0.59 0.46 0.63 0.47 0.37 0.39 0.29 0.64 0.37 0.48 -0.56 0.33 0.39 0.27 0.39
D01E08I -0.96 -1 -0.97 -0.99 -0.88 -0.82 -0.98 0 -1 -1 0.96 1 1 0.99 0.99 0.98 1 1 0.99 1 1 1 1 1 1 1 1 0.93 0.95 0.98 0.99 1 1 1 1 1 1 0.98 1 1 1 0.99 0.95 1 0.98 0.98 1 0.99 0.99 1 0.91 1 0.99 0.99 1 1 1 0.98 1 1 0.98 1 1 0.99 1 1 1 1 0.99 0.93 0.99 0.81 1 0.99 1 0.76 0.98 0.99 0.96 0.99
D01E09I -1 -1 -0.99 -1 -1 -0.99 -1 -1 0 -1 0.59 0.89 0.84 0.84 0.33 0.68 0.77 0.97 0.69 0.96 0.95 0.89 0.93 0.88 0.99 0.84 0.64 0.7 0.74 0.81 0.72 0.14 0.95 0.84 0.91 0.84 0.8 0.66 0.9 0.97 0.76 0.69 0.74 0.87 0.88 0.68 0.83 0.7 0.69 0.78 0.68 0.78 0.72 0.68 0.8 0.93 0.91 0.66 0.84 0.85 0.67 0.76 0.83 0.73 0.99 0.91 0.82 0.93 0.82 0.7 0.73 0.59 0.93 0.69 0.83 0.05 0.66 0.74 -0.22 0.73
D01E10I -1 -1 -1 -1 -0.99 -1 -1 -1 -1 0 0.42 0.74 0.69 0.67 -0.06 0.51 0.6 0.9 0.53 0.87 0.85 0.74 0.81 0.74 0.96 0.68 0.24 0.54 0.56 0.66 0.55 0.59 0.85 0.69 0.79 0.67 0.63 0.49 0.78 0.88 0.59 0.53 0.56 0.72 0.74 0.51 0.68 0.54 0.53 0.62 0.51 0.6 0.55 0.5 0.63 0.81 0.78 0.49 0.67 0.69 0.49 0.59 0.65 0.56 0.95 0.78 0.65 0.81 0.65 0.54 0.56 0.42 0.82 0.53 0.65 -0.3 0.49 0.56 0.42 0.56
D04E01I 0.8 0.54 0.59 0.68 0.16 0.92 0.29 0.96 0.59 0.42 0 -1 -1 -1 -1 -1 -1 -0.51 -1 -0.69 -0.81 -0.99 -0.97 -1 0.22 -1 -0.92 -1 -1 -1 -1 -1 -0.9 -1 -0.96 -1 -1 -1 -0.99 -0.76 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 -0.97 -1 -0.98 -1 -0.78 -1 -1 -1 -0.99 -0.79 -0.99 -1 0.12 -1 -1 -1 -1 -0.99 -1 -1 -0.99 -1 -1 -1 -0.99
D04E02I 0.98 0.86 0.89 0.93 0.97 1 0.56 1 0.89 0.74 -1 0 -0.97 -0.92 -0.73 -0.51 -0.84 0.12 -0.82 -0.33 0.8 -0.97 0 -0.04 0.99 -0.82 0 -0.76 -0.62 -0.61 -1 -1 0.7 -0.83 -0.98 -0.62 -0.93 -0.96 -0.92 0.37 -1 -1 -0.97 -0.99 -0.48 -0.99 -0.98 -0.97 -1 -0.77 -0.99 -0.91 -0.83 -0.74 -0.75 0.35 -0.55 -0.69 -0.96 -0.73 -1 -0.77 -1 -0.67 0.78 -0.99 -0.95 0.99 -0.99 -0.76 -0.96 -0.9 -0.88 -0.82 -0.28 -0.73 -0.84 -0.94 -0.99 -0.47
D04E03I 0.97 0.8 0.84 0.9 0.95 0.99 0.52 1 0.84 0.69 -1 -0.97 0 -1 -0.99 -0.95 -0.96 -0.33 -1 0.36 -0.59 -0.97 -1 -0.92 0.17 -1 -0.77 -0.99 -0.97 -0.78 -1 -1 -0.39 -1 -0.51 -1 -0.94 -1 -0.45 0.18 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.94 -0.55 -1 -1 -1 -0.97 -1 -1 -1 -1 -0.61 -1 -1 -0.26 -1 -0.99 -1 -1 -0.95 -1 -1 -0.96 -1 -1 -1 -0.99
D04E04I 0.96 0.79 0.84 0.89 0.94 0.99 0.48 0.99 0.84 0.67 -1 -0.92 -1 0 -1 -1 -0.99 -0.13 -1 -1 -0.95 -0.98 -1 -1 -0.34 -1 -0.95 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -1 -1 -0.98 -0.95 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.96 -0.89 -1 -0.99 -1 -0.58 -1 -1 -1 -0.92 -0.16 -1 -1 0.47 -1 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -1 -1
D04E05I 0.79 0.22 0.33 0.52 0.72 0.95 -0.39 0.99 0.33 -0.06 -1 -0.73 -0.99 -1 0 -0.92 -1 0.56 -1 -0.91 0.1 -0.96 -0.95 -0.97 0.33 -1 -0.98 -1 -1 -1 -1 -1 -0.68 -0.99 -0.99 -1 -1 -1 -0.99 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.96 -0.99 -0.96 -1 -0.72 -1 -1 -1 -0.96 -0.97 -1 -1 -0.39 -1 -1 -1 -1 -0.93 -1 -1 -1 -1 -1 -1 -1
D04E06I 0.88 0.63 0.68 0.77 0.84 0.96 0.35 0.98 0.68 0.51 -1 -0.51 -0.95 -1 -0.92 0 -0.9 0.11 -1 0.36 -0.17 -0.25 0.01 -0.59 1 -0.8 0.01 -1 -0.95 -0.6 -0.99 -0.96 0.38 -0.96 0.07 -0.99 -0.86 -1 -0.56 0.7 -0.82 -0.97 -0.95 -0.79 -0.76 -0.99 -0.92 -1 -1 -0.94 -1 -0.98 -0.91 -1 -0.71 -0.34 -0.26 -0.97 -0.84 -0.87 -1 -0.96 -0.94 -0.9 0.97 -0.7 -0.98 0.54 -0.98 -0.99 -0.99 -1 -0.46 -1 -0.94 -0.92 -0.99 -0.98 -1 -0.98
