D01E01J D01E02J D01E03J D01E04J D01E05J D01E06J D01E07J D01E08J D01E09J D01E10J D04E01J D04E02J D04E03J D04E04J D04E05J D04E06J D04E07J D04E08J D04E09J D04E10J D07E01J D07E02J D07E03J D07E04J D07E05J D07E06J D07E07J D07E08J D07E09J D07E10J D14E01J D14E02J D14E03J D14E04J D14E05J D14E06J D14E07J D14E08J D14E09J D14E10J D21E01J D21E02J D21E03J D21E04J D21E05J D21E06J D21E07J D21E08J D21E09J D21E10J D28E01J D28E02J D28E03J D28E04J D28E05J D28E06J D28E07J D28E08J D28E09J D28E10J D35E01J D35E02J D35E03J D35E04J D35E05J D35E06J D35E07J D35E08J D35E09J D35E10J D42E01J D42E02J D42E03J D42E04J D42E05J D42E06J D42E07J D42E08J D42E09J D42E10J
D01E01J 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.88 0.94 0.94 0.83 0.82 0.76 0.79 0.84 0.77 0.89 0.91 0.91 0.81 0.7 0.91 -0.42 0.93 0.76 0.66 0.6 0.64 0.77 0.77 0.64 0.73 0.81 -0.29 0.4 0.84 0.98 0.66 0.69 0.8 0.95 0.81 0.97 0.95 0.94 0.94 0.9 0.66 0.91 0.77 0.75 0.81 0.75 0.94 0.84 0.81 0.79 0.81 0.9 0.77 0.95 0.69 0.69 0.93 0.75 0.89 0.83 0.62 0.96 0.65 0.9 0.82 0.69 0.51 0.94 0.23 0.85
D01E02J -1 0 -1 -1 -0.99 -1 -1 -1 -0.99 -1 0.69 0.78 0.8 0.63 0.61 0.55 0.58 0.63 0.56 0.7 0.75 0.74 0.61 0.48 0.74 -0.23 0.76 0.55 0.46 0.39 0.44 0.54 0.56 0.44 0.52 0.59 -0.59 0.66 0.64 0.87 0.46 0.47 0.59 0.82 0.61 0.87 0.81 0.79 0.78 0.72 0.46 0.75 0.56 0.54 0.6 0.54 0.79 0.64 0.59 0.58 0.61 0.71 0.56 0.81 0.47 0.47 0.78 0.54 0.71 0.63 0.41 0.82 0.44 0.72 0.61 0.47 0.32 0.78 0.58 0.67
D01E03J -1 -1 0 -1 -1 -1 -1 -1 -1 -1 0.76 0.84 0.86 0.7 0.67 0.61 0.64 0.7 0.63 0.77 0.81 0.8 0.68 0.56 0.8 -0.11 0.82 0.61 0.51 0.46 0.5 0.61 0.63 0.5 0.59 0.66 -0.51 0.72 0.69 0.91 0.51 0.54 0.65 0.87 0.68 0.92 0.86 0.86 0.84 0.78 0.52 0.81 0.63 0.61 0.67 0.6 0.85 0.69 0.66 0.64 0.68 0.79 0.63 0.86 0.54 0.54 0.84 0.61 0.78 0.69 0.47 0.87 0.5 0.78 0.68 0.54 0.37 0.84 0.64 0.73
D01E04J -1 -1 -1 0 -0.99 -1 -1 -1 -0.99 -1 0.69 0.78 0.8 0.63 0.61 0.55 0.58 0.63 0.56 0.7 0.75 0.74 0.61 0.48 0.74 -0.23 0.76 0.55 0.46 0.39 0.44 0.54 0.56 0.44 0.52 0.59 -0.59 0.66 0.64 0.87 0.46 0.47 0.59 0.82 0.61 0.87 0.81 0.79 0.78 0.72 0.46 0.75 0.56 0.54 0.6 0.54 0.79 0.64 0.59 0.58 0.61 0.71 0.56 0.81 0.47 0.47 0.78 0.54 0.71 0.63 0.41 0.82 0.44 0.72 0.61 0.47 0.32 0.78 0.58 0.67
D01E05J -1 -0.99 -1 -0.99 0 -1 -1 -1 -0.93 -0.98 0.98 0.99 1 0.97 0.96 0.93 0.94 0.96 0.94 0.98 0.99 0.99 0.96 0.9 0.99 0.29 0.99 0.93 0.45 0.82 0.85 0.93 0.69 0.85 0.61 0.95 0.77 0.83 0.96 1 0.87 0.88 0.72 1 0.96 1 0.97 0.99 1 0.99 0.88 0.92 0.93 0.63 0.96 0.93 1 0.96 0.95 0.28 0.96 0.99 0.94 1 0.88 0.88 1 0.92 0.99 0.97 0.84 1 0.86 0.99 0.96 0.88 0.74 0.99 0.72 0.97
D01E06J -1 -1 -1 -1 -1 0 -1 -1 -1 -1 0.92 0.97 0.82 0.89 0.87 0.82 0.85 0.89 0.83 0.93 0.95 0.95 0.87 0.76 0.95 -0.22 0.96 0.82 0.73 0.68 0.72 0.83 0.84 0.72 0.8 0.86 -0.17 0.56 0.89 0.99 0.73 0.76 0.86 0.98 0.87 0.99 0.98 0.97 0.96 0.94 0.74 0.95 0.84 0.82 0.86 0.82 0.97 0.89 0.86 0.85 0.87 0.7 0.83 0.98 0.76 0.76 0.96 0.82 0.93 0.89 0.7 0.86 0.72 0.94 0.88 0.76 0.59 0.97 0.85 0.91
D01E07J -1 -1 -1 -1 -1 -1 0 -1 -1 -1 0.91 0.96 0.96 0.86 0.84 0.79 0.83 0.86 0.81 0.91 0.93 0.93 0.39 0.74 0.93 0.31 0.94 0.79 0.7 0.64 0.68 0.8 0.8 0.68 0.77 0.83 -0.23 0.88 0.42 0.89 0.7 0.72 0.82 0.97 0.85 0.98 0.96 0.96 0.96 0.92 0.7 0.93 0.8 0.78 0.84 0.79 0.96 0.87 0.83 0.83 0.85 0.92 0.81 0.97 0.72 0.72 0.94 0.78 0.91 0.86 0.65 0.97 0.69 0.92 0.86 0.72 0.54 0.96 0.83 0.88
D01E08J -1 -1 -1 -1 -1 -1 -1 0 -1 -1 0.95 0.98 0.99 0.92 0.91 0.45 0.89 0.92 0.5 0.95 0.97 0.97 0.91 0.83 0.81 0.54 0.98 0.87 0.78 0.72 0.77 0.88 0.88 0.77 0.38 0.91 -0.64 0.67 0.64 0.99 0.78 0.81 0.9 0.99 0.91 1 0.9 0.99 0.98 0.96 0.8 0.97 0.88 0.86 0.9 0.87 0.98 0.93 0.91 0.89 0.91 0.97 0.89 0.99 0.81 0.81 0.98 0.86 0.77 0.62 0.12 0.99 0.78 0.96 0.6 0.81 0.65 0.87 0.89 0.7
D01E09J -1 -0.99 -1 -0.99 -0.93 -1 -1 -1 0 -1 0.98 0.94 1 0.95 0.95 0.92 0.94 0.96 0.93 0.98 0.99 0.99 0.95 0.89 0.99 0.69 0.99 0.92 0.85 0.81 0.84 0.93 0.93 0.84 0.9 0.95 0.13 0.97 0.78 1 0.85 0.87 0.94 1 0.95 1 0.96 0.99 0.99 0.98 0.85 0.99 0.93 0.91 0.95 0.92 0.99 0.96 0.95 0.94 0.95 0.98 0.93 0.96 0.87 0.87 0.99 0.91 0.98 0.95 0.82 1 0.85 0.98 0.95 0.46 0.72 0.99 0.94 0.97
D01E10J -1 -1 -1 -1 -0.98 -1 -1 -1 -1 0 0.85 0.91 0.92 0.79 0.78 0.71 0.74 0.8 0.74 0.85 0.89 0.89 0.77 0.66 0.88 0.12 0.9 0.71 0.61 0.55 0.6 0.72 0.73 0.6 0.69 0.76 -0.38 0.81 0.24 0.97 0.61 0.63 0.75 0.93 0.77 0.96 0.93 0.92 0.91 0.87 0.63 0.89 0.73 0.7 0.77 0.71 0.92 0.8 0.76 0.74 0.77 0.87 0.74 0.93 0.63 0.63 0.91 0.7 0.86 0.79 0.57 0.93 0.6 0.87 0.2 0.63 0.47 0.91 0.74 0.29
