D01E01C D01E02C D01E03C D01E04C D01E05C D01E06C D01E07C D01E08C D01E09C D01E10C D04E01C D04E02C D04E03C D04E04C D04E05C D04E06C D04E07C D04E08C D04E09C D04E10C D07E01C D07E02C D07E03C D07E04C D07E05C D07E06C D07E07C D07E08C D07E09C D07E10C D14E01C D14E02C D14E03C D14E04C D14E05C D14E06C D14E07C D14E08C D14E09C D14E10C D21E01C D21E02C D21E03C D21E04C D21E05C D21E06C D21E07C D21E08C D21E09C D21E10C D28E01C D28E02C D28E03C D28E04C D28E05C D28E06C D28E07C D28E08C D28E09C D28E10C D35E01C D35E02C D35E03C D35E04C D35E05C D35E06C D35E07C D35E08C D35E09C D35E10C D42E01C D42E02C D42E03C D42E04C D42E05C D42E06C D42E07C D42E08C D42E09C D42E10C
D01E01C 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -0.74 -0.98 -0.73 -0.99 -1 -0.38 -0.96 -0.85 -0.98 -0.91 1 0.77 -0.94 0.01 0.39 -0.25 -0.04 -0.75 0.94 0.81 1 1 1 -0.02 -0.13 0.57 0.97 0.99 0.98 1 1 1 1 1 1 1 1 1 1 0.47 0.39 0.52 -0.11 -0.03 0.93 -0.59 0.46 -0.53 -0.57
D01E02C -1 0 -1 -1 -1 -1 -1 -1 -1 -1 0.67 0.81 0.84 0.99 1 0.86 1 1 1 0.94 0.98 0.99 1 1 1 1 1 0.99 1 1 -1 -0.99 -0.94 -0.45 -0.92 -1 -0.95 -0.87 -0.82 -0.97 -0.99 1 0.64 -0.99 -0.36 -0.79 -0.9 -0.77 -0.68 0.4 -0.1 0.94 1 1 -0.21 -0.86 -0.17 0.82 0.91 0.66 1 1 1 1 1 1 1 1 1 1 0.17 0.27 -0.06 0.22 -0.35 0.89 -0.71 0.1 -0.91 -0.92
D01E03C -1 -1 0 -1 -1 -1 -1 -1 -1 -1 0.92 0.87 0.91 1 0.99 1 1 1 1 0.94 0.98 1 1 1 0.99 1 1 1 1 1 -1 -0.9 -0.99 -0.99 -0.93 -1 -0.73 -0.98 -0.82 -0.88 -1 1 0.27 -0.9 -0.61 -0.82 -0.7 -0.26 -0.89 0 0.12 0.89 1 1 -0.66 -0.45 0.06 0.61 0.81 0.15 1 1 1 1 1 1 1 1 1 1 0.22 -0.04 -0.4 -0.73 -0.57 0.71 -0.99 -0.29 -0.95 -0.39
D01E04C -1 -1 -1 0 -1 -1 -1 -1 -1 -1 0.67 0.53 0.75 0.9 0.99 0.98 0.98 1 0.95 0.79 0.92 0.95 1 1 0.95 1 1 1 1 1 -1 -0.95 -0.99 -0.98 -0.97 -1 -0.9 -0.98 -0.99 -0.97 -0.95 1 0.44 -0.91 -0.78 -0.71 -0.97 -0.77 -0.88 -0.37 0.52 0.99 1 1 -0.08 -0.78 -0.22 -0.1 0.91 0.57 1 1 1 1 1 1 1 1 1 1 0.06 -0.09 -0.45 -0.4 -0.39 0.84 -0.84 -0.6 -0.61 -0.46
D01E05C -1 -1 -1 -1 0 -1 -1 -1 -1 -1 0.97 0.9 0.98 1 1 0.99 1 1 1 0.99 0.99 1 1 1 1 1 1 1 1 1 -1 -0.99 -1 -0.99 -0.98 -1 -0.58 -1 -0.99 -0.96 -1 1 -0.06 -0.97 -0.81 -0.79 -0.88 -0.68 -0.98 -0.3 -0.35 0.98 1 1 -0.9 -0.69 0.18 0.56 0.65 0.51 1 1 1 1 1 1 1 1 1 1 0.34 -0.58 -0.55 -0.87 -0.62 0.65 -0.96 -0.32 -0.93 -0.72
D01E06C -1 -1 -1 -1 -1 0 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -0.95 -1 -0.74 -0.83 -1 0.23 -0.86 -0.83 -0.81 -0.58 1 0.91 -0.81 0.04 -0.13 0.26 0.3 -0.82 0.8 0.92 1 1 1 0.22 0.28 0.81 0.97 0.99 0.97 1 1 1 1 1 1 1 1 1 1 0.89 0.43 0.79 -0.09 0.17 0.98 -0.67 0.69 -0.36 0.22
D01E07C -1 -1 -1 -1 -1 -1 0 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -0.7 -0.91 -0.3 -0.87 -1 -0.35 -0.7 -0.98 -0.37 -0.94 1 0.92 -0.7 0.05 -0.38 -0.21 -0.01 -0.6 0.96 0.72 1 1 1 -0.51 0.64 0.83 0.99 0.99 0.99 1 1 1 1 1 1 1 1 1 1 0.97 0.23 0.58 0.36 0.42 0.96 -0.24 0.55 -0.48 0.53
D01E08C -1 -1 -1 -1 -1 -1 -1 0 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -0.82 -0.97 -0.04 -0.73 -1 0.09 -0.87 -0.74 -0.48 -0.82 1 0.94 -0.57 0.11 0.18 0.02 0.32 -0.3 0.97 0.96 1 1 1 0.75 0.92 0.98 1 1 1 1 1 1 1 1 1 1 1 1 1 0.99 0.61 0.87 0.54 0.63 1 -0.2 0.33 -0.56 0.54
D01E09C -1 -1 -1 -1 -1 -1 -1 -1 0 -1 0.84 0.76 0.92 0.99 1 0.99 1 1 1 0.96 0.97 0.97 1 1 0.98 1 1 1 1 1 -1 -0.35 -0.82 -0.64 -1 -1 -0.83 -0.99 -1 -0.99 -1 1 0.67 -0.96 -0.64 -0.34 -0.81 -0.92 -0.8 -0.18 0.32 1 1 1 -0.08 -0.02 0.47 0.76 0.97 0.71 1 1 1 1 1 1 1 1 1 1 0.45 0.16 0.73 -0.16 -0.17 0.6 -0.7 -0.6 -0.76 -0.88
D01E10C -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -0.98 -0.93 -0.75 -0.76 -1 -0.21 -0.98 -0.94 -0.83 -0.95 1 0.87 -0.95 -0.03 -0.21 -0.39 -0.35 -0.82 0.7 0.61 1 1 1 0.17 -0.19 0.52 0.92 0.99 0.98 1 1 1 1 1 1 1 1 1 1 0.82 0.7 0.75 -0.53 -0.3 0.98 -0.85 0.76 -0.57 -0.34
