D01E01D D01E02D D01E03D D01E04D D01E05D D01E06D D01E07D D01E08D D01E09D D01E10D D04E01D D04E02D D04E03D D04E04D D04E05D D04E06D D04E07D D04E08D D04E09D D04E10D D07E01D D07E02D D07E03D D07E04D D07E05D D07E06D D07E07D D07E08D D07E09D D07E10D D14E01D D14E02D D14E03D D14E04D D14E05D D14E06D D14E07D D14E08D D14E09D D14E10D D21E01D D21E02D D21E03D D21E04D D21E05D D21E06D D21E07D D21E08D D21E09D D21E10D D28E01D D28E02D D28E03D D28E04D D28E05D D28E06D D28E07D D28E08D D28E09D D28E10D D35E01D D35E02D D35E03D D35E04D D35E05D D35E06D D35E07D D35E08D D35E09D D35E10D D42E01D D42E02D D42E03D D42E04D D42E05D D42E06D D42E07D D42E08D D42E09D D42E10D
D01E01D 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 0.98 0.76 0.89 1 0.62 0.62 -0.01 0.01 0.54 0.93 0.43 1 0.93 1 0.89 -0.78 0.01 0 0.67 0.12 0.98 0.75 0.9 0.98 0.73 0.98 0.97 1 0.8 0.76 0.92 1 0.65 0.98 0.71 1 0.92 0.96 0.63 -0.11 -0.4 -0.28 0.36 0.56 0.95 0.88 0.81 -0.87 -0.23 0.63 1 0.55 0.83 -0.18 1 0.99 -0.76 -0.04 -0.63 1 0.73 0.49 0.98 0.98 0.66 -0.69 -0.17 -0.53 0.14
D01E02D -1 0 -1 -1 -1 -1 -1 -1 -1 -1 1 0.98 0.92 0.97 1 0.91 0.69 0.71 0.94 0.62 0.96 0.96 1 0.98 1 0.86 0.25 0.36 0.41 0.85 0.62 0.94 0.95 1 1 0.99 1 1 1 1 0.94 0.93 1 0.93 1 0.96 1 0.99 0.94 0.89 0.71 0.44 0.32 0.94 0.95 1 1 0.79 -0.13 0.8 0.97 1 0.81 0.99 0.83 1 1 0.08 0.6 -0.34 1 0.98 0.33 0.99 0.96 0.31 0.11 -0.18 0.78 0.6
D01E03D -1 -1 0 -1 -1 -1 -1 -1 -1 -1 1 0.99 0.98 0.97 1 0.83 0.72 0.17 -0.58 0.67 0.98 0.74 1 0.96 1 0.74 -0.09 -0.05 0.19 0.86 0.57 0.99 0.93 0.95 0.99 0.97 0.99 0.96 1 0.98 0.91 0.91 1 0.96 1 0.96 1 0.89 0.74 0.57 0.38 -0.16 0.35 0.28 0.7 0.99 0.85 0.88 -0.32 0.35 0.88 1 0.87 0.96 -0.24 1 0.99 -0.61 0.7 -0.44 1 0.69 0.13 1 0.97 0.4 -0.43 0.19 0.05 0.4
D01E04D -1 -1 -1 0 -1 -1 -1 -1 -1 -1 1 1 0.98 1 1 0.98 0.67 0.85 0.02 1 1 0.91 1 1 1 0.89 0.58 0.24 0.71 1 0.6 1 0.98 0.96 1 1 1 1 1 1 0.98 0.95 1 0.95 1 1 1 1 0.94 0.98 0.13 0.8 0.7 0.85 0.98 1 1 0.98 0.17 0.72 0.98 1 0.97 1 0.75 1 1 0.46 0.97 0.35 1 0.99 0.89 1 1 0.53 -0.12 0.93 0.53 0.75
D01E05D -1 -1 -1 -1 0 -1 -1 -1 -1 -1 1 0.99 0.94 0.98 1 0.88 0.94 0.64 0.15 0.69 0.88 0.77 1 0.78 1 0.85 -0.44 0.4 -0.05 0.91 0.51 0.95 0.22 0.88 0.99 0.87 0.96 0.98 1 0.88 0.99 0.32 0.99 0.02 0.95 0.82 0.99 0.98 0.9 0.54 -0.26 -0.62 -0.58 0.43 0.66 0.98 0.92 0.57 -0.69 0.13 0.7 1 -0.46 0.94 -0.43 1 0.98 0.06 0.56 -0.34 1 0.9 -0.39 0.8 0.98 0.62 -0.29 -0.28 -0.06 0.46
D01E06D -1 -1 -1 -1 -1 0 -1 -1 -1 -1 1 0.66 0.85 0.84 1 0.64 0.44 0.25 -0.1 0.1 0.9 0.63 1 0.33 1 -0.03 -0.86 -0.21 -0.66 0.83 -0.21 0.87 0.27 0.58 0.96 0.77 0.94 0.98 1 0.89 0.74 0.47 0.98 0.14 0.83 0.4 0.99 0.99 0.54 0.35 -0.06 -0.45 -0.92 -0.19 0.56 0.98 0.46 0.09 -0.81 -0.31 0.44 1 0.12 0.65 0.45 0.99 0.89 -0.68 0.41 -0.52 1 0.86 -0.25 0.91 0.97 0.58 -0.81 0.09 -0.47 0.45
D01E07D -1 -1 -1 -1 -1 -1 0 -1 -1 -1 1 1 0.99 1 1 0.91 0.92 0.85 0.42 0.89 1 0.9 1 0.99 1 0.97 -0.26 0.55 0.36 0.99 0.89 1 0.98 0.99 1 0.99 1 1 1 1 0.94 0.99 1 0.96 1 0.98 1 1 0.99 0.98 0.64 0.6 0.47 0.77 0.93 0.98 0.96 0.95 -0.56 0.7 0.96 1 0.96 0.88 0.89 1 1 -0.05 0.88 0.77 1 0.96 0.9 1 1 0.74 -0.57 0.72 0.16 0.89
D01E08D -1 -1 -1 -1 -1 -1 -1 0 -1 -1 1 0.95 0.7 0.83 1 -0.15 0.17 -0.55 -0.58 -0.16 0.65 0.43 1 0.77 1 0.61 -0.55 -0.83 -0.41 0.67 0.75 0.87 0.84 0.64 0.81 0.58 0.87 0.89 1 0.65 0.89 0.79 0.98 0.56 0.94 0.68 0.97 0.99 0.78 -0.19 -0.78 -0.29 -0.7 -0.05 0.65 0.95 0.72 0.18 -0.49 0.24 0.75 0.94 0.25 0.19 -0.45 1 0.97 0.05 0.24 0.36 0.97 0.77 0.31 0.93 0.99 0.08 -0.91 -0.48 -0.67 0.63
D01E09D -1 -1 -1 -1 -1 -1 -1 -1 0 -1 1 0.97 0.93 1 1 0.84 0.85 0.85 0.42 0.89 0.96 0.65 1 0.94 1 0.85 -0.26 0.55 0.36 0.87 0.57 0.99 0.93 0.99 0.92 0.91 0.96 0.99 1 0.94 0.87 0.96 1 0.77 0.96 0.89 1 0.88 0.99 0.74 0.39 -0.07 -0.25 -0.02 0.46 0.9 0.81 0.31 0.06 0.43 0.89 0.99 0.74 0.77 -0.21 1 0.99 0.58 0.49 0.54 1 0.96 0.5 0.96 1 0.74 -0.11 -0.02 -0.11 0.14
D01E10D -1 -1 -1 -1 -1 -1 -1 -1 -1 0 1 0.99 0.79 0.98 1 0.87 0.37 0.63 0.05 0.86 0.99 0.72 1 0.96 1 0.82 -0.18 0.56 0.27 0.98 0.54 0.99 0.65 0.84 0.94 0.97 0.98 0.96 1 0.97 0.91 0.9 1 0.77 0.98 0.86 1 0.87 0.69 0.86 0.37 0.01 0.24 -0.36 0.65 0.95 0.57 0.73 -0.56 0.16 0.54 1 0.53 0.87 0.2 1 0.99 -0.62 0.49 -0.08 1 0.89 0.57 0.94 0.97 0.17 -0.73 0.59 -0.31 0.2
