D01E01I D01E02I D01E03I D01E04I D01E05I D01E06I D01E07I D01E08I D01E09I D01E10I D04E01I D04E02I D04E03I D04E04I D04E05I D04E06I D04E07I D04E08I D04E09I D04E10I D07E01I D07E02I D07E03I D07E04I D07E05I D07E06I D07E07I D07E08I D07E09I D07E10I D14E01I D14E02I D14E03I D14E04I D14E05I D14E06I D14E07I D14E08I D14E09I D14E10I D21E01I D21E02I D21E03I D21E04I D21E05I D21E06I D21E07I D21E08I D21E09I D21E10I D28E01I D28E02I D28E03I D28E04I D28E05I D28E06I D28E07I D28E08I D28E09I D28E10I D35E01I D35E02I D35E03I D35E04I D35E05I D35E06I D35E07I D35E08I D35E09I D35E10I D42E01I D42E02I D42E03I D42E04I D42E05I D42E06I D42E07I D42E08I D42E09I D42E10I
D01E01I 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.08 -0.99 -1 -0.69 -0.98 -1 -0.95 -0.07 1 -0.95 -0.66 -1 -0.95 -1 -0.89 -0.69 -0.95 -1 -1 -1 -0.96 -0.87 -0.45 -0.31 -0.22 -1 -0.91 -0.88 -0.98 -0.98 -1 -0.84 0.08 -0.07 1 0.6 0.76 -0.96 0.99 0.25 -0.94 -0.66 -0.98 0.12 -0.09 -0.17 -0.99 0.55 -0.96 0.82 -0.63 -1 -0.93 -0.97 -0.97 1 -0.91 1 1 0.99 0.66 -0.56 0.68 1 -0.8 -0.15 -0.26 0.85 -1
D01E02I -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.22 -1 -1 -0.84 -1 -1 -0.98 0.08 1 -1 -0.92 -1 -1 -1 -0.97 -0.94 -0.98 -1 -1 -1 -1 -0.99 -0.56 -0.66 -0.29 -1 -0.98 -0.99 -1 -1 -1 -0.95 0.23 -0.29 1 0.07 0.21 -0.99 0.97 -0.63 -0.97 -1 -1 -0.12 -0.8 -0.25 -1 0.39 -1 0.52 -0.96 -0.99 -0.77 -1 -1 1 -0.97 1 1 0.77 0.4 -0.81 0.64 1 -0.8 -0.39 -0.56 0.44 -1
D01E03I -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 0.83 -0.99 -0.99 -0.64 -0.93 -1 -0.69 0.74 1 -0.95 -0.68 -1 -0.94 -0.99 -0.48 -0.45 -0.88 -0.99 -1 -1 -0.99 -0.85 -0.13 0.64 0.38 -1 -0.71 -0.9 -0.75 -1 -0.96 -0.78 0.92 0.64 1 0.93 0.95 -0.72 1 -0.19 -0.5 -0.99 -0.93 0.3 -0.33 0.37 -1 0.76 -0.93 0.99 0.08 -0.95 -0.4 -0.99 -0.99 1 -0.37 1 1 0.97 0.9 -0.78 0.65 1 -0.09 0.7 0.08 0.99 -1
D01E04I -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 0.01 -1 -1 -0.94 -1 -1 -0.99 0.01 1 -1 -0.89 -1 -1 -1 -0.99 -0.85 -1 -1 -1 -1 -1 -1 -0.78 -0.81 -0.73 -1 -0.99 -1 -0.99 -1 -1 -0.97 -0.21 -0.1 1 0.04 0.17 -0.99 0.9 -0.9 -0.75 -1 -1 -0.55 -0.77 0.33 -1 0.11 -1 -0.57 -0.93 -1 -0.83 -1 -1 1 -0.9 1 1 0.16 0.33 -0.96 0.39 1 -0.94 -0.03 -0.74 -0.19 -1
D01E05I -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -0.97 0.99 -0.97 -0.97 0.05 -0.93 -1 -0.75 0.75 1 -0.87 -0.37 -1 -0.91 -0.97 -0.62 -0.16 -0.7 -0.97 -0.98 -0.99 -0.97 -0.8 0.41 0.78 0.65 -1 -0.57 -0.52 -0.64 -0.95 -0.86 -0.65 0.91 0.59 1 0.87 0.94 -0.64 1 0.48 -0.83 -0.49 -0.83 0.46 -0.53 0.43 -0.94 0.67 -0.92 0.99 -0.21 -0.98 -0.41 -0.95 -0.95 1 -0.47 1 1 0.99 0.96 -0.74 0.99 1 -0.12 0.87 0.32 1 -0.96
D01E06I -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 0.43 -1 -1 -0.66 -0.99 -1 -0.89 0.5 1 -1 -0.87 -1 -1 -1 -0.9 -0.75 -1 -1 -1 -1 -1 -1 -0.85 -0.89 -0.24 -1 -0.91 -0.96 -0.99 -1 -0.99 -0.94 0.27 0.18 1 -0.1 0.32 -0.91 0.95 -0.65 -0.83 -1 -1 -0.12 -0.92 0.4 -1 0.17 -0.99 0.18 -0.82 -1 -0.83 -1 -0.97 1 -0.72 0.99 1 0.55 0.5 -0.95 0.88 1 -0.93 -0.41 -0.82 0.24 -1
D01E07I -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 0.85 -0.99 -0.96 -0.07 -0.91 -1 -0.6 0.95 1 -0.95 -0.76 -0.99 -0.99 -1 -0.8 -0.3 -0.93 -0.98 -0.98 -1 -1 -0.75 0.47 0.76 0.81 -1 -0.52 -0.78 -0.61 -1 -0.9 -0.26 0.99 0.97 1 0.96 0.99 -0.44 1 0.05 -0.32 -0.98 -0.91 0.87 0.38 0.07 -0.99 0.88 -0.9 0.99 0.05 -0.85 -0.13 -0.97 -0.91 1 -0.43 1 1 0.99 0.98 -0.05 0.99 1 0.5 0.9 0.58 0.99 -0.98
D01E08I -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -0.14 -0.99 -1 -0.75 -1 -1 -0.97 -0.21 1 -1 -0.93 -0.99 -1 -1 -0.95 -0.78 -0.96 -1 -1 -1 -1 -1 -0.96 -0.93 -0.18 -1 -0.97 -1 -1 -1 -1 -0.98 -0.15 0.22 1 -0.66 -0.14 -1 0.64 -0.59 -0.96 -1 -1 -0.56 -0.88 -0.15 -1 -0.3 -1 0.33 -0.88 -1 -0.86 -1 -1 1 -0.92 0.99 1 0.19 0.47 -0.96 0.74 0.99 -0.99 -0.51 -0.9 0.39 -1
D01E09I -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 0.77 -0.97 -0.99 0.24 -0.88 -1 -0.71 0.88 1 -0.88 -0.44 -0.98 -0.94 -0.93 -0.37 -0.05 -0.88 -0.95 -1 -0.99 -0.99 -0.35 0.87 0.85 0.9 -1 -0.7 -0.95 -0.86 -1 -0.53 -0.22 0.97 0.87 1 0.91 0.93 -0.65 1 0.64 -0.3 -0.79 -0.87 0.23 -0.48 0.79 -1 0.84 -0.99 0.99 -0.22 -1 -0.4 -0.96 -1 1 -0.41 1 1 1 0.97 -0.48 0.99 1 0.04 0.88 0.25 1 -1
D01E10I -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -0.98 0.98 -0.78 -0.98 0.19 -0.76 -1 -0.45 0.91 1 -0.78 -0.51 -0.99 -0.95 -0.99 -0.43 -0.5 -0.89 -0.98 -0.97 -0.99 -0.97 -0.89 -0.08 0.74 0.5 -1 -0.39 -0.67 -0.72 -1 -0.8 -0.75 0.96 0.66 1 0.93 0.96 -0.81 1 0.1 -0.89 -0.92 -0.98 0.15 -0.83 0.76 -1 0.56 -1 0.99 -0.27 -0.99 0.28 -0.99 -0.99 1 0.15 1 1 0.99 0.98 -0.77 0.94 1 -0.56 0.71 0.17 1 -1
