D01E01J D01E02J D01E03J D01E04J D01E05J D01E06J D01E07J D01E08J D01E09J D01E10J D04E01J D04E02J D04E03J D04E04J D04E05J D04E06J D04E07J D04E08J D04E09J D04E10J D07E01J D07E02J D07E03J D07E04J D07E05J D07E06J D07E07J D07E08J D07E09J D07E10J D14E01J D14E02J D14E03J D14E04J D14E05J D14E06J D14E07J D14E08J D14E09J D14E10J D21E01J D21E02J D21E03J D21E04J D21E05J D21E06J D21E07J D21E08J D21E09J D21E10J D28E01J D28E02J D28E03J D28E04J D28E05J D28E06J D28E07J D28E08J D28E09J D28E10J D35E01J D35E02J D35E03J D35E04J D35E05J D35E06J D35E07J D35E08J D35E09J D35E10J D42E01J D42E02J D42E03J D42E04J D42E05J D42E06J D42E07J D42E08J D42E09J D42E10J
D01E01J 0 -0.98 -0.96 -0.99 -0.99 -0.82 -0.58 -0.99 -0.91 0.19 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.98 0.9 0.25 0.49 1 1 1 1 1 1 1 1 1 1 0.99 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
D01E02J -0.98 0 -1 -1 -1 -1 -1 -0.8 -0.82 -0.91 1 1 1 1 1 1 1 1 1 1 0.91 1 1 1 1 1 1 0.87 0.24 0.25 0.21 1 0.99 0.99 1 0.99 0.99 1 1 1 0.99 0.88 1 1 1 1 1 1 1 1 1 1 0.98 1 1 1 1 1 1 0.96 1 1 0.95 1 1 1 1 1 1 1 1 1 1 1 1 1 0.99 1 1 1
D01E03J -0.96 -1 0 -1 -1 -0.89 -1 -0.99 -0.94 0.42 1 1 1 1 1 1 1 1 1 1 0.99 1 1 1 1 1 1 0.97 0.5 0.81 0.87 1 1 1 1 1 1 1 1 1 0.98 0.96 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.98 1
D01E04J -0.99 -1 -1 0 -1 -1 -1 -1 -0.98 0.46 1 1 1 1 1 1 1 1 1 1 0.97 1 1 1 1 1 1 0.95 0.47 0.34 0.26 1 0.99 1 1 1 1 1 1 1 0.97 0.96 1 1 1 1 1 1 1 1 1 1 1 0.99 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.99 1
D01E05J -0.99 -1 -1 -1 0 -1 -1 -1 -0.98 -0.14 1 1 1 1 1 1 1 1 1 1 0.99 1 1 1 1 1 1 0.95 0.75 0.45 0.83 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
D01E06J -0.82 -1 -0.89 -1 -1 0 -0.57 -0.98 -0.56 0.58 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.99 0.87 0.9 0.87 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
D01E07J -0.58 -1 -1 -1 -1 -0.57 0 -1 -1 -0.13 1 1 1 0.97 1 0.99 1 1 1 0.99 0.81 1 1 1 1 1 1 0.68 0.12 -0.15 -0.36 0.99 0.99 0.99 1 0.99 0.99 1 1 1 0.92 0.68 1 1 0.99 1 1 1 0.99 1 1 1 0.96 0.97 1 1 1 1 1 0.98 0.98 0.99 0.9 1 1 1 1 1 1 1 1 1 0.99 1 1 1 1 1 0.98 1
D01E08J -0.99 -0.8 -0.99 -1 -1 -0.98 -1 0 -1 0.08 1 1 1 1 1 1 1 1 1 1 0.99 1 1 1 1 1 1 0.89 0.23 0.18 0.24 1 1 1 1 1 1 1 1 1 1 0.95 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.99 1 1 0.99 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
D01E09J -0.91 -0.82 -0.94 -0.98 -0.98 -0.56 -1 -1 0 0.21 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.96 0.93 0.89 0.81 1 1 1 1 1 1 1 1 1 1 0.99 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
D01E10J 0.19 -0.91 0.42 0.46 -0.14 0.58 -0.13 0.08 0.21 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.99 0.74 0.99 0.86 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
D04E01J 1 1 1 1 1 1 1 1 1 1 0 0.61 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.88 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
D04E02J 1 1 1 1 1 1 1 1 1 1 0.61 0 -0.17 0.96 0.98 0.87 -0.94 0.29 -0.03 -0.29 1 0.97 -1 -0.47 1 -0.76 0.76 0.97 0.36 1 1 1 -0.47 0.83 -0.67 -0.57 0.23 0.03 1 0.77 1 0.89 -0.51 -0.03 0.99 0.35 0.67 0.48 0.85 -1 1 0.6 0.98 1 0.88 -0.85 -1 1 0.8 0.05 0.99 0.83 1 0.95 -1 0.96 0.93 0.98 0.96 1 1 0.72 0.99 -0.85 -0.09 0.97 0.49 0.09 0.59 0.68
