"","S1","S10","S11","S12","S16","S17","S18","S4","S5","S7","D05E01","D05E02","D05E03","D05E04","D05E05","D05E06","D05E07","D05E08","D05E09","D05E10","D08E01","D08E02","D08E03","D08E04","D08E05","D08E06","D08E07","D08E08","D08E09","D08E10","D14E01","D14E02","D14E03","D14E04","D14E05","D14E06","D14E07","D14E08","D14E09","D14E10","D21E01","D21E02","D21E03","D21E04","D21E05","D21E06","D21E07","D21E08","D21E09","D21E10","D28E01","D28E02","D28E03","D28E04","D28E05","D28E06","D28E07","D28E08","D28E09","D28E10","D35E01","D35E02","D35E03","D35E04","D35E05","D35E06","D35E07","D35E08","D35E09","D35E10","D42E01","D42E02","D42E03","D42E04","D42E05","D42E06","D42E07","D42E08","D42E09","D42E10"
"10",12.7367190187677,12.7367190187677,12.7367190187677,12.7367190187677,12.7367190187677,12.7367190187677,12.7367190187677,12.7367190187677,12.7367190187677,12.7367190187677,12.7367190187677,12.7367190187677,12.7367190187677,17.8425467754436,17.9320763086217,17.9310375598374,18.2920924184997,17.9870696704489,18.0723053503575,18.5682381954513,12.7367190187677,12.7367190187677,12.7367190187677,17.9715211014753,17.6577999189507,17.6171732830077,18.0093365863593,18.5136582102244,18.4937929177608,18.6886259620557,12.7367190187677,12.7367190187677,12.7367190187677,18.100226007239,18.0143964864908,18.2394819917156,18.6992335363013,18.8574404176262,18.407666097055,18.4804352256753,12.7367190187677,12.7367190187677,12.7367190187677,18.4743515902586,18.2414758164898,17.7967430858305,19.0995661256242,18.3160207269013,18.3089255746364,18.5369946307477,12.7367190187677,18.6686426500784,18.9587339471429,18.3138396143998,17.909529833568,17.9781015372622,18.3211001392509,13.7367190187677,18.4655345202845,18.3174921096115,18.0856643603779,18.9179139674139,18.2036204327843,17.9099340901442,18.1998065178233,18.1923891450581,18.2617552052026,18.5280228922246,18.776169545868,18.6879941260479,18.3035444290149,18.4944728021173,18.4421659722293,17.892720676095,17.7859760142335,17.7866780338907,18.1562954425005,18.4275501961382,18.4092914822244,18.7865823240502
"25",14.4291124707645,14.4291124707645,14.4291124707645,14.4291124707645,14.4291124707645,14.4291124707645,14.4291124707645,14.4291124707645,14.4291124707645,14.4291124707645,17.2227194461333,16.9289115652549,16.9407838647725,14.4291124707645,14.4291124707645,17.0458769523621,16.9774252770058,14.4291124707645,16.9996036975461,14.4291124707645,17.1436522591801,16.7353709155321,15.9909903035308,16.7364812097145,14.4291124707645,16.83980658976,14.4291124707645,17.3767867442794,14.4291124707645,16.1358695766485,16.8243372695913,17.09256101949,15.4291124707645,14.4291124707645,14.4291124707645,14.4291124707645,16.8415397784641,17.1117469903363,14.4291124707645,14.4291124707645,17.0100144520866,16.9734395269905,16.9823808872766,14.4291124707645,16.7704058033186,17.0760326724965,16.8343229014578,17.1589646384047,17.1193667152431,17.0383296027333,17.0151645627531,17.2024108340319,16.5872208136237,17.4277056814528,17.0523027002494,17.050465135776,17.4504219221681,15.8345451185429,17.277023991238,17.1574160207359,17.1916954212215,16.7224606877874,17.1787426473904,17.0904639510261,14.4291124707645,17.1157041108408,17.1701011009288,14.4291124707645,17.3685661405948,17.3884630119427,14.4291124707645,16.9121759499685,17.0810152518656,14.4291124707645,17.3525521289417,14.4291124707645,17.1891392549542,17.2780954927842,17.183393077055,17.3339414887594
"28",13.7053083925161,13.7053083925161,13.7053083925161,13.7053083925161,13.7053083925161,13.7053083925161,13.7053083925161,13.7053083925161,13.7053083925161,13.7053083925161,17.6877037302136,17.2008603001799,17.9702519686752,17.9565009446107,17.14947920864,18.277745980163,17.2644700903428,17.4443840463697,17.5084834344645,17.1855917097578,17.3822187182309,16.1534530726074,17.5264915977231,17.8614746751258,17.6455177132489,17.9089085809662,17.801866208194,17.8620137433853,17.6012992708381,17.2870269365994,16.733213975253,16.2602947596547,17.5029949183155,17.9741568786529,16.7368511179721,17.6140915287703,17.6876695621546,17.8136935247924,16.6105779215761,17.2587132401592,17.1201366064471,17.2588696303643,17.3190899302298,16.7351328841399,17.4001789936254,17.7727462764411,17.4981012439949,17.3973988876839,17.3944626946103,17.0734407725075,16.7890368688909,16.6456302896748,15.632938414892,15.4868350215631,16.6076915202914,16.4633966502804,15.936936936007,13.7053083925161,15.9042582828005,16.0757298277269,16.056870525633,16.0899469634979,16.2974536769418,15.699762212028,15.0851819655651,15.9571927514269,16.1516904639081,14.7053083925161,16.8777873783414,16.1226864678929,16.4276402159943,15.6837896458175,16.0153932724058,16.0811297114195,16.0098723453378,13.7053083925161,16.443898628236,16.7879280592905,16.8310226556193,17.3276315831629
"34",18.8965331759934,18.777904099241,19.4778982852229,18.2693696518507,15.8432754272273,19.5819859295845,18.1705089495849,20.1170360792103,18.8202100016226,19.8248387646964,15.5245723217852,15.7969775019571,16.928136647167,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,16.5730998014636,16.4631092322018,15.0295891949238,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,16.3182603437124,16.5484908114429,14.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,16.5128638913907,15.581200581925,15.6694941018775,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,16.3354252491791,17.1943336469456,16.1279741759653,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,15.9814111955467,15.6081392908434,16.8176457394939,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,15.3927534393702,15.4668730639812,15.5681936538501,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457,13.9981937398457
"67",14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,16.7215398143218,18.2024969259594,18.0596349226911,17.064153308137,18.0274524920514,17.5225125700587,17.9646059783601,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,17.5085298582028,17.9537417607625,17.380258121093,17.0748209117995,17.6972662461617,17.3430555588262,14.8360010279347,14.8360010279347,14.8360010279347,17.2507332781294,18.0864109761934,17.3401456638446,18.411858511725,18.1416182296341,18.7694762982848,18.1341956663165,14.8360010279347,14.8360010279347,14.8360010279347,17.3251297459488,16.5860041101696,17.7342597662123,17.7625766897409,16.6425594358355,18.0809580186831,17.3134322260331,14.8360010279347,14.8360010279347,14.8360010279347,17.4962764590747,17.6680331727952,17.1980612949304,17.0905776634245,15.8605050568079,17.4551425686982,16.4284583207881,14.8360010279347,14.8360010279347,14.8360010279347,17.5253831641368,17.6916890027603,17.3654595498991,17.5075004480552,14.8360010279347,17.6693418465831,16.8860775848731,14.8360010279347,14.8360010279347,14.8360010279347,14.8360010279347,16.3614126688376,15.8360010279347,14.8360010279347,16.8959184023048,16.8465432650308,16.1723493709662
"70",13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,15.039176100715,16.1779450355108,16.6403720477842,15.6416566581982,15.3843790481296,15.7650788596167,15.3641004480623,14.8759892687773,15.2831607175334,14.3966047811819,16.0089100237055,14.7951264785649,15.5058735666446,15.3046008766224,13.3966047811819,15.4093577855951,15.1764848472919,16.2748331099652,15.4633966502804,15.9206552462507,14.9930710608358,15.2913505932135,14.7215264640075,15.7372737541627,16.2494838588984,14.70762874935,16.05906978854,15.3172359406434,15.0522283933474,14.6305515400185,15.4832804602651,15.0346700219631,14.7189074144393,13.3966047811819,14.5281488366273,15.3728990598779,15.0598936485598,14.6453769803621,13.3966047811819,13.3966047811819,14.5947328120678,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819,13.3966047811819
"78",12.6893428461342,12.8805401343337,11.6893428461342,13.7969521615093,11.6893428461342,13.4665863377192,12.963257356633,14.2635626398206,14.5808473985928,14.6269067868615,20.1803523338879,20.451558258811,21.3425890678149,21.2005328718424,20.8739329327329,21.2328278410671,19.8808868483723,19.9329745117035,21.0745230389174,18.9583233114003,19.6659690810384,20.1013640429973,19.6551131515487,20.4394504661534,19.7091393587951,19.7224189942669,19.3345046245877,18.8140817213798,19.7491656329857,18.9602423838352,18.3344740724692,17.8189066674868,18.8968024474096,19.0769486519811,19.6813448033192,19.4006522466129,18.4156138699764,18.9985077950107,18.379395290478,18.3514655283646,19.2945691487919,19.3983491510694,18.3132417767965,20.0047677275212,20.547487650475,20.0775954893285,19.3939036391122,18.4607118521412,18.8493226274563,19.7130793644548,17.5158769000037,18.6499262496245,16.7386464673388,19.0735009197233,19.5871951708241,18.4157211402967,19.7370872151704,15.2947643220659,20.5211518279972,19.9438483173445,17.2056405428566,17.507810122334,17.2415177131454,18.2766878479843,18.721359574654,18.4769834697966,20.1428374960587,19.140957051209,20.4178731124271,19.6020681279419,17.2705417171598,16.822869535884,18.2041651381099,20.781137157063,17.9833888984443,17.3626116603686,19.7473718604307,18.0454983881063,18.5645998152228,17.9859586443907
"88",5.3268318395569,4.11096669022609,5.91173172274569,5.34185402771139,4.57052134199127,5.44100002138199,5.750728689286,4.83579252841538,5.78182602211679,3.76756094585972,2.76756094585972,2.76756094585972,2.76756094585972,18.6420481663107,18.2808568407323,18.6526034301757,18.7137489690874,17.9165909366189,17.95066410423,18.0042259536763,2.76756094585972,2.76756094585972,2.76756094585972,18.9691700783649,18.7722952409362,19.1724055328509,18.4309139377409,18.5474217524529,18.9233565043215,17.9843405718171,2.76756094585972,2.76756094585972,2.76756094585972,18.4997330164404,18.9475399180136,18.5776206002568,18.2586442390907,18.0385653862517,18.0164655459803,17.5880118532151,2.76756094585972,2.76756094585972,2.76756094585972,18.6884927872112,18.6320402483552,19.1149826693147,18.2748194633509,18.0954948942648,18.3269165883348,17.3710023490413,2.76756094585972,2.76756094585972,2.76756094585972,17.7876730400152,17.7904439570748,17.8311525832757,18.1279087027366,18.3069428061235,17.9876970221043,17.2805986135208,2.76756094585972,2.76756094585972,2.76756094585972,18.1100856329898,18.3014560044485,18.0299450046058,17.5462237666494,17.7379470747919,17.4376708079224,17.7257589937115,2.76756094585972,2.76756094585972,2.76756094585972,17.7886100143591,18.0558437604176,18.1501786490559,18.8271938218576,18.2375554281174,17.8934141184994,17.8211947451995
"121",2.29786294266862,2.39770988176046,2.33852767467777,2.42099379650484,3.09900175355513,2.58267401497692,2.31519504652053,1.99954032020221,2.07263557198021,1.74633598696354,17.3746659444372,17.4196639737345,17.7120298599253,17.901986405056,18.4857624982515,18.6883049556376,17.4926590646766,18.505381267233,18.4301666632504,17.8459310248264,17.9340651557147,17.8896940793821,17.3059637543468,17.8123841565442,17.8445402745046,17.3470590037388,17.1263919142068,17.4490277062399,17.5618621996466,17.8360256917072,17.3142557402525,16.0658157994155,17.3896397410661,17.9913502235374,17.7611681215318,17.7944158663501,18.2631499735462,17.8114248698439,17.1627748477108,18.1315555640211,17.4096726849992,17.3543957518577,17.7727011792355,17.3969726322194,17.7888584972834,18.0178142810617,17.9625063220547,17.3346137340152,17.999499099575,17.6226738818909,17.5106791883041,17.0930048351502,16.7000468033489,17.4698166749149,17.5257807693022,17.2203121925792,16.7515702097918,0.746335986963538,17.5600267664802,17.169895649438,16.4940586578346,16.4344979205381,17.0598514107708,17.2755698355102,17.3544474082815,17.1243131897902,17.8365003871657,17.282744572027,17.3134322260331,17.0684739064063,15.9075244531875,16.7320614036137,16.5872354664474,17.0156872744078,16.8645126296892,16.9591642812374,17.272748230975,16.7328033943935,17.4651598243231,16.7717860457255
"193",14.4630134134497,14.4630134134497,14.4630134134497,14.4630134134497,14.4630134134497,14.4630134134497,14.4630134134497,14.4630134134497,14.4630134134497,14.4630134134497,16.8289298276515,16.7172881753486,16.9486638078096,18.1600732952186,18.310745898215,18.2360562474625,18.3528796733141,18.5666115354051,18.0020128559798,18.5095082777533,16.9572494421961,16.5528491830253,16.8169836232554,18.4094365168901,18.2922092774003,18.5702114924854,18.1560781371676,18.0704931034043,18.265409021427,18.0458343022002,16.084372424785,16.5904554751799,16.604350524062,18.4468531039407,18.2332358106994,18.5118298507089,18.6724149825087,18.2752197104038,18.257088539354,18.0800836296363,15.4649285803855,15.8600685158673,15.4630134134497,17.5574337847515,17.4590393197828,18.0843257066467,18.0526582588761,17.3981842051803,17.7489265921334,17.4055653122299,16.0595557116178,16.9261338122121,16.6936230749306,18.8419297661749,18.5292360810241,18.6258515075927,18.5666412625405,16.1035951680782,18.562924340769,18.5868837575974,16.6011469014497,16.6850224961255,16.8300818778473,18.4926512419053,18.8719744020272,18.5762481298433,18.6436413192884,18.5544427102516,18.9097671283329,17.9167833468786,15.9540599605365,15.7405713442633,15.8731556984857,17.2516395865823,17.6965668728682,17.9561719364648,18.2212897386635,18.3835271168083,17.9508691061111,18.0069177286734
